% isAttack normal:	1332
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {normal,attack}

@data
tcp,SF,2112,100,normal
tcp,SF,2963,100,normal
tcp,S3,1739,100,normal
tcp,SF,3045,89,normal
tcp,OTH,3661,86,normal
tcp,OTH,3306,58,normal
tcp,SF,1737,100,normal
tcp,OTH,5211,42,normal
tcp,SF,3331,91,normal
tcp,SF,2168,100,normal
tcp,SF,3081,85,normal
tcp,S2,1927,100,normal
tcp,SF,1853,100,normal
tcp,SF,2150,100,normal
tcp,SF,2066,100,normal
tcp,SF,2235,100,normal
tcp,OTH,6134,44,normal
tcp,SF,1188,100,normal
tcp,OTH,3282,96,normal
tcp,OTH,2954,48,normal
tcp,OTH,3186,62,normal
tcp,OTH,5892,45,normal
tcp,OTH,3117,29,normal
tcp,OTH,6264,48,normal
tcp,SF,4091,100,normal
tcp,OTH,5512,81,normal
tcp,OTH,4904,43,normal
tcp,SF,2393,86,normal
tcp,SF,2519,100,normal
tcp,OTH,3368,46,normal
tcp,SF,2555,100,normal
tcp,SF,4251,83,normal
tcp,OTH,3777,43,normal
tcp,OTH,5902,43,normal
tcp,SF,3386,100,normal
tcp,OTH,3666,39,normal
tcp,OTH,3834,33,normal
tcp,SF,2512,100,normal
tcp,SF,3371,100,normal
tcp,OTH,3600,66,normal
tcp,SF,804,100,normal
tcp,SF,2238,100,normal
tcp,OTH,2911,53,normal
tcp,SF,1505,95,normal
tcp,SF,950,100,normal
tcp,OTH,3192,62,normal
tcp,SF,1936,86,normal
tcp,OTH,2813,50,normal
tcp,OTH,5406,97,normal
tcp,OTH,3026,21,normal
tcp,RSTR,3306,100,normal
tcp,SF,1461,100,normal
tcp,OTH,3970,94,normal
tcp,OTH,3491,49,normal
tcp,SF,1062,100,normal
tcp,OTH,2894,50,normal
tcp,SF,986,100,normal
tcp,SF,2351,100,normal
tcp,SF,3314,51,normal
tcp,OTH,3297,47,normal
tcp,S1,2206,100,normal
tcp,SF,2577,52,normal
tcp,OTH,5823,45,normal
tcp,S1,2657,100,normal
tcp,SF,1839,100,normal
tcp,OTH,2853,49,normal
tcp,SF,4000,98,normal
tcp,SF,3960,100,normal
tcp,OTH,3160,42,normal
tcp,SF,946,100,normal
tcp,SF,2324,100,normal
tcp,SF,3248,100,normal
tcp,OTH,3032,39,normal
tcp,OTH,3158,51,normal
tcp,OTH,3532,46,normal
tcp,SF,2501,100,normal
tcp,OTH,5687,47,normal
tcp,SF,2315,100,normal
tcp,OTH,4601,48,normal
tcp,SF,1143,100,normal
tcp,SF,2246,100,normal
tcp,OTH,2987,58,normal
tcp,OTH,2592,68,normal
tcp,OTH,6255,48,normal
tcp,SF,927,100,normal
tcp,SF,35,35,normal
tcp,RSTR,1894,100,normal
tcp,OTH,4646,52,normal
tcp,SF,1008,100,normal
tcp,SF,2167,50,normal
tcp,OTH,2616,51,normal
tcp,SF,3363,73,normal
tcp,S3,1966,100,normal
tcp,SF,1192,100,normal
tcp,SF,2882,77,normal
tcp,OTH,2467,85,normal
tcp,SF,746,100,normal
tcp,OTH,3089,43,normal
tcp,SF,2152,100,normal
tcp,SF,2137,100,normal
tcp,SF,2502,100,normal
tcp,OTH,3615,94,normal
tcp,SF,2314,100,normal
tcp,SF,2227,100,normal
tcp,SF,3094,73,normal
tcp,OTH,5953,44,normal
tcp,S1,3563,100,normal
tcp,SF,3910,100,normal
tcp,SF,4195,76,normal
tcp,SF,2127,92,normal
tcp,OTH,4924,57,normal
tcp,OTH,5622,49,normal
tcp,SF,3375,100,normal
tcp,SF,2445,100,normal
tcp,SF,1862,100,normal
tcp,OTH,6368,26,normal
tcp,SF,3219,94,normal
tcp,OTH,3320,63,normal
