% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,S3,142,100,httpFlood
tcp,S3,754,100,httpFlood
tcp,S3,147,100,httpFlood
tcp,S3,412,100,httpFlood
tcp,S3,400,100,httpFlood
tcp,S3,938,100,httpFlood
tcp,RSTO,517,100,httpFlood
tcp,S3,152,100,httpFlood
tcp,S3,131,100,httpFlood
tcp,RSTO,524,100,httpFlood
tcp,RSTO,481,100,httpFlood
tcp,OTH,9,9,httpFlood
tcp,S3,912,100,httpFlood
tcp,OTH,115,100,httpFlood
tcp,OTH,178,33,httpFlood
tcp,OTH,144,33,httpFlood
tcp,S3,150,100,httpFlood
tcp,OTH,222,98,httpFlood
tcp,S3,161,100,httpFlood
tcp,S3,774,99,httpFlood
tcp,S3,851,99,httpFlood
tcp,S3,145,100,httpFlood
tcp,S3,312,100,httpFlood
tcp,S3,915,100,httpFlood
tcp,S3,229,100,httpFlood
tcp,S3,778,99,httpFlood
tcp,S3,309,69,httpFlood
tcp,S3,630,100,httpFlood
tcp,S3,798,99,httpFlood
tcp,S3,87,98,httpFlood
tcp,S3,306,68,httpFlood
tcp,OTH,180,33,httpFlood
tcp,S3,91,91,httpFlood
tcp,OTH,6,6,httpFlood
tcp,S3,129,100,httpFlood
tcp,S3,585,100,httpFlood
tcp,S3,184,100,httpFlood
tcp,S1,169,100,httpFlood
tcp,S3,1008,100,httpFlood
tcp,RSTO,480,100,httpFlood
tcp,OTH,0,0,httpFlood
tcp,OTH,27,27,httpFlood
tcp,OTH,79,23,httpFlood
tcp,S3,96,100,httpFlood
tcp,RSTO,530,100,httpFlood
tcp,OTH,261,98,httpFlood
tcp,S3,3,98,httpFlood
tcp,RSTO,401,100,httpFlood
tcp,OTH,147,33,httpFlood
tcp,OTH,178,33,httpFlood
tcp,S3,6,6,httpFlood
tcp,OTH,117,100,httpFlood
tcp,S1,152,100,httpFlood
tcp,S3,152,100,httpFlood
tcp,OTH,162,33,httpFlood
tcp,S1,457,100,httpFlood
tcp,RSTO,352,100,httpFlood
tcp,S3,628,100,httpFlood
tcp,S3,131,100,httpFlood
tcp,S3,509,100,httpFlood
tcp,RSTO,706,100,httpFlood
tcp,S3,770,100,httpFlood
tcp,S3,9,9,httpFlood
tcp,S3,351,100,httpFlood
tcp,S3,825,99,httpFlood
tcp,S3,149,100,httpFlood
tcp,OTH,169,33,httpFlood
tcp,S3,850,99,httpFlood
tcp,S1,171,100,httpFlood
tcp,OTH,59,94,httpFlood
tcp,S3,636,100,httpFlood
tcp,S3,30,30,httpFlood
tcp,S3,134,100,httpFlood
tcp,S3,152,100,httpFlood
tcp,S3,120,100,httpFlood
tcp,OTH,177,33,httpFlood
tcp,S3,179,100,httpFlood
tcp,S3,166,100,httpFlood
tcp,S3,165,100,httpFlood
tcp,S3,152,100,httpFlood
tcp,RSTO,461,100,httpFlood
tcp,OTH,137,20,httpFlood
tcp,OTH,144,31,httpFlood
tcp,S3,175,100,httpFlood
tcp,S3,897,100,httpFlood
tcp,S3,771,100,httpFlood
tcp,S3,853,99,httpFlood
tcp,RSTO,486,100,httpFlood
tcp,RSTO,843,100,httpFlood
tcp,RSTO,689,100,httpFlood
tcp,S3,145,100,httpFlood
tcp,S3,928,100,httpFlood
tcp,S1,1034,100,httpFlood
tcp,OTH,177,33,httpFlood
tcp,S3,150,100,httpFlood
tcp,S1,200,100,httpFlood
tcp,OTH,179,33,httpFlood
tcp,S3,133,100,httpFlood
tcp,S3,107,100,httpFlood
tcp,S3,142,100,httpFlood
tcp,OTH,85,57,httpFlood
tcp,S3,1028,100,httpFlood
tcp,OTH,99,100,httpFlood
tcp,S3,137,94,httpFlood
tcp,S3,170,100,httpFlood
tcp,S3,150,100,httpFlood
tcp,S3,196,100,httpFlood
tcp,S3,398,100,httpFlood
tcp,RSTO,729,100,httpFlood
tcp,OTH,137,11,httpFlood
tcp,OTH,7,7,httpFlood
tcp,S3,874,100,httpFlood
tcp,S3,294,100,httpFlood
tcp,OTH,141,31,httpFlood
tcp,OTH,119,31,httpFlood
tcp,RSTO,692,100,httpFlood
tcp,OTH,178,33,httpFlood
tcp,S3,821,99,httpFlood
tcp,S3,50,50,httpFlood
tcp,OTH,311,100,httpFlood
tcp,RSTO,423,100,httpFlood
tcp,S3,151,100,httpFlood
tcp,S3,296,100,httpFlood
tcp,RSTO,610,100,httpFlood
tcp,S3,170,100,httpFlood
tcp,S3,149,100,httpFlood
tcp,OTH,177,33,httpFlood
tcp,OTH,35,88,httpFlood
tcp,S3,643,100,httpFlood
tcp,OTH,136,33,httpFlood
tcp,OTH,60,41,httpFlood
tcp,S3,157,100,httpFlood
tcp,OTH,95,37,httpFlood
tcp,OTH,31,85,httpFlood
tcp,S3,133,100,httpFlood
tcp,OTH,72,56,httpFlood
tcp,OTH,86,96,httpFlood
tcp,RSTO,848,100,httpFlood
tcp,S3,162,100,httpFlood
tcp,S3,121,100,httpFlood
tcp,S3,444,100,httpFlood
tcp,OTH,126,33,httpFlood
tcp,OTH,178,33,httpFlood
tcp,RSTO,363,100,httpFlood
tcp,S3,154,100,httpFlood
tcp,RSTO,538,100,httpFlood
tcp,S3,713,100,httpFlood
tcp,S3,819,99,httpFlood
tcp,S3,438,100,httpFlood
tcp,OTH,177,33,httpFlood
tcp,OTH,289,100,httpFlood
tcp,S1,192,100,httpFlood
tcp,S3,906,100,httpFlood
tcp,S3,54,98,httpFlood
tcp,S1,182,100,httpFlood
tcp,S3,135,100,httpFlood
tcp,OTH,114,32,httpFlood
tcp,S3,150,100,httpFlood
tcp,S3,987,100,httpFlood
tcp,S3,145,100,httpFlood
tcp,S3,146,100,httpFlood
tcp,OTH,135,26,httpFlood
tcp,OTH,169,33,httpFlood
tcp,OTH,64,50,httpFlood
tcp,S3,110,100,httpFlood
tcp,S3,148,100,httpFlood
tcp,S3,39,39,httpFlood
tcp,S3,541,100,httpFlood
tcp,S3,93,98,httpFlood
tcp,S3,150,100,httpFlood
tcp,S3,384,93,httpFlood
tcp,OTH,42,38,httpFlood
tcp,OTH,265,98,httpFlood
tcp,OTH,105,57,httpFlood
tcp,S3,314,100,httpFlood
tcp,RSTO,428,100,httpFlood
tcp,S3,148,100,httpFlood
tcp,OTH,60,48,httpFlood
tcp,OTH,174,33,httpFlood
tcp,S3,156,100,httpFlood
tcp,OTH,142,52,httpFlood
tcp,OTH,81,94,httpFlood
tcp,S3,858,100,httpFlood
tcp,OTH,135,100,httpFlood
tcp,S3,694,100,httpFlood
tcp,S3,141,100,httpFlood
tcp,RSTO,671,100,httpFlood
tcp,S3,888,100,httpFlood
tcp,S3,777,100,httpFlood
tcp,S3,139,100,httpFlood
tcp,S3,828,99,httpFlood
tcp,S3,144,100,httpFlood
tcp,S3,569,100,httpFlood
tcp,S3,796,99,httpFlood
tcp,S3,149,100,httpFlood
tcp,S3,143,100,httpFlood
tcp,S3,141,100,httpFlood
tcp,S3,512,100,httpFlood
tcp,S3,104,100,httpFlood
tcp,S3,149,100,httpFlood
tcp,S3,730,100,httpFlood
tcp,S3,167,100,httpFlood
tcp,OTH,132,36,httpFlood
tcp,S3,242,100,httpFlood
tcp,S3,137,100,httpFlood
tcp,S1,175,100,httpFlood
tcp,S3,129,100,httpFlood
tcp,S3,555,100,httpFlood
tcp,S3,756,100,httpFlood
tcp,S3,370,100,httpFlood
tcp,OTH,136,33,httpFlood
tcp,S3,749,100,httpFlood
tcp,S3,84,84,httpFlood
tcp,S3,786,99,httpFlood
tcp,OTH,62,42,httpFlood
tcp,S3,21,98,httpFlood
tcp,S3,214,100,httpFlood
tcp,S3,247,100,httpFlood
tcp,RSTO,804,100,httpFlood
tcp,S3,159,100,httpFlood
tcp,OTH,46,39,httpFlood
tcp,S3,135,100,httpFlood
tcp,S3,152,100,httpFlood
