% isAttack HIGH_RATE:	1087
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,5,8,23,27,29,33,38,40'

@attribute total_fvolume numeric
@attribute min_fpktl numeric
@attribute std_fpktl numeric
@attribute mean_active numeric
@attribute mean_idle numeric
@attribute std_idle numeric
@attribute sflow_bbytes numeric
@attribute total_fhlen numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
317,317,0,0,0,0,0,28,NORMAL
196,196,0,0,0,0,0,28,NORMAL
276,276,0,0,0,0,0,28,NORMAL
110,110,0,0,0,0,0,28,NORMAL
2216,1108,0,343876,0,0,0,48,NORMAL
48,48,0,0,0,0,0,28,NORMAL
133,133,0,0,0,0,0,28,NORMAL
45,45,0,0,0,0,0,28,NORMAL
161,161,0,0,0,0,0,28,NORMAL
142,142,0,0,0,0,0,28,NORMAL
131,131,0,0,0,0,0,28,NORMAL
78,78,0,0,0,0,0,28,NORMAL
2216,1108,0,0,7900561,0,0,48,NORMAL
92,92,0,0,0,0,0,28,NORMAL
73,73,0,0,0,0,0,28,NORMAL
1204,56,5,1606635,1147045,116075,0,368,NORMAL
211,211,0,0,0,0,0,28,NORMAL
88,44,0,896742,0,0,0,48,NORMAL
300,300,0,0,0,0,0,28,NORMAL
624,624,0,0,0,0,0,28,NORMAL
131,131,0,0,0,0,0,28,NORMAL
48,48,0,0,0,0,0,28,NORMAL
95,95,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
2496,77,42,10030644,0,0,0,388,NORMAL
81,81,0,0,0,0,0,28,NORMAL
393,131,0,0,3988196,80026,0,68,NORMAL
81,81,0,0,0,0,0,28,NORMAL
147,147,0,0,0,0,0,28,NORMAL
176,44,0,262283,0,0,0,88,NORMAL
83,83,0,0,0,0,0,28,NORMAL
92,92,0,0,0,0,0,28,NORMAL
596,596,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
85,85,0,0,0,0,0,28,NORMAL
258,129,0,837234,0,0,0,48,NORMAL
990,495,0,0,2054510,0,0,48,NORMAL
399,399,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
14840,1484,0,86986,0,0,0,208,NORMAL
131,131,0,0,0,0,0,28,NORMAL
100538,129,402,4620916,1317717,0,0,3028,NORMAL
129,129,0,0,0,0,0,28,NORMAL
264,44,0,1062577,0,0,0,128,NORMAL
129,129,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
132,44,0,194009,3534191,0,0,68,NORMAL
442379,135,192,10336819,0,0,0,8348,NORMAL
129,129,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
72,72,0,0,0,0,0,28,NORMAL
72,72,0,0,0,0,0,28,NORMAL
84,84,0,0,0,0,0,28,NORMAL
370,370,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
645,129,0,35569,2346617,598849,0,108,NORMAL
73,73,0,0,0,0,0,28,NORMAL
1048,116,14,1499159,0,0,0,168,NORMAL
73,73,0,0,0,0,0,28,NORMAL
92,92,0,0,0,0,0,28,NORMAL
48,48,0,0,0,0,0,28,NORMAL
77,77,0,0,0,0,0,28,NORMAL
116,29,0,0,3015082,6482,0,88,NORMAL
144,48,0,409,1390066,0,0,68,NORMAL
62,62,0,0,0,0,0,28,NORMAL
143,143,0,0,0,0,0,28,NORMAL
159,159,0,0,0,0,0,28,NORMAL
92,92,0,0,0,0,0,28,NORMAL
66,66,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
90,90,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
75,75,0,0,0,0,0,28,NORMAL
138,68,1,0,5992180,0,0,48,NORMAL
90,90,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
285,129,19,0,4399048,0,0,48,NORMAL
131,131,0,0,0,0,0,28,NORMAL
92,92,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
154,154,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
58,58,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
276,276,0,0,0,0,0,28,NORMAL
100860,164,291,10476083,0,0,0,3268,NORMAL
183,183,0,0,0,0,0,28,NORMAL
99,99,0,0,0,0,0,28,NORMAL
95,95,0,0,0,0,0,28,NORMAL
585,585,0,0,0,0,0,28,NORMAL
88,44,0,12312,0,0,0,48,NORMAL
160,80,0,0,8005885,0,0,48,NORMAL
181,181,0,0,0,0,0,28,NORMAL
76,76,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
48,48,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
96,96,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
73,73,0,0,0,0,0,28,NORMAL
58,58,0,0,0,0,0,28,NORMAL
177,177,0,0,0,0,0,28,NORMAL
1060,1060,0,0,0,0,0,28,NORMAL
11616,1452,0,4550,0,0,0,168,NORMAL
73,73,0,0,0,0,0,28,NORMAL
83,83,0,0,0,0,0,28,NORMAL
131,131,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
92,92,0,0,0,0,0,28,NORMAL
1108,1108,0,0,0,0,0,28,NORMAL
176,44,0,329780,1497656,641557,0,88,NORMAL
264,44,0,82551,1909871,0,0,128,NORMAL
94,94,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
116,116,0,0,0,0,0,28,NORMAL
631,631,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
86,86,0,0,0,0,0,28,NORMAL
116,116,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
176,44,0,54879,1036116,0,0,88,NORMAL
235,235,0,0,0,0,0,28,NORMAL
93,93,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
64,64,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
30,30,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
177,177,0,0,0,0,0,28,NORMAL
64,64,0,0,0,0,0,28,NORMAL
132,44,0,272415,0,0,0,68,NORMAL
70,70,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
49,49,0,0,0,0,0,28,NORMAL
174,174,0,0,0,0,0,28,NORMAL
316,158,0,89664,0,0,0,48,NORMAL
92,92,0,0,0,0,0,28,NORMAL
62,62,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
177,177,0,0,0,0,0,28,NORMAL
274,274,0,0,0,0,0,28,NORMAL
200,100,0,0,4112047,0,0,48,NORMAL
126,126,0,0,0,0,0,28,NORMAL
220,220,0,0,0,0,0,28,NORMAL
69,69,0,0,0,0,0,28,NORMAL
240,80,0,0,2279597,169692,0,68,NORMAL
90,90,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
232,116,0,0,10009970,0,0,48,NORMAL
764,764,0,0,0,0,0,28,NORMAL
1728,100,46,598043,1810906,1113588,0,228,NORMAL
854,99,463,1,0,0,0,48,NORMAL
61,61,0,0,0,0,0,28,NORMAL
58,58,0,0,0,0,0,28,NORMAL
63,63,0,0,0,0,0,28,NORMAL
78,78,0,0,0,0,0,28,NORMAL
151,151,0,0,0,0,0,28,NORMAL
93,93,0,0,0,0,0,28,NORMAL
637,637,0,0,0,0,0,28,NORMAL
131,131,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
30,30,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
91,91,0,0,0,0,0,28,NORMAL
79,79,0,0,0,0,0,28,NORMAL
9972,1108,0,32,6010855,0,0,188,NORMAL
73,73,0,0,0,0,0,28,NORMAL
176,176,0,0,0,0,0,28,NORMAL
1110,48,207,1567902,0,0,0,168,NORMAL
129,129,0,0,0,0,0,28,NORMAL
122,122,0,0,0,0,0,28,NORMAL
176,44,0,69939,0,0,0,88,NORMAL
126,126,0,0,0,0,0,28,NORMAL
114,52,7,0,4029246,0,0,48,NORMAL
73,73,0,0,0,0,0,28,NORMAL
93,93,0,0,0,0,0,28,NORMAL
131,131,0,0,0,0,0,28,NORMAL
58,58,0,0,0,0,0,28,NORMAL
71,71,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
1060,1060,0,0,0,0,0,28,NORMAL
44,44,0,0,0,0,0,28,NORMAL
75,75,0,0,0,0,0,28,NORMAL
1108,1108,0,0,0,0,0,28,NORMAL
129,129,0,0,0,0,0,28,NORMAL
130,130,0,0,0,0,0,28,NORMAL
80,80,0,0,0,0,0,28,NORMAL
126,126,0,0,0,0,0,28,NORMAL
113,113,0,0,0,0,0,28,NORMAL
66,66,0,0,0,0,0,28,NORMAL
75,75,0,0,0,0,0,28,NORMAL
