% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,8-9,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,slowBody}

@data
OTH,78,0,4714,4714,tcpFlood
OTH,78,0,4638,4638,tcpFlood
OTH,78,0,1129,1129,tcpFlood
OTH,78,0,482,482,tcpFlood
OTH,78,0,2005,2005,tcpFlood
OTH,78,0,1751,1751,tcpFlood
OTH,78,0,4668,4668,tcpFlood
OTH,78,0,4059,4059,tcpFlood
OTH,78,0,5229,5229,tcpFlood
OTH,78,0,3435,3435,tcpFlood
OTH,78,0,796,796,tcpFlood
OTH,78,0,927,927,tcpFlood
OTH,78,0,2765,2765,tcpFlood
OTH,78,0,3919,3919,tcpFlood
OTH,78,0,181,181,tcpFlood
OTH,78,0,6262,6262,tcpFlood
OTH,78,0,3629,3629,tcpFlood
OTH,78,0,3905,3905,tcpFlood
OTH,78,0,700,700,tcpFlood
OTH,78,0,476,476,tcpFlood
OTH,78,0,4996,4996,tcpFlood
OTH,78,0,1857,1857,tcpFlood
OTH,78,0,5326,5326,tcpFlood
OTH,78,0,5094,5094,tcpFlood
OTH,78,0,1610,1610,tcpFlood
OTH,78,0,4407,4407,tcpFlood
OTH,78,0,1727,1727,tcpFlood
OTH,78,0,5277,5277,tcpFlood
OTH,78,0,1141,1141,tcpFlood
OTH,78,0,2509,2509,tcpFlood
OTH,78,0,450,450,tcpFlood
OTH,78,0,1252,1252,tcpFlood
OTH,78,0,5183,5183,tcpFlood
OTH,78,0,5747,5747,tcpFlood
OTH,78,0,5000,5000,tcpFlood
OTH,78,0,221,221,tcpFlood
OTH,78,0,5357,5357,tcpFlood
OTH,78,0,3356,3356,tcpFlood
OTH,78,0,5159,5159,tcpFlood
OTH,78,0,6218,6218,tcpFlood
OTH,78,0,1932,1932,tcpFlood
