% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,8-9,18-19,22,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,OTH,0,3076,3076,43,1,0,normal
0,tcp,SF,12461,1865,1865,94,1,0,normal
0,tcp,OTH,0,4913,4913,78,1,0,normal
0,tcp,OTH,0,4416,4416,43,1,0,normal
0,tcp,SF,12461,4231,4231,95,1,0,normal
0,tcp,OTH,0,4746,4746,42,1,0,normal
0,tcp,SF,12461,2531,2531,100,1,0,normal
0,tcp,OTH,0,5982,5982,32,1,0,normal
0,tcp,OTH,0,2864,2864,50,1,0,normal
0,tcp,SF,12461,3539,3539,100,1,0,normal
0,tcp,S2,206,3615,3615,100,1,0,normal
0,tcp,SF,12461,1973,1973,100,1,0,normal
0,tcp,SF,12461,2337,2337,78,1,0,normal
0,tcp,OTH,0,5109,5109,42,1,0,normal
0,tcp,OTH,0,3268,3268,35,1,0,normal
0,tcp,OTH,0,5784,5784,41,1,0,normal
0,tcp,SF,12461,3428,3428,95,1,0,normal
0,tcp,SF,12461,2778,2778,100,1,0,normal
0,tcp,S1,66,2986,2986,100,1,0,normal
0,tcp,OTH,0,4679,4679,32,1,0,normal
0,tcp,OTH,0,2999,2999,45,1,0,normal
0,tcp,SF,12461,2285,2285,100,1,0,normal
0,tcp,SF,12527,2786,2786,89,1,0,normal
0,tcp,OTH,0,3358,3358,48,1,0,normal
0,tcp,SF,12461,1479,1479,100,1,0,normal
0,tcp,OTH,0,2905,2905,49,1,0,normal
0,tcp,OTH,0,3850,3850,49,1,0,normal
0,tcp,OTH,0,2766,2766,47,1,0,normal
0,tcp,SF,12527,3017,3017,55,1,0,normal
0,tcp,OTH,0,3945,3945,18,1,0,normal
0,tcp,OTH,0,2142,2142,52,1,0,normal
0,tcp,SF,12461,2021,2021,86,1,0,normal
0,tcp,OTH,0,4980,4980,33,1,0,normal
0,tcp,OTH,0,5076,5076,25,1,0,normal
0,tcp,SF,12461,2533,2533,100,1,0,normal
0,tcp,OTH,0,4883,4883,48,1,0,normal
0,tcp,SF,12461,2114,2114,100,1,0,normal
0,tcp,OTH,0,5993,5993,50,1,0,normal
0,tcp,SF,12461,3098,3098,85,1,0,normal
0,tcp,OTH,0,5510,5510,100,1,0,normal
0,tcp,RSTR,266,3342,3342,100,1,0,normal
0,tcp,OTH,0,3316,3316,47,1,0,normal
0,tcp,SF,12461,1548,1548,100,1,0,normal
0,tcp,OTH,0,3185,3185,43,1,0,normal
0,tcp,SF,12461,1943,1943,100,1,0,normal
0,tcp,OTH,0,3535,3535,45,1,0,normal
0,tcp,OTH,0,4059,4059,37,1,0,normal
0,tcp,OTH,0,5084,5084,42,1,0,normal
0,tcp,OTH,0,4937,4937,59,1,0,normal
0,tcp,OTH,0,4073,4073,34,1,0,normal
0,tcp,SF,12461,2413,2413,100,1,0,normal
0,tcp,SF,12461,2251,2251,100,1,0,normal
0,tcp,SF,12461,1926,1926,100,1,0,normal
0,tcp,OTH,0,5701,5701,31,1,0,normal
0,tcp,OTH,0,3261,3261,47,1,0,normal
0,tcp,OTH,0,3948,3948,68,1,0,normal
0,tcp,OTH,0,5147,5147,49,1,0,normal
0,tcp,SF,12461,2139,2139,100,1,0,normal
0,tcp,SF,12395,2043,2043,100,1,0,normal
0,tcp,SF,12461,1950,1950,99,1,0,normal
0,tcp,SF,12461,1953,1953,100,1,0,normal
0,tcp,SF,12461,2249,2249,100,1,0,normal
0,tcp,SF,12461,2003,2003,100,1,0,normal
0,tcp,OTH,0,5943,5943,52,1,0,normal
0,tcp,OTH,0,3758,3758,40,1,0,normal
0,tcp,S3,12395,1757,1757,100,1,0,normal
0,tcp,OTH,0,2956,2956,42,1,0,normal
0,tcp,OTH,0,6323,6323,51,1,0,normal
0,tcp,OTH,0,5023,5023,46,1,0,normal
0,tcp,S2,206,2883,2883,100,1,0,normal
0,tcp,SF,12461,1248,1248,100,1,0,normal
0,tcp,SF,12461,3356,3356,100,1,0,normal
0,tcp,OTH,0,2477,2477,52,1,0,normal
0,tcp,SF,12527,2784,2784,89,1,0,normal
0,tcp,OTH,0,4441,4441,49,1,0,normal
0,tcp,OTH,0,2520,2520,48,1,0,normal
0,tcp,SF,12461,1866,1866,100,1,0,normal
0,tcp,SF,12461,1944,1944,100,1,0,normal
0,tcp,OTH,0,4742,4742,52,1,0,normal
0,tcp,SF,12461,2210,2210,100,1,0,normal
0,tcp,SF,12461,2141,2141,100,1,0,normal
0,tcp,OTH,0,3065,3065,40,1,0,normal
0,tcp,SF,12461,2122,2122,100,1,0,normal
0,tcp,OTH,0,5910,5910,53,1,0,normal
0,tcp,SF,12461,1144,1144,100,1,0,normal
0,tcp,SF,12461,2119,2119,100,1,0,normal
0,tcp,SF,12395,2323,2323,47,1,0,normal
0,tcp,SF,12461,2750,2750,100,1,0,normal
0,tcp,OTH,0,3114,3114,83,1,0,normal
0,tcp,SF,12461,3028,3028,100,1,0,normal
0,tcp,S1,140,1665,1665,100,1,0,normal
0,tcp,SF,12461,2187,2187,100,1,0,normal
0,tcp,OTH,0,3069,3069,85,1,0,normal
0,tcp,OTH,0,3493,3493,48,1,0,normal
0,tcp,SF,12461,1583,1583,100,1,0,normal
0,tcp,SF,12461,2122,2122,100,1,0,normal
0,tcp,SF,12461,2330,2330,100,1,0,normal
0,tcp,S1,66,2264,2264,100,1,0,normal
0,tcp,SF,12472,2711,2711,78,1,0,normal
0,tcp,OTH,0,3383,3383,52,1,0,normal
0,tcp,SF,12461,2179,2179,98,1,0,normal
0,tcp,SF,12461,2943,2943,100,1,0,normal
0,tcp,SF,12461,999,999,100,1,0,normal
0,tcp,OTH,0,3546,3546,52,1,0,normal
0,tcp,SF,12461,2034,2034,100,1,0,normal
13,tcp,RSTR,12521,1530,1530,90,1,0,normal
0,tcp,SF,12527,2780,2780,100,1,0,normal
0,tcp,SF,12527,2685,2685,100,1,0,normal
0,tcp,SF,12461,2533,2533,100,1,0,normal
0,tcp,OTH,0,2789,2789,46,1,0,normal
0,tcp,SF,12461,2321,2321,100,1,0,normal
0,tcp,SF,12461,2167,2167,99,1,0,normal
0,tcp,SF,12395,2080,2080,88,1,0,normal
0,tcp,SF,12461,3088,3088,100,1,0,normal
0,tcp,OTH,0,4355,4355,80,1,0,normal
0,tcp,OTH,0,3005,3005,56,1,0,normal
0,tcp,SF,12395,3372,3372,65,1,0,normal
0,tcp,OTH,0,5974,5974,42,1,0,normal
0,tcp,SF,12461,2187,2187,100,1,0,normal
