% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,26-27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,60,141,31,31,0,udpFlood
udp,OTH,60,32,29,29,0,udpFlood
udp,OTH,60,24,24,24,0,udpFlood
udp,OTH,60,143,33,33,0,udpFlood
udp,OTH,60,114,33,33,0,udpFlood
udp,OTH,60,151,33,33,0,udpFlood
udp,OTH,60,54,23,23,0,udpFlood
udp,OTH,60,49,21,21,0,udpFlood
udp,OTH,60,146,33,33,0,udpFlood
udp,OTH,60,117,34,34,0,udpFlood
udp,OTH,60,110,34,34,0,udpFlood
udp,OTH,60,108,33,33,0,udpFlood
udp,OTH,60,142,33,33,0,udpFlood
udp,OTH,60,142,33,33,0,udpFlood
udp,OTH,60,133,33,33,0,udpFlood
udp,OTH,60,110,33,33,0,udpFlood
udp,OTH,60,8,8,8,0,udpFlood
udp,OTH,60,142,33,33,0,udpFlood
udp,OTH,60,79,41,41,0,udpFlood
udp,OTH,60,125,33,33,0,udpFlood
udp,OTH,60,125,33,33,0,udpFlood
udp,OTH,60,154,33,33,0,udpFlood
udp,OTH,60,107,34,34,0,udpFlood
udp,OTH,60,106,33,33,0,udpFlood
udp,OTH,60,98,41,41,0,udpFlood
udp,OTH,60,114,33,33,0,udpFlood
udp,OTH,60,109,34,34,0,udpFlood
udp,OTH,60,93,42,42,0,udpFlood
udp,OTH,60,138,11,11,0,udpFlood
udp,OTH,60,131,33,33,0,udpFlood
udp,OTH,60,148,33,33,0,udpFlood
udp,OTH,60,108,33,33,0,udpFlood
udp,OTH,60,142,33,33,0,udpFlood
udp,OTH,60,13,13,13,0,udpFlood
udp,OTH,60,113,33,33,0,udpFlood
udp,OTH,60,109,33,33,0,udpFlood
udp,OTH,60,141,22,22,0,udpFlood
udp,OTH,60,102,40,40,0,udpFlood
udp,OTH,60,138,33,33,0,udpFlood
udp,OTH,60,166,33,33,0,udpFlood
udp,OTH,60,10,10,10,0,udpFlood
udp,OTH,60,138,13,13,0,udpFlood
udp,OTH,60,87,42,42,0,udpFlood
udp,OTH,60,87,42,42,0,udpFlood
udp,OTH,60,104,40,40,0,udpFlood
udp,OTH,60,117,33,33,0,udpFlood
udp,OTH,60,86,43,43,0,udpFlood
udp,OTH,60,86,41,41,0,udpFlood
udp,OTH,60,91,42,42,0,udpFlood
udp,OTH,60,137,33,33,0,udpFlood
udp,OTH,60,82,42,42,0,udpFlood
udp,OTH,60,108,38,38,0,udpFlood
udp,OTH,60,109,33,33,0,udpFlood
udp,OTH,60,136,33,33,0,udpFlood
udp,OTH,60,121,33,33,0,udpFlood
udp,OTH,60,44,33,33,0,udpFlood
tcp,S3,374,242,100,100,0,httpFlood
tcp,S3,374,137,100,100,0,httpFlood
tcp,S1,242,175,100,100,0,httpFlood
tcp,S3,374,129,100,100,0,httpFlood
tcp,S3,377,555,100,100,0,httpFlood
tcp,S3,380,756,100,100,0,httpFlood
tcp,S3,386,370,100,100,0,httpFlood
tcp,OTH,60,136,33,33,0,httpFlood
tcp,S3,392,749,100,100,0,httpFlood
tcp,S3,374,84,84,84,0,httpFlood
tcp,S3,377,786,99,99,0,httpFlood
tcp,OTH,66,62,42,42,0,httpFlood
tcp,S3,374,21,98,98,0,httpFlood
tcp,S3,374,214,100,100,0,httpFlood
tcp,S3,374,247,100,100,0,httpFlood
tcp,RSTO,446,804,100,100,0,httpFlood
tcp,S3,374,159,100,100,0,httpFlood
tcp,OTH,66,46,39,39,0,httpFlood
tcp,S3,380,135,100,100,0,httpFlood
tcp,S3,374,152,100,100,0,httpFlood
tcp,S3,377,305,68,33,0,httpFlood
tcp,OTH,60,180,33,33,0,httpFlood
tcp,S3,374,164,100,100,0,httpFlood
tcp,S3,464,121,100,100,0,httpFlood
tcp,S3,374,115,100,100,0,httpFlood
tcp,OTH,66,275,99,99,0,httpFlood
tcp,OTH,66,274,99,99,0,httpFlood
tcp,RSTO,446,539,100,100,0,httpFlood
tcp,S3,374,161,100,100,0,httpFlood
tcp,S3,374,134,100,100,0,httpFlood
tcp,OTH,60,174,33,33,0,httpFlood
tcp,RSTO,446,529,100,100,0,httpFlood
tcp,S3,377,843,99,99,0,httpFlood
tcp,RSTO,446,510,100,100,0,httpFlood
tcp,S3,374,133,100,100,0,httpFlood
tcp,S3,386,201,100,100,0,httpFlood
tcp,S3,377,395,97,94,0,httpFlood
tcp,S3,374,373,100,100,0,httpFlood
tcp,S3,386,123,100,100,0,httpFlood
tcp,OTH,66,111,100,100,0,httpFlood
tcp,S3,374,174,100,100,0,httpFlood
tcp,RSTO,446,542,100,100,0,httpFlood
tcp,S3,374,119,100,100,0,httpFlood
tcp,S3,377,913,100,100,0,httpFlood
tcp,OTH,66,110,58,33,0,httpFlood
tcp,OTH,60,180,33,33,0,httpFlood
tcp,OTH,60,171,33,33,0,httpFlood
tcp,S3,374,150,100,100,0,httpFlood
tcp,S3,374,133,100,100,0,httpFlood
tcp,S3,377,989,100,100,0,httpFlood
tcp,RSTO,446,708,100,100,0,httpFlood
tcp,RSTO,446,630,100,100,0,httpFlood
tcp,S3,374,106,100,100,0,httpFlood
tcp,RSTO,446,416,100,100,0,httpFlood
tcp,S3,374,118,100,100,0,httpFlood
tcp,S3,377,568,100,100,0,httpFlood
tcp,S3,374,233,100,100,0,httpFlood
tcp,S3,374,142,100,100,0,httpFlood
tcp,S3,380,728,100,100,0,httpFlood
tcp,OTH,60,180,33,33,0,httpFlood
tcp,S3,374,58,98,98,0,httpFlood
