@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8-10,18,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
OTH,66,3010,3010,0,41,normal
SF,946,3895,3895,0,98,normal
SF,946,2507,2507,0,94,normal
OTH,66,5350,5350,0,92,normal
OTH,66,3025,3025,0,46,normal
OTH,66,3318,3318,0,61,normal
OTH,66,4423,4423,0,46,normal
SF,946,2299,2299,0,100,normal
OTH,66,3828,3828,0,27,normal
SF,946,2830,2830,0,100,normal
SF,946,2075,2075,0,100,normal
S1,286,2338,2338,0.29,100,normal
SF,1024,3059,3059,0,76,normal
OTH,66,2483,2483,0,52,normal
SF,946,2429,2429,0,98,normal
SF,946,2399,2399,0,100,normal
OTH,66,3902,3902,0,47,normal
SF,946,2779,2779,0,100,normal
SF,946,3955,3955,0,100,normal
OTH,66,3284,3284,0,41,normal
OTH,66,2852,2852,0,46,normal
OTH,66,3373,3373,0,52,normal
OTH,78,5697,5697,0,51,normal
SF,946,2301,2301,0,100,normal
OTH,66,4975,4975,0,48,normal
OTH,66,3734,3734,0,100,normal
OTH,66,2980,2980,0,50,normal
SF,946,2972,2972,0,100,normal
OTH,66,3451,3451,0,40,normal
SF,946,2235,2235,0,100,normal
SF,946,1828,1828,0,100,normal
OTH,66,2497,2497,0,52,normal
SF,946,2161,2161,0,100,normal
SF,946,2215,2215,0,100,normal
SF,946,2183,2183,0,100,normal
OTH,66,3840,3840,0,42,normal
OTH,66,2207,2207,0,56,normal
RSTR,1768,1549,1549,0,97,normal
OTH,66,5196,5196,0,76,normal
SF,946,2527,2527,0,100,normal
S1,140,2660,2660,0.37,100,normal
SF,946,2890,2890,0,100,normal
OTH,66,2194,2194,0,56,normal
OTH,66,5739,5739,0,59,normal
SF,946,2131,2131,0,100,normal
SF,880,2969,2969,0,63,normal
OTH,66,3336,3336,0,35,normal
SF,946,3119,3119,0,89,normal
SF,880,1560,1560,0,100,normal
SF,946,3118,3118,0,76,normal
SF,946,274,274,0,100,normal
S1,286,2769,2769,0.4,100,normal
OTH,66,5087,5087,0,66,normal
SF,946,905,905,0,100,normal
OTH,66,5786,5786,0,41,normal
SF,946,1982,1982,0,100,normal
SF,946,1116,1116,0,100,normal
SF,946,3932,3932,0,69,normal
SF,946,3997,3997,0,97,normal
SF,946,2046,2046,0,100,normal
SF,946,3324,3324,0,100,normal
OTH,66,3577,3577,0,56,normal
SF,946,2133,2133,0,100,normal
SF,946,3035,3035,0,100,normal
SF,946,2047,2047,0,100,normal
SF,946,3116,3116,0,100,normal
OTH,66,6269,6269,0,44,normal
SF,946,752,752,0,100,normal
SF,946,2266,2266,0,100,normal
SF,946,3879,3879,0,100,normal
SF,946,3517,3517,0,100,normal
SF,946,2981,2981,0,63,normal
SF,946,919,919,0,100,normal
SF,946,1851,1851,0,100,normal
OTH,66,4439,4439,0,48,normal
SF,946,1195,1195,0,100,normal
SF,946,1860,1860,0,100,normal
OTH,66,2179,2179,0,38,normal
OTH,66,3005,3005,0,46,normal
OTH,146,2589,2589,0,67,normal
SF,946,2212,2212,0,100,normal
OTH,66,2804,2804,0,60,normal
OTH,66,2929,2929,0,52,normal
OTH,66,3769,3769,0,100,normal
OTH,66,2498,2498,0,52,normal
SF,1120,1859,1859,0,94,normal
SF,946,3915,3915,0,69,normal
SF,946,2065,2065,0,100,normal
SF,946,2516,2516,0,100,normal
SF,880,5751,5751,0,59,normal
SF,946,2418,2418,0,100,normal
OTH,66,3553,3553,0,49,normal
SF,946,2467,2467,0,100,normal
SF,946,1942,1942,0,100,normal
S3,880,3290,3290,0.47,100,normal
S1,140,2590,2590,0.36,100,normal
SF,946,3988,3988,0,100,normal
SF,946,2308,2308,0,100,normal
SF,946,1513,1513,0,95,normal
SF,734,3577,3577,0,54,normal
SF,946,2150,2150,0,100,normal
