% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,OTH,146,4911,4911,0,48,48,normal
tcp,SF,1012,2266,2266,0,100,100,normal
tcp,SF,982,1655,1655,0,100,100,normal
tcp,OTH,66,4961,4961,0,54,54,normal
tcp,OTH,66,3057,3057,0,55,55,normal
tcp,SF,946,3010,3010,0,100,100,normal
tcp,OTH,66,2670,2670,0,50,50,normal
tcp,OTH,66,4837,4837,0,57,57,normal
tcp,SF,946,1749,1749,0,100,100,normal
tcp,OTH,66,3397,3397,0,46,46,normal
tcp,OTH,146,5154,5154,0,51,51,normal
tcp,OTH,66,5787,5787,0,13,13,normal
tcp,OTH,78,5743,5743,0,65,65,normal
tcp,SF,946,899,899,0,99,99,normal
tcp,SF,1024,2726,2726,0,72,72,normal
tcp,SF,946,1019,1019,0,100,100,normal
tcp,SF,946,3346,3346,0,93,93,normal
tcp,SF,352,3172,3172,0,87,87,normal
tcp,SF,946,2913,2913,0,98,98,normal
tcp,SF,946,3296,3296,0,100,100,normal
tcp,SF,946,3533,3533,0,100,100,normal
tcp,OTH,146,2498,2498,0,37,37,normal
tcp,SF,946,2255,2255,0,100,100,normal
tcp,SF,946,2205,2205,0,100,100,normal
tcp,SF,946,2149,2149,0,100,100,normal
tcp,SF,946,1429,1429,0,100,100,normal
tcp,SF,946,2860,2860,0,100,100,normal
tcp,OTH,66,5778,5778,0,43,43,normal
tcp,OTH,66,4955,4955,0,57,57,normal
tcp,SF,946,2243,2243,0,100,100,normal
tcp,OTH,66,3140,3140,0,39,39,normal
tcp,OTH,78,5813,5813,0,50,50,normal
tcp,S3,880,1674,1674,0,100,100,normal
tcp,SF,1024,3832,3832,0,54,54,normal
tcp,OTH,66,4935,4935,0,45,45,normal
tcp,SF,946,3062,3062,0,24,24,normal
tcp,OTH,78,5701,5701,0,45,45,normal
tcp,SF,946,2599,2599,0,100,100,normal
tcp,SF,946,2968,2968,0,63,63,normal
tcp,SF,880,3348,3348,0,93,93,normal
tcp,S1,218,2462,2462,0,100,100,normal
tcp,OTH,66,3430,3430,0,47,47,normal
tcp,OTH,66,3142,3142,0,50,50,normal
tcp,OTH,66,4051,4051,0,99,99,normal
