@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,988,0,100,normal
tcp,SF,591,0,100,normal
tcp,SF,2180,0,98,normal
tcp,SF,3321,0,70,normal
tcp,SF,1853,0,98,normal
tcp,OTH,2756,0,49,normal
tcp,SF,3823,0,50,normal
tcp,SF,4028,0,100,normal
tcp,SF,3021,0,100,normal
tcp,SF,2076,0,100,normal
tcp,OTH,3052,0,79,normal
tcp,OTH,5845,0,52,normal
tcp,SF,1712,0,100,normal
tcp,SF,1910,0,92,normal
tcp,OTH,4787,0,45,normal
tcp,SF,2949,0,100,normal
tcp,OTH,2910,0,47,normal
tcp,OTH,5170,0,40,normal
tcp,OTH,5964,0,39,normal
tcp,OTH,2877,0,38,normal
tcp,OTH,3499,0,43,normal
tcp,SF,2863,0,35,normal
tcp,SF,1956,0,100,normal
tcp,SF,5915,0,51,normal
tcp,SF,2685,0,100,normal
tcp,SF,2115,0,100,normal
tcp,OTH,3265,0,40,normal
tcp,SF,589,0,100,normal
tcp,SF,3115,0,85,normal
tcp,OTH,5064,0,27,normal
tcp,SF,2062,0,90,normal
tcp,OTH,5610,0,38,normal
tcp,SF,4049,0,100,normal
tcp,OTH,3023,0,53,normal
tcp,SF,1856,0,100,normal
tcp,SF,3682,0,100,normal
tcp,SF,74,0,74,normal
tcp,SF,1834,0,100,normal
tcp,OTH,2950,0,46,normal
tcp,OTH,3487,0,57,normal
tcp,SF,1837,0,100,normal
tcp,S3,3434,0,100,normal
tcp,SF,2154,0,100,normal
tcp,SF,2149,0,100,normal
tcp,SF,1205,0,100,normal
tcp,OTH,3550,0,53,normal
tcp,OTH,3554,0,49,normal
tcp,S2,2289,0,100,normal
tcp,OTH,3212,0,43,normal
tcp,OTH,2828,0,49,normal
tcp,OTH,4720,0,55,normal
tcp,SF,3504,0,100,normal
tcp,SF,563,0,97,normal
tcp,SF,2168,0,100,normal
tcp,OTH,2939,0,41,normal
tcp,OTH,5158,0,55,normal
tcp,OTH,3332,0,48,normal
tcp,SF,3899,0,100,normal
tcp,SF,4081,0,100,normal
tcp,SF,1856,0,100,normal
tcp,SF,2616,0,100,normal
tcp,SF,1662,0,100,normal
tcp,OTH,2647,0,47,normal
tcp,SF,456,0,100,normal
tcp,OTH,5650,0,50,normal
tcp,SF,1887,0,100,normal
tcp,OTH,3306,0,55,normal
tcp,OTH,3499,0,52,normal
tcp,OTH,3660,0,41,normal
tcp,OTH,3194,0,45,normal
tcp,OTH,3714,0,91,normal
tcp,OTH,5925,0,54,normal
tcp,SF,2297,0,100,normal
tcp,SF,3021,0,100,normal
tcp,OTH,3478,0,40,normal
tcp,OTH,5751,0,47,normal
