@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-4,9,16-17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,S3,374,55,0,98,httpFlood
tcp,OTH,60,177,0,33,httpFlood
tcp,S3,380,773,0,100,httpFlood
tcp,OTH,66,29,0,29,httpFlood
tcp,S3,374,154,0,100,httpFlood
udp,OTH,60,116,0,33,udpFlood
udp,OTH,60,59,0,25,udpFlood
tcp,S3,374,145,0,100,httpFlood
tcp,OTH,66,203,0,98,httpFlood
tcp,OTH,60,163,0,33,httpFlood
tcp,S3,374,176,0,100,httpFlood
tcp,S3,377,743,0.19,100,httpFlood
tcp,OTH,60,177,0,33,httpFlood
udp,OTH,60,105,0,34,udpFlood
tcp,S3,374,164,0,100,httpFlood
tcp,OTH,60,170,0,33,httpFlood
udp,OTH,60,81,0,42,udpFlood
tcp,OTH,60,174,0.22,33,httpFlood
tcp,S3,374,137,0,100,httpFlood
tcp,S3,377,758,0.19,100,httpFlood
udp,OTH,60,142,0,33,udpFlood
tcp,S3,380,146,0,100,httpFlood
tcp,S3,374,151,0,100,httpFlood
tcp,OTH,66,36,0,88,httpFlood
tcp,S3,374,162,0,100,httpFlood
tcp,S3,374,152,0,100,httpFlood
tcp,RSTO,446,340,0,100,httpFlood
tcp,S1,242,454,0,100,httpFlood
tcp,S3,374,306,0,100,httpFlood
tcp,S3,380,992,0,100,httpFlood
tcp,S3,374,15,0,98,httpFlood
tcp,S3,374,154,0,100,httpFlood
tcp,S3,377,246,0.59,100,httpFlood
tcp,S1,242,447,0,100,httpFlood
tcp,OTH,60,177,0,33,httpFlood
tcp,S3,380,141,0,100,httpFlood
tcp,OTH,66,31,0,31,httpFlood
tcp,OTH,60,47,0,33,httpFlood
tcp,S3,374,20,0,20,httpFlood
tcp,S3,374,43,0,98,httpFlood
tcp,OTH,66,199,0,98,httpFlood
tcp,S3,374,166,0,100,httpFlood
tcp,S3,377,406,0.35,100,httpFlood
tcp,S3,374,148,0,100,httpFlood
tcp,RSTO,446,371,0,100,httpFlood
tcp,RSTO,446,676,0,100,httpFlood
tcp,S3,374,165,0,100,httpFlood
tcp,OTH,66,21,0,21,httpFlood
tcp,S3,392,778,0,100,httpFlood
tcp,OTH,66,204,0,98,httpFlood
tcp,S3,374,140,0,100,httpFlood
tcp,RSTO,446,787,0,100,httpFlood
tcp,S3,374,174,0,100,httpFlood
tcp,S3,374,112,0,75,httpFlood
tcp,OTH,66,227,0,98,httpFlood
tcp,OTH,60,166,0,33,httpFlood
tcp,S3,377,766,0.19,100,httpFlood
tcp,S3,374,222,0,100,httpFlood
tcp,S3,374,395,0,100,httpFlood
tcp,S3,374,141,0,100,httpFlood
udp,OTH,60,141,0,29,udpFlood
tcp,S3,377,354,0.41,100,httpFlood
udp,OTH,60,102,0,33,udpFlood
tcp,RSTO,446,598,0,100,httpFlood
tcp,S3,377,617,0.23,99,httpFlood
tcp,S3,374,52,0,52,httpFlood
tcp,S3,374,133,0,100,httpFlood
tcp,RSTO,446,649,0,100,httpFlood
tcp,S3,377,326,0.44,100,httpFlood
tcp,S3,374,34,0,98,httpFlood
tcp,OTH,66,77,0,58,httpFlood
tcp,RSTO,446,589,0,100,httpFlood
tcp,S3,374,149,0,100,httpFlood
tcp,S3,374,139,0,100,httpFlood
tcp,RSTO,446,484,0,100,httpFlood
tcp,S3,374,150,0,100,httpFlood
tcp,RSTO,446,695,0,100,httpFlood
tcp,OTH,60,174,0.22,33,httpFlood
tcp,OTH,60,125,0,33,httpFlood
tcp,S3,374,3,0,3,httpFlood
tcp,S3,377,203,0.71,86,httpFlood
tcp,RSTO,446,522,0,100,httpFlood
tcp,RSTO,446,501,0,100,httpFlood
tcp,S3,377,271,0.53,100,httpFlood
tcp,RSTO,446,359,0,100,httpFlood
tcp,S3,374,103,0,71,httpFlood
tcp,S3,374,155,0,100,httpFlood
tcp,OTH,60,174,0.22,33,httpFlood
tcp,S3,374,128,0,100,httpFlood
tcp,S3,377,281,0.51,100,httpFlood
tcp,S3,374,106,0,100,httpFlood
udp,OTH,60,94,0,42,udpFlood
tcp,S3,374,137,0,100,httpFlood
tcp,OTH,60,176,0,33,httpFlood
tcp,OTH,60,177,0,33,httpFlood
tcp,OTH,66,145,0,100,httpFlood
tcp,S3,374,120,0,100,httpFlood
tcp,S3,392,764,0,100,httpFlood
tcp,S3,374,118,0,100,httpFlood
tcp,S3,377,660,0.22,99,httpFlood
tcp,S3,377,380,0.38,100,httpFlood
tcp,OTH,66,279,0,99,httpFlood
tcp,S3,374,167,0,100,httpFlood
tcp,S3,374,298,0,100,httpFlood
tcp,S3,380,898,0,100,httpFlood
tcp,S3,374,65,0,65,httpFlood
tcp,S3,374,75,0,75,httpFlood
tcp,OTH,66,16,0,16,httpFlood
tcp,S3,374,147,0,100,httpFlood
udp,OTH,60,115,0,33,udpFlood
tcp,S3,377,714,0.2,100,httpFlood
tcp,S3,374,147,0,100,httpFlood
tcp,S3,374,97,0,100,httpFlood
tcp,S3,374,70,0,70,httpFlood
tcp,OTH,60,174,0.22,33,httpFlood
tcp,S3,377,163,0.88,74,httpFlood
tcp,RSTO,446,740,0,100,httpFlood
