% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-10,23,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,slowBody}

@data
78,0,2274,2274,0,0,tcpFlood
78,0,1744,1744,0,0,tcpFlood
78,0,3212,3212,0,0,tcpFlood
78,0,1050,1050,0,0,tcpFlood
78,0,3810,3810,0,0,tcpFlood
78,0,4249,4249,0,0,tcpFlood
78,0,2091,2091,0,0,tcpFlood
78,0,5136,5136,0,0,tcpFlood
78,0,4723,4723,0,0,tcpFlood
78,0,6182,6182,0,0,tcpFlood
78,0,3147,3147,0,0,tcpFlood
78,0,3112,3112,0,0,tcpFlood
78,0,4966,4966,0,0,tcpFlood
78,0,3535,3535,0,0,tcpFlood
78,0,4282,4282,0,0,tcpFlood
78,0,4701,4701,0,0,tcpFlood
78,0,1832,1832,0,0,tcpFlood
78,0,2500,2500,0,0,tcpFlood
78,0,924,924,0,0,tcpFlood
78,0,2336,2336,0,0,tcpFlood
78,0,4454,4454,0,0,tcpFlood
78,0,1562,1562,0,0,tcpFlood
78,0,4326,4326,0,0,tcpFlood
78,0,2538,2538,0,0,tcpFlood
78,0,6213,6213,0,0,tcpFlood
78,0,3388,3388,0,0,tcpFlood
78,0,3254,3254,0,0,tcpFlood
78,0,4716,4716,0,0,tcpFlood
78,0,3776,3776,0,0,tcpFlood
78,0,17,17,0,0,tcpFlood
78,0,801,801,0,0,tcpFlood
78,0,902,902,0,0,tcpFlood
78,0,4714,4714,0,0,tcpFlood
78,0,4638,4638,0,0,tcpFlood
78,0,1129,1129,0,0,tcpFlood
78,0,482,482,0,0,tcpFlood
78,0,2005,2005,0,0,tcpFlood
78,0,1751,1751,0,0,tcpFlood
78,0,4668,4668,0,0,tcpFlood
78,0,4059,4059,0,0,tcpFlood
78,0,5229,5229,0,0,tcpFlood
78,0,3435,3435,0,0,tcpFlood
78,0,796,796,0,0,tcpFlood
78,0,927,927,0,0,tcpFlood
78,0,2765,2765,0,0,tcpFlood
78,0,3919,3919,0,0,tcpFlood
78,0,181,181,0,0,tcpFlood
78,0,6262,6262,0,0,tcpFlood
78,0,3629,3629,0,0,tcpFlood
78,0,3905,3905,0,0,tcpFlood
78,0,700,700,0,0,tcpFlood
78,0,476,476,0,0,tcpFlood
78,0,4996,4996,0,0,tcpFlood
78,0,1857,1857,0,0,tcpFlood
78,0,5326,5326,0,0,tcpFlood
78,0,5094,5094,0,0,tcpFlood
78,0,1610,1610,0,0,tcpFlood
78,0,4407,4407,0,0,tcpFlood
78,0,1727,1727,0,0,tcpFlood
78,0,5277,5277,0,0,tcpFlood
78,0,1141,1141,0,0,tcpFlood
78,0,2509,2509,0,0,tcpFlood
78,0,450,450,0,0,tcpFlood
78,0,1252,1252,0,0,tcpFlood
78,0,5183,5183,0,0,tcpFlood
78,0,5747,5747,0,0,tcpFlood
78,0,5000,5000,0,0,tcpFlood
78,0,221,221,0,0,tcpFlood
78,0,5357,5357,0,0,tcpFlood
78,0,3356,3356,0,0,tcpFlood
78,0,5159,5159,0,0,tcpFlood
78,0,6218,6218,0,0,tcpFlood
78,0,1932,1932,0,0,tcpFlood
78,0,4109,4109,0,0,tcpFlood
78,0,1105,1105,0,0,tcpFlood
78,0,828,828,0,0,tcpFlood
78,0,5919,5919,0,0,tcpFlood
78,0,3504,3504,0,0,tcpFlood
78,0,1539,1539,0,0,tcpFlood
78,0,2637,2637,0,0,tcpFlood
78,0,333,333,0,0,tcpFlood
78,0,165,165,0,0,tcpFlood
