% isAttack tcpFlood:	199
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	571
% isAttack slowBody:	571
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R7,10,14,22,33,40'

@attribute max_fpktl numeric
@attribute mean_bpktl numeric
@attribute mean_fiat numeric
@attribute min_active numeric
@attribute sflow_bbytes numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
496,52,4901,7361356,55114,tcpFlood
184,52,3326,16508207,184882,tcpFlood
196,52,14232,2192291,4076,tcpFlood
388,52,3299,16112854,184634,tcpFlood
1500,52,5406,7871635,56262,tcpFlood
1500,52,3843,16820328,58590,tcpFlood
1500,52,3394,24074301,111094,tcpFlood
316,52,1759,8228226,172434,tcpFlood
184,52,11938,1957728,2868,tcpFlood
1500,52,3243,26107335,129838,tcpFlood
88,52,1920,307594,3128,tcpFlood
316,52,2639,7742362,40898,tcpFlood
952,52,3393,23063967,98342,tcpFlood
268,52,3372,16185177,178138,tcpFlood
316,52,3785,16008049,49218,tcpFlood
268,52,2497,5978164,34802,tcpFlood
388,52,3300,16160387,183914,tcpFlood
352,52,1882,3163117,64794,tcpFlood
148,52,7364,1436020,1256,tcpFlood
292,52,6615,2427416,2708,tcpFlood
1500,52,5477,7526107,50102,tcpFlood
208,52,2927,231246,1892,tcpFlood
64,52,2004,589402,15140,tcpFlood
640,52,5378,8598202,62598,tcpFlood
220,54,23721,47412,1906,tcpFlood
352,53,14565,71843,2624,tcpFlood
1500,56,17287,4853010,4045,tcpFlood
292,52,5513,5882485,40690,tcpFlood
280,52,3036,27652818,136250,tcpFlood
136,57,19690,3794821,3535,tcpFlood
520,52,5262,7681749,52582,tcpFlood
220,54,21778,3007687,3342,tcpFlood
76,52,12742,1898651,3440,tcpFlood
340,52,7695,6445218,37454,tcpFlood
1500,52,5186,7821773,52482,tcpFlood
460,54,30919,59002,1153,tcpFlood
1500,52,4070,8351802,67182,tcpFlood
172,52,5785,1440708,1568,tcpFlood
436,52,3508,22034403,82742,tcpFlood
160,62,18596,5058117,3082,tcpFlood
304,52,2671,7355223,37258,tcpFlood
316,53,2920,2432506,15874,tcpFlood
1500,52,4628,7173703,58722,tcpFlood
292,52,14680,56102,2168,tcpFlood
652,52,4804,8326135,62334,tcpFlood
1500,52,2991,29197627,147662,tcpFlood
124,52,15472,1825733,3036,tcpFlood
496,52,5864,4886711,17196,tcpFlood
208,52,15074,2291371,2712,tcpFlood
472,52,5295,5874498,41146,tcpFlood
400,55,20191,71524,2085,tcpFlood
640,52,4428,8838725,75230,tcpFlood
76,52,16419,591557,1256,tcpFlood
172,52,3964,824703,1464,tcpFlood
652,52,4761,8189455,57830,tcpFlood
424,52,1808,3664777,79250,tcpFlood
496,52,4347,8579313,68786,tcpFlood
640,52,4541,8165853,68762,tcpFlood
496,52,5618,7972294,55970,tcpFlood
1500,52,16385,429530,1904,tcpFlood
340,52,1832,4167245,86438,tcpFlood
232,54,27707,66652,1709,tcpFlood
172,52,13769,3924175,2504,tcpFlood
292,52,5646,5734251,38662,tcpFlood
388,52,3277,16632967,189058,tcpFlood
1500,52,5420,7799519,56066,tcpFlood
640,52,4806,8853896,61362,tcpFlood
280,54,18939,2570769,3416,tcpFlood
172,52,26979,3716774,2110,tcpFlood
256,52,3202,16182011,185520,tcpFlood
1500,52,5330,7684647,50894,tcpFlood
388,52,3166,15993545,181974,tcpFlood
268,52,2681,6448968,34218,tcpFlood
304,53,2519,3383150,19034,tcpFlood
76,52,20615,1958485,1880,tcpFlood
64,52,3567,413847,1308,tcpFlood
1500,52,4872,7995801,62542,tcpFlood
256,53,18146,64488,1806,tcpFlood
232,52,2970,16159029,184026,tcpFlood
232,54,18186,71036,2168,tcpFlood
148,52,7364,1436020,1256,tcpFlood
196,52,17416,1951024,3712,tcpFlood
472,52,5279,5897193,45642,tcpFlood
352,62,30049,46500,1492,tcpFlood
160,52,31315,48910,1068,tcpFlood
316,54,24610,67245,1670,tcpFlood
195,-1,0,0,0,tcpFlood
388,52,3132,16181963,191154,tcpFlood
448,56,22603,61899,2411,tcpFlood
388,52,3306,16612904,186018,tcpFlood
124,56,33919,3134446,1442,tcpFlood
268,52,3089,16179850,193310,tcpFlood
1500,57,22849,3707,2495,tcpFlood
88,52,10380,1397410,3140,tcpFlood
364,52,1829,8730964,184094,tcpFlood
1060,52,3681,14987282,47796,tcpFlood
124,54,2555,1966647,12898,tcpFlood
292,52,1870,5683563,135890,tcpFlood
268,53,17382,3989803,3506,tcpFlood
388,52,2916,15970123,189438,tcpFlood
352,52,1872,5173174,122358,tcpFlood
388,52,5186,7997045,54046,tcpFlood
400,52,1869,7719712,163594,tcpFlood
100,52,2022,900080,6560,tcpFlood
280,52,3120,28675716,155838,tcpFlood
220,52,15917,1687830,2348,tcpFlood
1500,53,20654,3478470,4150,tcpFlood
172,52,19667,3460039,2636,tcpFlood
148,52,18749,36038,2006,tcpFlood
256,52,3409,16157041,177798,tcpFlood
172,52,9463,3265078,2972,tcpFlood
388,52,3382,16182972,185966,tcpFlood
1500,57,22610,69638,1950,tcpFlood
124,52,24399,3646243,2266,tcpFlood
220,57,17824,60204,2015,tcpFlood
184,53,19464,57577,2318,tcpFlood
1500,52,4771,7820115,56212,tcpFlood
1500,54,21811,3714496,3474,tcpFlood
640,52,5055,8175000,51124,tcpFlood
1500,52,5431,7565917,51090,tcpFlood
244,52,3266,15871975,183506,tcpFlood
256,52,5687,5812846,43018,tcpFlood
220,53,26353,51455,2177,tcpFlood
292,52,23918,5453505,2920,tcpFlood
376,52,4353,7796312,69634,tcpFlood
1500,52,4291,7998953,67534,tcpFlood
820,52,4628,8428284,55742,tcpFlood
1168,52,5276,7828778,52878,tcpFlood
952,52,3483,23577892,102150,tcpFlood
148,52,7091,1467912,1256,tcpFlood
496,52,4726,7736741,52982,tcpFlood
460,52,2012,2656591,56578,tcpFlood
184,52,17121,2260309,3336,tcpFlood
436,52,1830,6708903,149970,tcpFlood
316,52,4628,7873382,58878,tcpFlood
508,52,5125,7477826,51190,tcpFlood
652,52,5288,8165918,64838,tcpFlood
1500,52,24114,62963,1896,tcpFlood
868,52,3307,25090943,119530,tcpFlood
256,52,2679,5444001,28186,tcpFlood
484,52,4571,16879127,121030,tcpFlood
208,52,3447,15814670,175970,tcpFlood
736,52,3607,19994708,80154,tcpFlood
64,52,19870,1132639,736,tcpFlood
340,52,5978,5881225,42354,tcpFlood
640,52,5106,8835339,60270,tcpFlood
496,52,3148,26608160,135702,tcpFlood
100,52,15291,2187107,3128,tcpFlood
232,52,3185,16183560,193742,tcpFlood
88,52,18251,1314095,1100,tcpFlood
88,52,22991,3728310,2660,tcpFlood
208,52,1797,1120441,31208,tcpFlood
964,52,4901,7775259,57434,tcpFlood
184,52,15639,87548,1266,tcpFlood
460,52,5179,16850449,125594,tcpFlood
172,52,5346,1432874,1464,tcpFlood
184,52,11808,1842086,4036,tcpFlood
496,52,4350,8274562,60570,tcpFlood
148,52,16177,2217095,2504,tcpFlood
1500,52,4890,8000897,59122,tcpFlood
388,52,3129,16121778,183048,tcpFlood
172,52,3964,824703,1464,tcpFlood
1500,53,17283,59820,1300,tcpFlood
78,-1,751980,751980,0,tcpFlood
328,52,1752,9233697,196366,tcpFlood
292,52,6615,2427416,2708,tcpFlood
388,52,3380,16670439,188122,tcpFlood
292,52,7945,1824133,2818,tcpFlood
184,61,23333,46888,2082,tcpFlood
316,52,1850,7207879,159082,tcpFlood
388,52,3150,15949805,189678,tcpFlood
340,52,1859,6188208,143626,tcpFlood
304,52,6025,3004729,2994,tcpFlood
40,-1,1939,9651218,0,udpFlood
40,-1,4465,160740,0,udpFlood
40,-1,7941,29313047,0,udpFlood
40,-1,2062,9650002,0,udpFlood
40,-1,7571,8273338,0,udpFlood
40,-1,9076,1121662,0,udpFlood
40,-1,2097,9653436,0,udpFlood
40,-1,1900,29673963,0,udpFlood
40,-1,1864,29674290,0,udpFlood
40,-1,1991,29674539,0,udpFlood
40,-1,2011,29672606,0,udpFlood
