% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,8-9,16,18,22,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,tcp,66,4392,4392,0,32,0,normal
0,tcp,946,2067,2067,0,47,0,normal
0,tcp,880,2272,2272,0,100,0,normal
0,tcp,880,4271,4271,0,66,0,normal
0,tcp,946,3378,3378,0,100,0,normal
0,tcp,946,1146,1146,0,100,0,normal
0,tcp,66,3081,3081,0,46,0,normal
0,tcp,946,2842,2842,0,100,0,normal
0,tcp,66,4394,4394,0,34,0,normal
0,tcp,66,5659,5659,0,11,0,normal
0,tcp,66,5833,5833,0,41,0,normal
0,tcp,880,3161,3161,0,100,0,normal
0,tcp,220,3179,3179,0,100,0,normal
0,tcp,946,2757,2757,0,48,0,normal
0,tcp,66,4010,4010,0,99,0,normal
0,tcp,800,2619,2619,0,66,0,normal
0,tcp,734,3568,3568,0,100,0,normal
0,tcp,66,3459,3459,0,53,0,normal
0,tcp,146,5762,5762,0,45,0,normal
0,tcp,880,2133,2133,0,99,0,normal
0,tcp,1012,2927,2927,0,100,0,normal
0,tcp,946,3098,3098,0,80,0,normal
0,tcp,946,1952,1952,0,100,0,normal
0,tcp,946,3523,3523,0,100,0,normal
0,tcp,66,4372,4372,0,39,0,normal
0,tcp,946,2253,2253,0,100,0,normal
0,tcp,66,3156,3156,0,39,0,normal
0,tcp,946,2989,2989,0,65,0,normal
0,tcp,66,3266,3266,0,48,0,normal
0,tcp,946,3238,3238,0,98,0,normal
0,tcp,880,5662,5662,0,72,0,normal
0,tcp,946,2531,2531,0,100,0,normal
0,tcp,946,3901,3901,0,100,0,normal
0,tcp,66,2930,2930,0,47,0,normal
0,tcp,946,3883,3883,0,98,0,normal
0,tcp,78,2880,2880,0,76,0,normal
0,tcp,946,2112,2112,0,100,0,normal
1,tcp,946,2963,2963,0,100,0,normal
0,tcp,946,1739,1739,0,100,0,normal
0,tcp,880,3045,3045,0,89,0,normal
0,tcp,66,3661,3661,0,86,0,normal
0,tcp,66,3306,3306,0,58,0,normal
0,tcp,946,1737,1737,0,100,0,normal
0,tcp,66,5211,5211,0,42,0,normal
0,tcp,946,3331,3331,0,91,0,normal
0,tcp,946,2168,2168,0,100,0,normal
0,tcp,946,3081,3081,0,85,0,normal
0,tcp,1024,1927,1927,0,100,0,normal
0,tcp,946,1853,1853,0,100,0,normal
0,tcp,946,2150,2150,0,100,0,normal
0,tcp,946,2066,2066,0,100,0,normal
0,tcp,946,2235,2235,0,100,0,normal
0,tcp,66,6134,6134,0,44,0,normal
0,tcp,946,1188,1188,0,100,0,normal
0,tcp,78,3282,3282,0,96,0,normal
0,tcp,66,2954,2954,0,48,0,normal
0,tcp,66,3186,3186,0,62,0,normal
