% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
tcp,OTH,37,37,0.82,NORMAL
tcp,OTH,2,20,0.08,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,317,35,0.97,NORMAL
tcp,SF,1,1,0,NORMAL
tcp,SF,3,3,0,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,8,16,0.09,NORMAL
tcp,OTH,92,34,0.97,NORMAL
tcp,OTH,1,1,0.02,NORMAL
tcp,OTH,21,21,0.41,NORMAL
tcp,OTH,22,22,0.48,NORMAL
tcp,OTH,1,1,0.05,NORMAL
tcp,OTH,91,18,0.95,NORMAL
tcp,OTH,226,29,0.88,NORMAL
tcp,OTH,323,35,0.97,NORMAL
tcp,OTH,16,16,0.76,NORMAL
tcp,OTH,45,36,0.97,NORMAL
tcp,OTH,11,11,0.19,NORMAL
tcp,OTH,262,49,0.98,NORMAL
tcp,OTH,10,27,0.56,NORMAL
tcp,OTH,17,19,0.39,NORMAL
tcp,OTH,10,9,0.13,NORMAL
tcp,OTH,118,33,0.97,NORMAL
tcp,RSTR,0,0,0,NORMAL
tcp,OTH,68,37,0.77,NORMAL
tcp,OTH,6,29,0.57,NORMAL
tcp,OTH,4,4,0.09,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,416,47,0.98,NORMAL
tcp,OTH,60,34,0.97,NORMAL
tcp,OTH,284,49,0.98,NORMAL
tcp,RSTO,1,0,0,NORMAL
tcp,RSTO,11,1,0,NORMAL
tcp,OTH,1,3,0.06,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,0,0,0,NORMAL
tcp,OTH,0,2,0.04,NORMAL
tcp,OTH,78,13,0.5,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,37,37,0.9,NORMAL
tcp,OTH,1,1,0.02,NORMAL
tcp,OTH,79,13,0.48,NORMAL
tcp,SF,0,2,0,NORMAL
tcp,OTH,282,43,0.98,NORMAL
tcp,OTH,5,36,0.71,NORMAL
tcp,OTH,25,25,0.78,NORMAL
tcp,OTH,0,29,0.66,NORMAL
tcp,SF,1,12,0,NORMAL
tcp,OTH,120,35,0.95,NORMAL
tcp,RSTO,3,3,0,NORMAL
tcp,OTH,32,32,0.7,NORMAL
tcp,OTH,139,33,0.97,NORMAL
tcp,OTH,85,30,0.97,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,9,25,0.5,NORMAL
tcp,OTH,476,49,0.98,NORMAL
tcp,OTH,116,29,0.72,NORMAL
tcp,RSTO,1,1,0,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,0,7,0.2,NORMAL
tcp,OTH,92,29,0.97,NORMAL
tcp,OTH,72,33,0.97,NORMAL
tcp,OTH,132,34,0.94,NORMAL
tcp,OTH,144,32,0.97,NORMAL
tcp,OTH,308,32,0.97,NORMAL
tcp,OTH,131,33,0.97,NORMAL
tcp,OTH,151,29,0.88,NORMAL
tcp,OTH,276,32,0.97,NORMAL
tcp,OTH,6,6,0.86,NORMAL
tcp,OTH,0,0,0,NORMAL
tcp,OTH,22,27,0.79,NORMAL
tcp,OTH,26,26,0.58,NORMAL
tcp,OTH,3,3,0.08,NORMAL
tcp,OTH,3,3,0.07,NORMAL
tcp,OTH,184,37,0.97,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,167,21,0.95,NORMAL
tcp,OTH,60,37,0.84,NORMAL
tcp,OTH,235,48,0.98,NORMAL
tcp,OTH,289,33,0.97,NORMAL
tcp,OTH,4,9,0.17,NORMAL
tcp,OTH,109,34,0.97,NORMAL
tcp,OTH,309,42,0.93,NORMAL
tcp,OTH,126,19,0.95,NORMAL
tcp,OTH,70,43,0.98,NORMAL
tcp,OTH,7,5,0.12,NORMAL
tcp,OTH,246,27,0.79,NORMAL
tcp,OTH,188,36,0.9,NORMAL
tcp,OTH,317,44,0.98,NORMAL
tcp,SF,3,3,0,NORMAL
tcp,OTH,134,13,0.93,NORMAL
tcp,OTH,93,22,0.73,NORMAL
