% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,7-8,16,30,38-40'

@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute std_fiat numeric
@attribute sflow_fpackets numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
40,40,0,1876,5087,101748,0,udpFlood
40,40,0,22216,6474,129488,0,udpFlood
40,40,0,12774,9419,188388,0,udpFlood
40,40,0,56004,895,53728,0,udpFlood
40,40,0,8577,11786,235728,0,udpFlood
40,40,0,44611,3780,75608,0,udpFlood
40,40,0,22807,6317,126348,0,udpFlood
40,40,0,73115,159,15948,0,udpFlood
40,40,0,19090,7114,142288,0,udpFlood
40,40,0,44172,1596,63848,0,udpFlood
40,40,0,1982,4903,98068,0,udpFlood
40,40,0,2188,15402,308048,0,udpFlood
40,40,0,25189,1512,121028,0,udpFlood
40,40,0,18409,7550,151008,0,udpFlood
40,40,0,10312,4529,181168,0,udpFlood
40,40,0,20750,7214,144288,0,udpFlood
40,40,0,62995,522,41768,0,udpFlood
40,40,0,20819,1622,129808,0,udpFlood
40,40,0,19185,2088,125288,0,udpFlood
40,40,0,18196,2200,132008,0,udpFlood
40,40,0,1012,19027,380548,0,udpFlood
40,40,0,40649,4384,87688,0,udpFlood
78,78,0,0,2,48,0,udpFlood
40,40,0,996,19038,380768,0,udpFlood
40,40,0,27509,2077,124648,0,udpFlood
40,40,0,31644,5008,100168,0,udpFlood
40,40,0,1900,5094,101888,0,udpFlood
40,40,0,33099,4773,95468,0,udpFlood
40,40,0,33016,4691,93828,0,udpFlood
40,40,0,1319,17899,357988,0,udpFlood
40,40,0,46256,3656,73128,0,udpFlood
40,40,0,27989,2086,125188,0,udpFlood
40,40,0,43134,738,59068,0,udpFlood
40,40,0,40945,1752,70108,0,udpFlood
40,40,0,48063,3557,71148,0,udpFlood
40,40,0,41056,4347,86948,0,udpFlood
40,40,0,22011,6467,129348,0,udpFlood
40,40,0,71770,196,11788,0,udpFlood
40,40,0,22641,6677,133548,0,udpFlood
40,40,0,9702,4715,188608,0,udpFlood
40,40,0,37496,4336,86728,0,udpFlood
40,40,0,2083,15763,315268,0,udpFlood
40,40,0,69841,423,25388,0,udpFlood
40,40,0,22424,6576,131528,0,udpFlood
40,40,0,13798,9595,191908,0,udpFlood
40,40,0,45398,906,54408,0,udpFlood
40,40,0,66765,535,42808,0,udpFlood
40,40,0,61412,639,12788,0,udpFlood
40,40,0,29210,2003,120188,0,udpFlood
40,40,0,10458,4655,186208,0,udpFlood
40,40,0,63853,1184,47368,0,udpFlood
40,40,0,13891,7884,157688,0,udpFlood
40,40,0,2126,4754,95088,0,udpFlood
40,40,0,2367,4565,91308,0,udpFlood
40,40,0,45937,944,56648,0,udpFlood
40,40,0,74184,247,19788,0,udpFlood
40,40,0,2181,15627,312548,0,udpFlood
40,40,0,40502,3720,74408,0,udpFlood
40,40,0,29155,2108,126528,0,udpFlood
40,40,0,2097,4791,95828,0,udpFlood
40,40,0,22412,6274,125488,0,udpFlood
40,40,0,14834,7408,148168,0,udpFlood
40,40,0,55017,1486,59448,0,udpFlood
40,40,0,12871,9282,185648,0,udpFlood
40,40,0,25153,1462,117008,0,udpFlood
40,40,0,50169,731,58508,0,udpFlood
40,40,0,21694,6700,134008,0,udpFlood
40,40,0,1990,4992,99848,0,udpFlood
40,40,0,25965,2236,134168,0,udpFlood
40,40,0,33556,4580,91608,0,udpFlood
40,40,0,45417,3742,74848,0,udpFlood
40,40,0,2138,15539,310788,0,udpFlood
40,40,0,32828,4624,92488,0,udpFlood
40,40,0,34478,4555,91108,0,udpFlood
40,40,0,8169,12356,247128,0,udpFlood
40,40,0,43761,1595,63808,0,udpFlood
40,40,0,33329,4514,90288,0,udpFlood
40,40,0,57012,576,34588,0,udpFlood
40,40,0,11071,4412,176488,0,udpFlood
40,40,0,39718,720,57628,0,udpFlood
40,40,0,2112,4672,93448,0,udpFlood
79,79,0,11,2,88,0,udpFlood
40,40,0,13305,8712,174248,0,udpFlood
40,40,0,56205,1391,55648,0,udpFlood
40,40,0,1338,17614,352288,0,udpFlood
40,40,0,13908,7824,156488,0,udpFlood
40,40,0,28574,2129,127768,0,udpFlood
40,40,0,984,18660,373208,0,udpFlood
40,40,0,62134,1213,48528,0,udpFlood
40,40,0,20221,1851,111068,0,udpFlood
40,40,0,19559,1976,118568,0,udpFlood
40,40,0,10525,4632,185308,0,udpFlood
40,40,0,42257,1719,68768,0,udpFlood
40,40,0,69140,800,32008,0,udpFlood
40,40,0,14394,7660,153208,0,udpFlood
40,40,0,13905,8953,179068,0,udpFlood
40,40,0,42237,969,58188,0,udpFlood
40,40,0,12963,9135,182708,0,udpFlood
40,40,0,917,19155,383108,0,udpFlood
40,40,0,48700,3410,68208,0,udpFlood
40,40,0,51861,999,59968,0,udpFlood
40,40,0,35937,833,66708,0,udpFlood
40,40,0,43694,1734,69388,0,udpFlood
40,40,0,41543,4185,83708,0,udpFlood
40,40,0,13581,9967,199348,0,udpFlood
40,40,0,9917,4525,181028,0,udpFlood
40,40,0,1320,17859,357188,0,udpFlood
40,40,0,2119,15567,311348,0,udpFlood
40,40,0,25038,2161,129668,0,udpFlood
40,40,0,22085,6619,132388,0,udpFlood
40,40,0,21437,6864,137288,0,udpFlood
40,40,0,12232,9911,198228,0,udpFlood
40,40,0,82596,222,13368,0,udpFlood
