% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8-9,11,14,16-19,21-22,24,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,60,0,305,311,0,1,0.02,49,49,1,0.98,0,0,normal
0,tcp,74,0,112,113,0,1,0.01,29,29,1,0.97,0,0,normal
0,tcp,112,0,4,4,0,1,0,4,4,1,0.8,0,0,normal
0,tcp,60,0,131,149,0,1,0.12,33,33,1,0.97,0,0,normal
0,tcp,156,0,24,28,0,1,0.14,24,46,1,0.51,0.48,0,normal
0,tcp,60,0,97,98,0,1,0.01,42,42,1,0.98,0,0,normal
0,tcp,60,0,39,41,0,1,0.05,39,47,1,0.81,0.17,0,normal
0,tcp,60,0,32,66,0,1,0.52,32,44,1,0.71,0.27,0,normal
0,tcp,60,0,18,20,0,1,0.1,34,48,1,0.69,0.29,0,normal
0,tcp,60,0,118,121,0,1,0.02,34,34,1,0.97,0,0,normal
0,tcp,66,0,481,486,0,1,0.01,49,49,1,0.98,0,0,normal
5,tcp,272,140,1,2,0,1,0.5,3,7,1,0,0.57,0,normal
0,tcp,66,0,76,83,0,1,0.08,39,40,1,0.95,0.03,0,normal
0,tcp,60,0,162,162,0,1,0,19,19,1,0.95,0,0,normal
0,tcp,60,0,127,130,0,1,0.02,33,33,1,0.97,0,0,normal
10,tcp,3320,1723,2,9,0,1,0.78,2,42,1,0,0.95,0,normal
0,tcp,60,0,101,101,0,1,0,12,12,1,0.92,0,0,normal
0,tcp,60,0,114,151,0,1,0.25,12,12,1,0.92,0,0,normal
0,tcp,60,0,22,90,0,1,0.76,22,48,1,0.45,0.54,0,normal
6,tcp,1135,541,0,11,0,0,1,1,46,1,0,0.98,0,normal
0,tcp,60,0,6,70,0,1,0.91,6,44,1,0.13,0.86,0,normal
0,tcp,60,0,324,326,0,1,0.01,42,42,1,0.98,0,0,normal
0,tcp,272,140,0,2,0,0,1,0,11,0,0,1,0,normal
11,tcp,2421,1722,1,3,0,1,0.67,6,68,1,0,0.91,0,normal
0,tcp,60,0,320,322,0,1,0.01,37,37,1,0.97,0,0,normal
0,tcp,60,0,2,4,0,1,0.5,6,41,1,0.14,0.85,0,normal
0,tcp,744,0,17,51,0,1,0.67,16,50,1,0.22,0.68,0,normal
0,tcp,60,0,8,12,0,1,0.33,20,53,1,0.37,0.62,0,normal
0,tcp,60,0,309,311,0,1,0.01,30,30,1,0.97,0,0,normal
0,tcp,60,0,31,37,0,1,0.16,31,42,1,0.72,0.26,0,normal
0,tcp,60,0,419,424,0,1,0.01,47,47,1,0.98,0,0,normal
0,tcp,60,0,127,145,0,1,0.12,33,33,1,0.97,0,0,normal
0,tcp,112,0,16,48,0,1,0.67,17,55,1,0.18,0.69,0,normal
0,tcp,60,0,226,226,0,1,0,28,28,1,0.97,0,0,normal
0,tcp,66,0,84,135,0,1,0.38,17,27,1,0.61,0.37,0,normal
0,tcp,66,0,316,318,0,1,0.01,37,37,1,0.97,0,0,normal
0,tcp,60,0,173,175,0,1,0.01,18,18,1,0.95,0,0,normal
0,tcp,66,0,4,4,0,1,0,4,35,1,0.11,0.89,0,normal
0,tcp,66,0,11,11,0,1,0,11,38,1,0.28,0.71,0,normal
5,tcp,900,2670,0,0,0,0,0,1,9,1,0,0.89,0,normal
0,tcp,60,0,432,437,0,1,0.01,48,48,1,0.98,0,0,normal
0,tcp,60,0,53,87,0,1,0.39,33,33,1,0.97,0,0,normal
0,tcp,60,0,109,116,0,1,0.06,43,45,1,0.93,0.04,0,normal
0,tcp,60,0,145,149,0,1,0.03,35,35,1,0.97,0,0,normal
12,tcp,5361,4414,0,2,0,0,1,0,12,0,0,1,0,normal
0,tcp,60,0,34,37,0,1,0.08,34,46,1,0.72,0.26,0,normal
0,tcp,66,0,2,2,0,1,0,1,1,1,0.5,0,0,normal
0,tcp,60,0,6,7,0,1,0.14,12,18,1,0.63,0.33,0,normal
0,tcp,66,0,3,9,0,1,0.67,3,44,1,0.07,0.93,0,normal
0,tcp,66,0,317,319,0,1,0.01,38,38,1,0.97,0,0,normal
0,tcp,60,0,7,27,0,1,0.74,24,49,1,0.48,0.51,0,normal
6,tcp,2051,7957,4,12,0,1,0.67,4,48,1,0,0.92,0,normal
0,tcp,60,0,123,126,0,1,0.02,37,37,1,0.97,0,0,normal
1,tcp,2037,836,0,4,0,0,1,0,34,0,0,1,0,normal
0,tcp,60,0,11,79,0,1,0.86,11,44,1,0.24,0.75,0,normal
0,tcp,60,0,1,12,0,1,0.92,1,52,1,0.02,0.98,0,normal
0,tcp,60,0,137,158,0,1,0.13,30,34,1,0.86,0.12,0,normal
0,tcp,60,0,3,6,0,1,0.5,15,43,1,0.34,0.65,0,normal
0,tcp,66,0,3,11,0,1,0.73,3,43,1,0.07,0.93,0,normal
0,tcp,66,0,168,170,0,1,0.01,36,36,1,0.97,0,0,normal
0,tcp,60,0,42,47,0,1,0.11,41,41,1,0.98,0,0,normal
11,tcp,2094,4118,2,19,0,1,0.89,2,20,1,0,0.9,0,normal
0,tcp,60,0,148,152,0,1,0.03,32,32,1,0.97,0,0,normal
0,tcp,60,0,39,59,0,1,0.34,21,25,1,0.81,0.16,0,normal
0,tcp,66,0,12,253,0,1,0.95,2,25,1,0.08,0.92,0,normal
7,tcp,838,2175,2,4,0,1,0.5,2,14,1,0,0.86,0,normal
0,tcp,60,0,110,130,0,1,0.15,38,38,1,0.97,0,0,normal
0,tcp,141,0,17,23,0,1,0.26,25,48,1,0.51,0.48,0,normal
7,tcp,1135,626,1,4,0,1,0.75,4,59,1,0,0.93,0,normal
0,tcp,60,0,78,81,0,1,0.04,32,34,1,0.91,0.06,0,normal
0,tcp,60,0,121,139,0,1,0.13,31,31,1,0.97,0,0,normal
1,tcp,844,1197,0,3,0,0,1,0,48,0,0,1,0,normal
0,tcp,60,0,267,267,0,1,0,23,23,1,0.96,0,0,normal
7,tcp,966,712,0,96,0.23,0,1,0,41,0,0,1,0.24,normal
0,tcp,60,0,217,218,0,1,0,41,41,1,0.98,0,0,normal
0,tcp,140,0,99,128,0,1,0.23,19,20,1,0.9,0.05,0,normal
0,tcp,60,0,69,69,0,1,0,25,25,1,0.96,0,0,normal
0,tcp,112,0,8,9,0,1,0.11,38,52,1,0.72,0.27,0,normal
0,tcp,60,0,250,250,0,1,0,33,33,1,0.97,0,0,normal
0,tcp,60,0,131,164,0,1,0.2,33,34,1,0.94,0.03,0,normal
10,tcp,2402,1657,0,5,0,0,1,11,55,1,0,0.8,0,normal
279,tcp,29832,233300,0,1,0,0,1,0,53,0,0,1,0.02,normal
193,tcp,6168,5193,1,79,0.22,1,0.99,1,40,1,0,0.97,0.2,normal
11,tcp,1028,3768,0,74,0.42,0,1,0,40,0,0,1,0.55,normal
0,tcp,60,0,172,173,0,1,0.01,19,19,1,0.95,0,0,normal
0,tcp,60,0,52,56,0,1,0.07,34,34,1,0.97,0,0,normal
0,tcp,60,0,95,98,0,1,0.03,32,34,1,0.91,0.06,0,normal
0,tcp,74,0,372,377,0,1,0.01,49,49,1,0.98,0,0,normal
0,tcp,155,0,161,163,0,1,0.01,42,42,1,0.98,0,0,normal
0,tcp,60,0,138,145,0,1,0.05,33,33,1,0.97,0,0,normal
0,tcp,60,0,13,61,0,1,0.79,13,54,1,0.24,0.76,0,normal
0,tcp,60,0,321,323,0,1,0.01,33,33,1,0.97,0,0,normal
249,tcp,8440,123495,1,19,0,1,0.95,1,35,1,0,0.97,0,normal
