% isAttack slowRead:	1333
% isAttack slowHeaders:	1333
% isAttack slowBody:	1333
@relation 'Slowrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,19-20,24,27'

@attribute dst_bytes numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {slowRead,slowHeaders,slowBody}

@data
0,1,0,1,slowBody
0,1,0,0,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowRead
0,1,0,0,slowRead
0,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,1,slowRead
0,1,0,1,slowHeaders
958,1,0,0,slowBody
0,1,0,0,slowBody
0,1,0,0,slowBody
0,1,0,0.97,slowBody
1024,1,0,0.73,slowBody
0,1,0,1,slowRead
0,1,0,0,slowBody
0,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,0,slowHeaders
0,1,0,0,slowRead
0,1,0,0.79,slowRead
0,1,0,0.67,slowBody
0,1,0,0,slowRead
0,1,0,0.88,slowHeaders
958,1,0,0,slowBody
0,1,0,0,slowBody
0,1,0,1,slowRead
0,1,0,0,slowBody
206,0.99,0.01,0.49,slowBody
1019,1,0,0.75,slowHeaders
0,1,0,1,slowRead
0,1,0,1,slowHeaders
958,0.99,0.01,0,slowHeaders
0,1,0,1,slowBody
0,1,0,0,slowRead
0,1,0,1,slowBody
74,1,0,1,slowRead
0,1,0,0,slowBody
0,1,0,1,slowBody
958,1,0,1,slowBody
140,1,0,1,slowHeaders
0,1,0,0.94,slowRead
0,1,0,0,slowRead
206,0.98,0.02,0.2,slowHeaders
0,1,0,1,slowRead
0,1,0,0,slowHeaders
0,1,0,1,slowRead
140,1,0,1,slowHeaders
0,1,0,1,slowBody
0,1,0,1,slowHeaders
1754,1,0,0,slowRead
0,1,0,0.42,slowBody
206,1,0,1,slowBody
0,1,0,0,slowRead
206,1,0,1,slowBody
0,1,0,0.78,slowBody
0,1,0,0.98,slowHeaders
0,1,0,0,slowRead
140,1,0,1,slowBody
0,1,0,0,slowRead
0,1,0,1,slowRead
0,1,0,0.98,slowRead
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowBody
0,1,0,0,slowRead
0,1,0,1,slowBody
0,1,0,0.95,slowRead
0,1,0,1,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0,slowHeaders
0,1,0,0.42,slowHeaders
