% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,9,11,15,17,23,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,380,755,966,0.12,0,100,1,httpFlood
tcp,66,0,190,0,0,98,0,httpFlood
tcp,60,0,30,0,0,30,0,httpFlood
tcp,374,755,138,1,0,100,1,httpFlood
tcp,60,0,178,0,0,33,0,httpFlood
tcp,380,755,940,0.09,0,100,0.88,httpFlood
tcp,60,0,179,0,0,33,0,httpFlood
tcp,374,755,150,1,0,100,1,httpFlood
tcp,374,755,339,1,0,100,1,httpFlood
tcp,374,755,432,1,0,100,1,httpFlood
tcp,446,755,566,0,0,100,0,httpFlood
tcp,374,755,142,0.3,0,94,0.45,httpFlood
tcp,380,755,945,0.1,0,100,0.93,httpFlood
tcp,66,0,89,0,0.76,53,0,httpFlood
tcp,60,0,129,0,0,32,0,httpFlood
tcp,374,755,430,1,0,100,1,httpFlood
tcp,60,0,131,0,0,36,0,httpFlood
tcp,374,755,156,1,0,100,1,httpFlood
tcp,66,0,1,0,0,1,0,httpFlood
tcp,380,755,873,0.02,0,100,0.21,httpFlood
tcp,374,755,145,1,0,100,1,httpFlood
tcp,374,755,189,1,0,100,1,httpFlood
tcp,374,755,427,1,0,100,1,httpFlood
tcp,374,755,85,1,0,98,1,httpFlood
tcp,66,0,76,0,0.83,49,0,httpFlood
tcp,374,755,131,1,0,100,1,httpFlood
tcp,60,0,136,0,0,10,0,httpFlood
tcp,374,755,146,1,0,100,1,httpFlood
tcp,377,755,771,0.81,0.33,100,1,httpFlood
tcp,66,0,58,0,0,48,0,httpFlood
tcp,66,0,156,0,0,100,0,httpFlood
tcp,446,755,497,0,0,100,0,httpFlood
tcp,66,0,218,0,0,98,0,httpFlood
tcp,60,0,171,0,0,33,0,httpFlood
tcp,374,755,133,1,0,100,1,httpFlood
tcp,377,755,608,0.76,0.4,99,1,httpFlood
tcp,377,755,287,0.5,0.68,100,1,httpFlood
tcp,374,755,250,1,0,100,1,httpFlood
tcp,66,0,1,0,0,63,0,httpFlood
tcp,446,755,378,0,0,100,0,httpFlood
tcp,374,755,164,1,0,100,1,httpFlood
tcp,374,755,140,1,0,100,1,httpFlood
tcp,374,755,112,1,0,100,1,httpFlood
tcp,66,0,15,0,0,15,0,httpFlood
tcp,386,821,371,1,0,100,1,httpFlood
tcp,377,755,703,0.8,0.35,100,1,httpFlood
tcp,446,755,642,0,0,100,0,httpFlood
tcp,374,755,156,1,0,100,1,httpFlood
tcp,380,755,740,0.21,0,100,1,httpFlood
tcp,377,755,331,0.56,0.62,100,1,httpFlood
tcp,374,755,104,1,0,100,1,httpFlood
tcp,377,755,240,0.4,0.76,98,0.98,httpFlood
tcp,446,755,563,0,0,100,0,httpFlood
tcp,377,755,263,0.45,0.72,100,1,httpFlood
tcp,242,140,189,1,0,100,1,httpFlood
tcp,377,755,230,0.37,0.78,95,0.91,httpFlood
tcp,60,0,174,0,0,33,0,httpFlood
tcp,374,755,74,1,0,74,1,httpFlood
tcp,374,755,155,1,0,100,1,httpFlood
tcp,60,0,177,0,0,33,0,httpFlood
tcp,60,0,129,0,0,32,0,httpFlood
tcp,446,755,707,0,0,100,0,httpFlood
tcp,377,755,710,0.8,0.35,100,1,httpFlood
tcp,380,755,741,0.22,0,100,1,httpFlood
tcp,66,0,38,0,0,32,0,httpFlood
tcp,60,0,43,0,0,33,0,httpFlood
tcp,374,755,151,1,0,100,1,httpFlood
tcp,66,0,48,0,0,33,0,httpFlood
tcp,248,140,152,1,0,100,1,httpFlood
tcp,377,755,716,0.8,0.35,100,1,httpFlood
tcp,374,755,83,1,0,98,1,httpFlood
tcp,374,755,149,1,0,100,1,httpFlood
tcp,374,755,346,1,0,100,1,httpFlood
tcp,66,0,103,0,0,100,0,httpFlood
tcp,446,755,632,0,0,100,0,httpFlood
tcp,60,0,134,0,0,9,0,httpFlood
tcp,374,755,404,1,0,100,1,httpFlood
tcp,377,755,786,0.82,0.32,100,1,httpFlood
tcp,374,755,41,1,0,98,1,httpFlood
tcp,446,755,666,0,0,100,0,httpFlood
tcp,374,755,148,1,0,100,1,httpFlood
