% isAttack HIGH_RATE:	1087
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R6-9,17,19,27,38,40'

@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute min_biat numeric
@attribute max_biat numeric
@attribute mean_idle numeric
@attribute total_fhlen numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
126,126,0,-1,0,0,0,28,NORMAL
64,64,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
30,30,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
177,177,0,-1,0,0,0,28,NORMAL
64,64,0,-1,0,0,0,28,NORMAL
44,44,0,-1,0,0,0,68,NORMAL
70,70,0,-1,0,0,0,28,NORMAL
129,129,0,-1,0,0,0,28,NORMAL
49,49,0,-1,0,0,0,28,NORMAL
174,174,0,-1,0,0,0,28,NORMAL
158,158,0,-1,0,0,0,48,NORMAL
92,92,0,-1,0,0,0,28,NORMAL
62,62,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
177,177,0,-1,0,0,0,28,NORMAL
274,274,0,-1,0,0,0,28,NORMAL
100,100,0,-1,0,0,4112047,48,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
220,220,0,-1,0,0,0,28,NORMAL
69,69,0,-1,0,0,0,28,NORMAL
80,80,0,-1,0,0,2279597,68,NORMAL
90,90,0,-1,0,0,0,28,NORMAL
129,129,0,-1,0,0,0,28,NORMAL
116,116,0,-1,0,0,10009970,48,NORMAL
764,764,0,-1,0,0,0,28,NORMAL
157,222,46,-1,0,0,1810906,228,NORMAL
427,755,463,-1,0,0,0,48,NORMAL
61,61,0,-1,0,0,0,28,NORMAL
58,58,0,-1,0,0,0,28,NORMAL
63,63,0,-1,0,0,0,28,NORMAL
78,78,0,-1,0,0,0,28,NORMAL
151,151,0,-1,0,0,0,28,NORMAL
93,93,0,-1,0,0,0,28,NORMAL
637,637,0,-1,0,0,0,28,NORMAL
131,131,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
30,30,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
129,129,0,-1,0,0,0,28,NORMAL
91,91,0,-1,0,0,0,28,NORMAL
79,79,0,-1,0,0,0,28,NORMAL
1108,1108,0,-1,0,0,6010855,188,NORMAL
73,73,0,-1,0,0,0,28,NORMAL
176,176,0,-1,0,0,0,28,NORMAL
138,649,207,-1,0,0,0,168,NORMAL
129,129,0,-1,0,0,0,28,NORMAL
122,122,0,-1,0,0,0,28,NORMAL
44,44,0,-1,0,0,0,88,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
57,62,7,-1,0,0,4029246,48,NORMAL
73,73,0,-1,0,0,0,28,NORMAL
93,93,0,-1,0,0,0,28,NORMAL
131,131,0,-1,0,0,0,28,NORMAL
58,58,0,-1,0,0,0,28,NORMAL
71,71,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
1060,1060,0,-1,0,0,0,28,NORMAL
44,44,0,-1,0,0,0,28,NORMAL
75,75,0,-1,0,0,0,28,NORMAL
1108,1108,0,-1,0,0,0,28,NORMAL
129,129,0,-1,0,0,0,28,NORMAL
130,130,0,-1,0,0,0,28,NORMAL
80,80,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
113,113,0,-1,0,0,0,28,NORMAL
66,66,0,-1,0,0,0,28,NORMAL
75,75,0,-1,0,0,0,28,NORMAL
92,92,0,-1,0,0,0,28,NORMAL
116,116,0,-1,0,0,0,28,NORMAL
44,44,0,-1,0,0,2960790,108,NORMAL
76,76,0,-1,0,0,0,28,NORMAL
101,101,0,-1,0,0,0,28,NORMAL
73,73,0,-1,0,0,0,28,NORMAL
80,80,0,-1,0,0,2012553,68,NORMAL
136,136,0,-1,0,0,0,28,NORMAL
158,158,0,-1,0,0,0,28,NORMAL
30,30,0,-1,0,0,0,28,NORMAL
86,86,0,-1,0,0,0,28,NORMAL
89,89,0,-1,0,0,0,28,NORMAL
67,67,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
58,58,0,-1,0,0,0,28,NORMAL
58,58,0,-1,0,0,0,28,NORMAL
131,131,0,-1,0,0,0,28,NORMAL
48,48,0,-1,0,0,2103563,168,NORMAL
73,73,0,-1,0,0,0,28,NORMAL
177,177,0,-1,0,0,0,28,NORMAL
74,74,0,-1,0,0,0,28,NORMAL
140,140,0,-1,0,0,0,28,NORMAL
73,73,0,-1,0,0,0,28,NORMAL
145,145,0,-1,0,0,0,28,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
97,97,0,-1,0,0,0,28,NORMAL
44,44,0,-1,0,0,0,48,NORMAL
30,30,0,-1,0,0,0,28,NORMAL
195,195,0,-1,0,0,0,28,NORMAL
32,32,0,-1,0,0,0,28,NORMAL
52,52,0,-1,0,0,0,28,NORMAL
296,296,0,-1,0,0,0,28,NORMAL
90,90,0,-1,0,0,0,28,NORMAL
296,296,0,-1,0,0,0,28,NORMAL
80,80,0,-1,0,0,0,28,NORMAL
60,60,0,-1,0,0,0,28,NORMAL
92,92,0,-1,0,0,2007891,128,NORMAL
182,182,0,-1,0,0,0,28,NORMAL
755,755,0,-1,0,0,0,28,NORMAL
30,30,0,-1,0,0,0,28,NORMAL
73,73,0,-1,0,0,0,28,NORMAL
48,48,0,-1,0,0,0,28,NORMAL
32,32,0,-1,0,0,5036161,48,NORMAL
134,134,0,-1,0,0,0,28,NORMAL
53,58,7,-1,0,0,0,48,NORMAL
116,116,0,-1,0,0,0,28,NORMAL
48,48,0,-1,0,0,1331486,48,NORMAL
743,743,0,-1,0,0,0,28,NORMAL
1034,1308,495,-1,0,0,2646257,928,NORMAL
126,126,0,-1,0,0,0,28,NORMAL
48,48,0,-1,0,0,0,48,NORMAL
