% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,60,112,33,udpFlood
udp,OTH,60,153,33,udpFlood
udp,OTH,60,137,11,udpFlood
udp,OTH,60,64,26,udpFlood
udp,OTH,60,42,34,udpFlood
udp,OTH,60,141,31,udpFlood
udp,OTH,60,32,29,udpFlood
udp,OTH,60,24,24,udpFlood
udp,OTH,60,143,33,udpFlood
udp,OTH,60,114,33,udpFlood
udp,OTH,60,151,33,udpFlood
udp,OTH,60,54,23,udpFlood
udp,OTH,60,49,21,udpFlood
udp,OTH,60,146,33,udpFlood
udp,OTH,60,117,34,udpFlood
udp,OTH,60,110,34,udpFlood
udp,OTH,60,108,33,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,133,33,udpFlood
udp,OTH,60,110,33,udpFlood
udp,OTH,60,8,8,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,79,41,udpFlood
udp,OTH,60,125,33,udpFlood
udp,OTH,60,125,33,udpFlood
udp,OTH,60,154,33,udpFlood
udp,OTH,60,107,34,udpFlood
udp,OTH,60,106,33,udpFlood
udp,OTH,60,98,41,udpFlood
udp,OTH,60,114,33,udpFlood
udp,OTH,60,109,34,udpFlood
udp,OTH,60,93,42,udpFlood
udp,OTH,60,138,11,udpFlood
udp,OTH,60,131,33,udpFlood
udp,OTH,60,148,33,udpFlood
udp,OTH,60,108,33,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,13,13,udpFlood
udp,OTH,60,113,33,udpFlood
udp,OTH,60,109,33,udpFlood
udp,OTH,60,141,22,udpFlood
udp,OTH,60,102,40,udpFlood
udp,OTH,60,138,33,udpFlood
udp,OTH,60,166,33,udpFlood
udp,OTH,60,10,10,udpFlood
udp,OTH,60,138,13,udpFlood
udp,OTH,60,87,42,udpFlood
udp,OTH,60,87,42,udpFlood
udp,OTH,60,104,40,udpFlood
udp,OTH,60,117,33,udpFlood
udp,OTH,60,86,43,udpFlood
udp,OTH,60,86,41,udpFlood
udp,OTH,60,91,42,udpFlood
udp,OTH,60,137,33,udpFlood
udp,OTH,60,82,42,udpFlood
udp,OTH,60,108,38,udpFlood
udp,OTH,60,109,33,udpFlood
udp,OTH,60,136,33,udpFlood
udp,OTH,60,121,33,udpFlood
udp,OTH,60,44,33,udpFlood
tcp,OTH,60,139,33,httpFlood
tcp,S3,377,660,100,httpFlood
tcp,S3,374,321,100,httpFlood
tcp,OTH,60,124,33,httpFlood
tcp,S3,374,165,100,httpFlood
tcp,OTH,66,6,6,httpFlood
tcp,S3,374,150,100,httpFlood
tcp,RSTO,446,691,100,httpFlood
tcp,OTH,66,30,29,httpFlood
tcp,S3,377,580,100,httpFlood
tcp,OTH,66,49,34,httpFlood
tcp,OTH,60,180,33,httpFlood
tcp,OTH,60,172,33,httpFlood
tcp,S1,242,440,100,httpFlood
tcp,S3,377,463,100,httpFlood
tcp,S3,374,105,100,httpFlood
tcp,S3,374,105,100,httpFlood
tcp,OTH,66,268,98,httpFlood
tcp,RSTO,446,557,100,httpFlood
tcp,RSTO,446,336,100,httpFlood
tcp,S3,386,115,100,httpFlood
tcp,RSTO,446,663,100,httpFlood
tcp,RSTO,446,379,100,httpFlood
tcp,S3,374,188,100,httpFlood
tcp,S3,377,916,100,httpFlood
tcp,S3,380,759,100,httpFlood
tcp,OTH,66,36,34,httpFlood
tcp,S3,374,121,82,httpFlood
tcp,OTH,60,178,33,httpFlood
tcp,S3,374,142,100,httpFlood
tcp,S3,377,525,100,httpFlood
tcp,OTH,66,0,0,httpFlood
tcp,S3,377,368,88,httpFlood
tcp,S3,380,966,100,httpFlood
tcp,OTH,66,190,98,httpFlood
tcp,OTH,60,30,30,httpFlood
tcp,S3,374,138,100,httpFlood
tcp,OTH,60,178,33,httpFlood
