% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,7-9,14,18,22,38,40'

@attribute total_fpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute min_active numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
4785,185966,52,388,9,52,3382,4542,16182972,248828,tcpFlood
400,5850,52,1500,72,52,22610,91011,69638,20808,tcpFlood
390,4532,52,124,4,52,24399,111086,3646243,20288,tcpFlood
572,6046,52,220,10,52,17824,92150,60204,29752,tcpFlood
561,6956,52,184,8,52,19464,85840,57577,29180,tcpFlood
1640,56212,52,1500,39,52,4771,7266,7820115,85288,tcpFlood
466,6948,52,1500,109,52,21811,80623,3714496,24240,tcpFlood
1618,51124,52,640,21,52,5055,8370,8175000,84144,tcpFlood
1394,51090,52,1500,45,52,5431,7809,7565917,72496,tcpFlood
4860,183506,52,244,6,52,3266,4518,15871975,252728,tcpFlood
1023,43018,52,256,12,52,5687,7111,5812846,53204,tcpFlood
411,6532,52,220,10,52,26353,90858,51455,21380,tcpFlood
229,2920,52,292,19,52,23918,92550,5453505,11916,tcpFlood
1792,69634,52,376,11,52,4353,5888,7796312,93192,tcpFlood
1865,67534,52,1500,37,52,4291,6225,7998953,96988,tcpFlood
1821,55742,52,820,29,52,4628,7972,8428284,94700,tcpFlood
1484,52878,52,1168,46,52,5276,7817,7828778,77176,tcpFlood
6768,102150,52,952,11,52,3483,12077,23577892,351944,tcpFlood
208,1256,52,148,5,52,7091,63053,1467912,10824,tcpFlood
1638,52982,52,496,19,52,4726,7708,7736741,85184,tcpFlood
1321,56578,52,460,13,52,2012,2465,2656591,68700,tcpFlood
133,3336,52,184,11,52,17121,34652,2260309,6924,tcpFlood
3666,149970,52,436,10,52,1830,2333,6708903,190640,tcpFlood
1702,58878,52,316,13,52,4628,7060,7873382,88512,tcpFlood
1460,51190,52,508,20,52,5125,7711,7477826,75928,tcpFlood
1545,64838,52,652,24,52,5288,6629,8165918,80348,tcpFlood
340,5688,52,1500,110,52,24114,75917,62963,17688,tcpFlood
7587,119530,52,868,10,52,3307,10972,25090943,394532,tcpFlood
2033,28186,52,256,5,52,2679,10232,5444001,105724,tcpFlood
3692,121030,52,484,11,52,4571,7287,16879127,191992,tcpFlood
4588,175970,52,208,5,52,3447,4692,15814670,238584,tcpFlood
5543,80154,52,736,13,52,3607,13073,19994708,288244,tcpFlood
58,736,52,64,1,52,19870,85263,1132639,3024,tcpFlood
984,42354,52,340,18,52,5978,7320,5881225,51176,tcpFlood
1731,60270,52,640,19,52,5106,7734,8835339,90020,tcpFlood
8450,135702,52,496,7,52,3148,10245,26608160,439408,tcpFlood
144,3128,52,100,4,52,15291,36154,2187107,7496,tcpFlood
5081,193742,52,232,5,52,3185,4361,16183560,264220,tcpFlood
73,1100,52,88,3,52,18251,65280,1314095,3804,tcpFlood
163,2660,52,88,2,52,22991,74178,3728310,8484,tcpFlood
624,31208,52,208,6,52,1797,1869,1120441,32456,tcpFlood
1587,57434,52,964,34,52,4901,7132,7775259,82532,tcpFlood
543,10132,52,184,11,52,15639,40794,87548,28244,tcpFlood
3254,125594,52,460,13,52,5179,7008,16850449,169216,tcpFlood
269,1464,52,172,6,52,5346,52293,1432874,13996,tcpFlood
157,4036,52,184,10,52,11808,23530,1842086,8172,tcpFlood
1902,60570,52,496,16,52,4350,7205,8274562,98912,tcpFlood
138,2504,52,148,7,52,16177,45771,2217095,7184,tcpFlood
1637,59122,52,1500,40,52,4890,7124,8000897,85132,tcpFlood
