% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,7,9,11,24,30,33,40'

@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute min_bpktl numeric
@attribute max_bpktl numeric
@attribute max_active numeric
@attribute sflow_fpackets numeric
@attribute sflow_bbytes numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
52,2284,52,80,11497145,1541,36452,tcpFlood
52,532,52,72,4220837,603,13956,tcpFlood
52,2692,52,566,19150330,11957,341458,tcpFlood
52,2224,52,80,20318797,2399,51552,tcpFlood
52,1500,52,566,14380462,9065,209850,tcpFlood
52,340,60,60,672537,15,60,tcpFlood
52,2428,52,566,15826100,4131,153062,tcpFlood
52,2296,52,566,16843294,772,28255,tcpFlood
52,2948,40,566,18595149,5140,154673,tcpFlood
52,2248,52,566,5384657,3020,72986,tcpFlood
52,2564,52,80,21156432,2558,56988,tcpFlood
52,2752,52,566,19166692,11792,346730,tcpFlood
52,1500,60,60,2152933,3,20,tcpFlood
52,760,52,566,20359828,15398,700442,tcpFlood
52,2948,52,80,7635813,703,17828,tcpFlood
52,544,52,80,6844047,1226,27576,tcpFlood
52,2948,52,566,16685253,2099,60705,tcpFlood
52,1876,52,80,10841011,1305,36472,tcpFlood
52,2020,52,80,21197370,1988,48992,tcpFlood
52,2948,40,566,18903272,4740,140003,tcpFlood
52,1500,52,566,5365860,2963,77910,tcpFlood
52,2948,52,80,12862937,1080,17414,tcpFlood
52,2948,52,566,13751995,7712,165378,tcpFlood
52,2948,52,80,15580925,4751,146984,tcpFlood
52,2644,52,566,14755339,9369,260294,tcpFlood
60,2948,52,80,13750925,350,8899,tcpFlood
328,328,-1,-1,0,1,0,tcpFlood
52,1876,52,566,12783663,7545,159838,tcpFlood
52,2948,52,80,20858794,1937,48604,tcpFlood
52,2924,52,80,20881891,2217,54552,tcpFlood
52,2948,52,566,15825098,2660,97982,tcpFlood
52,2704,52,566,16700257,2858,79523,tcpFlood
52,2948,52,566,16585649,4650,141955,tcpFlood
52,2896,52,566,13546969,2567,80961,tcpFlood
52,2948,52,72,14537638,1621,42320,tcpFlood
52,88,52,566,11590754,8631,385166,tcpFlood
52,1780,52,566,19079913,11715,295914,tcpFlood
52,2764,52,72,21060501,2190,55648,tcpFlood
52,2188,52,578,17413988,3081,85131,tcpFlood
52,2788,52,566,18641816,11469,337150,tcpFlood
52,2948,52,80,10991043,997,18078,tcpFlood
52,2948,52,80,20515077,2106,49248,tcpFlood
52,1500,52,566,18986475,11446,284322,tcpFlood
52,1500,52,64,5309865,2932,70288,tcpFlood
52,2896,52,566,15083872,8662,267538,tcpFlood
52,1500,52,72,4569932,715,18628,tcpFlood
52,2948,52,72,22525964,414,9133,tcpFlood
52,1500,52,80,5023697,849,21508,tcpFlood
52,64,60,60,1734,1,15,tcpFlood
52,2500,52,80,21368171,2446,60372,tcpFlood
52,2728,52,566,18147179,10679,313268,tcpFlood
52,2524,52,566,16698235,2839,69927,tcpFlood
52,2248,52,566,17305707,8586,194062,tcpFlood
52,2948,52,80,21249171,2319,54404,tcpFlood
52,2948,52,80,12851357,969,19896,tcpFlood
52,2948,52,80,12855203,1282,21840,tcpFlood
52,2344,52,566,16711189,3041,115158,tcpFlood
52,3076,52,566,16152017,4580,140065,tcpFlood
52,64,52,566,12580114,9413,261302,tcpFlood
52,2296,52,80,17464127,2232,51188,tcpFlood
52,1948,52,72,11671797,1543,38324,tcpFlood
52,1500,52,80,7648427,1144,27492,tcpFlood
52,2948,52,566,13776426,2297,66135,tcpFlood
52,2704,52,72,21209361,2503,53096,tcpFlood
52,1912,52,566,17232896,8763,193738,tcpFlood
52,1516,52,566,12787365,7648,159338,tcpFlood
52,2848,52,566,13545319,8182,234738,tcpFlood
52,2684,52,566,11049343,6046,134662,tcpFlood
52,2948,52,566,13778840,1027,25237,tcpFlood
52,2948,52,566,13908272,1548,46551,tcpFlood
52,1500,52,80,9405871,1496,35192,tcpFlood
52,2200,52,80,9579652,1275,33108,tcpFlood
52,1780,52,566,17620801,3023,85329,tcpFlood
52,2044,52,566,13879741,1467,39771,tcpFlood
52,2948,40,566,17481522,4962,147535,tcpFlood
52,1500,52,566,10589317,6247,135442,tcpFlood
52,2948,52,80,12867014,1218,20618,tcpFlood
52,2948,52,80,19598668,1987,48152,tcpFlood
52,1500,52,80,12861167,1142,21312,tcpFlood
52,2812,52,566,11791149,6831,196150,tcpFlood
52,2404,52,566,13703445,7860,164086,tcpFlood
52,2948,52,72,13081216,1349,37168,tcpFlood
52,2948,52,566,23414378,5715,145331,tcpFlood
52,2788,52,566,20171951,12245,348226,tcpFlood
52,2948,52,566,18379174,8714,196090,tcpFlood
52,2948,52,566,16992925,4167,126339,tcpFlood
52,2948,52,566,15386431,3912,110183,tcpFlood
52,1744,52,566,5364496,2967,76470,tcpFlood
52,2948,52,566,17676748,2725,79997,tcpFlood
52,1984,52,566,10120228,5864,124626,tcpFlood
52,2740,52,566,17083312,8617,192538,tcpFlood
60,1500,60,60,1725584,2,15,tcpFlood
52,1600,52,72,1899301,427,11684,tcpFlood
52,2948,52,566,17087402,2808,73397,tcpFlood
