% isAttack HIGH_RATE:	2000
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,7-9,12,17,27,34-35,40'

@attribute total_fpackets numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute std_bpktl numeric
@attribute min_biat numeric
@attribute mean_idle numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
2799,2500,141,52,6,3,0,2794,0,HIGH_RATE
5946,2524,110,52,9,2,1154595,5930,1,HIGH_RATE
5757,2164,109,52,10,2,1203116,5738,1,HIGH_RATE
5616,2948,113,52,10,2,1108812,5603,1,HIGH_RATE
5972,2948,94,52,9,2,1128602,5959,1,HIGH_RATE
10928,2948,39,52,7,1,0,10923,1,HIGH_RATE
2875,2948,151,52,14,2,1122749,2864,1,HIGH_RATE
1510,2284,156,52,6,32,0,1503,0,HIGH_RATE
1447,2192,166,52,6,2,0,1439,0,HIGH_RATE
5605,1852,81,52,10,2,1168032,5595,1,HIGH_RATE
9152,64,0,52,7,51,0,9149,1,HIGH_RATE
1228,2948,153,52,6,32,0,1223,0,HIGH_RATE
911,2948,249,52,5,2,5135498,900,0,HIGH_RATE
9059,2500,58,52,8,2,0,9051,1,HIGH_RATE
1446,2948,265,52,5,2,1345080,1427,0,HIGH_RATE
17,280,86,60,0,0,1007702,14,0,HIGH_RATE
2372,2080,165,52,5,31,0,2365,0,HIGH_RATE
8959,2948,57,52,8,2,0,8954,1,HIGH_RATE
9293,2824,44,52,7,5,0,9289,1,HIGH_RATE
11194,2392,39,52,7,2,0,11190,1,HIGH_RATE
2059,2296,195,52,6,3,0,2053,0,HIGH_RATE
8,1348,593,60,0,0,2395140,3,0,HIGH_RATE
2864,2632,143,52,14,2,1119919,2851,1,HIGH_RATE
5063,2948,122,52,10,2,1126209,5049,1,HIGH_RATE
9140,1672,24,52,8,4,0,9137,1,HIGH_RATE
2104,2728,172,52,6,3,0,2096,0,HIGH_RATE
1541,2284,154,52,5,3,0,1532,0,HIGH_RATE
603,532,100,52,6,3,0,601,0,HIGH_RATE
11957,2692,39,52,6,4,0,11953,1,HIGH_RATE
2399,2224,156,52,6,2,0,2389,0,HIGH_RATE
9065,1500,25,52,8,2,0,9061,1,HIGH_RATE
15,340,101,60,0,0,0,13,0,HIGH_RATE
4131,2428,114,52,10,2,0,4122,1,HIGH_RATE
3089,2296,172,52,12,2,2409201,3062,1,HIGH_RATE
10280,2948,97,40,7,2,1081900,10259,1,HIGH_RATE
3020,2248,47,52,13,4,0,3017,1,HIGH_RATE
2558,2564,157,52,6,31,0,2549,0,HIGH_RATE
11792,2752,37,52,6,3,0,11787,1,HIGH_RATE
9,1500,479,60,0,0,12186676,4,0,HIGH_RATE
15398,760,8,52,4,3,0,15395,1,HIGH_RATE
1407,2948,222,52,6,2,1642975,1397,0,HIGH_RATE
1226,544,91,52,6,35,0,1224,0,HIGH_RATE
4198,2948,156,52,11,1,1147676,4185,1,HIGH_RATE
1305,1876,164,52,6,5,0,1299,0,HIGH_RATE
1988,2020,200,52,6,2,0,1973,0,HIGH_RATE
9481,2948,100,40,8,2,1084406,9464,1,HIGH_RATE
2963,1500,40,52,13,4,0,2959,1,HIGH_RATE
2161,2948,165,52,5,2,1145768,2155,0,HIGH_RATE
