% isAttack HIGH_RATE:	1533
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,7,21,26,30,40'

@attribute total_fvolume numeric
@attribute max_fpktl numeric
@attribute duration numeric
@attribute min_idle numeric
@attribute sflow_fpackets numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
245080,40,29868004,0,6127,HIGH_RATE
299240,40,29366901,0,7481,HIGH_RATE
307080,40,29368306,0,7677,HIGH_RATE
203480,40,9653156,0,5087,HIGH_RATE
258960,40,29867455,0,6474,HIGH_RATE
376760,40,29240931,0,9419,HIGH_RATE
107440,40,27075823,1013931,895,HIGH_RATE
471440,40,30092487,0,11786,HIGH_RATE
151200,40,29313273,0,3780,HIGH_RATE
252680,40,29861412,0,6317,HIGH_RATE
31880,40,17411133,1017766,159,HIGH_RATE
284560,40,27251321,0,7114,HIGH_RATE
127680,40,28372200,1246606,1596,HIGH_RATE
196120,40,9652383,0,4903,HIGH_RATE
616080,40,29673333,0,15402,HIGH_RATE
242040,40,28785529,1171457,1512,HIGH_RATE
302000,40,27250757,0,7550,HIGH_RATE
362320,40,30037932,1313112,4529,HIGH_RATE
288560,40,29867174,0,7214,HIGH_RATE
83520,40,27116428,1056619,522,HIGH_RATE
259600,40,28797962,1170898,1622,HIGH_RATE
250560,40,29119660,1723419,2088,HIGH_RATE
264000,40,29106014,1575466,2200,HIGH_RATE
761080,40,30327482,0,19027,HIGH_RATE
175360,40,29296148,0,4384,HIGH_RATE
156,78,751540,0,2,HIGH_RATE
761520,40,30326500,0,19038,HIGH_RATE
249280,40,28791400,1576235,2077,HIGH_RATE
200320,40,29370187,0,5008,HIGH_RATE
203760,40,9653359,0,5094,HIGH_RATE
190920,40,29325390,0,4773,HIGH_RATE
187640,40,29369433,0,4691,HIGH_RATE
715960,40,29958844,0,17899,HIGH_RATE
146240,40,29310145,0,3656,HIGH_RATE
250360,40,28814806,1165670,2086,HIGH_RATE
118120,40,23934214,1015547,738,HIGH_RATE
140200,40,28367942,1345336,1752,HIGH_RATE
142280,40,29313299,0,3557,HIGH_RATE
173880,40,29312861,0,4347,HIGH_RATE
258680,40,29862340,0,6467,HIGH_RATE
23560,40,11639911,1106085,196,HIGH_RATE
267080,40,29867174,0,6677,HIGH_RATE
377200,40,30045178,1253425,4715,HIGH_RATE
173440,40,29368293,0,4336,HIGH_RATE
630520,40,29673103,0,15763,HIGH_RATE
50760,40,19728152,1334057,423,HIGH_RATE
263040,40,29867259,0,6576,HIGH_RATE
383800,40,29359039,0,9595,HIGH_RATE
108800,40,28375239,1032870,906,HIGH_RATE
85600,40,27107437,1052053,535,HIGH_RATE
25560,40,6408474,0,639,HIGH_RATE
240360,40,28810734,1177780,2003,HIGH_RATE
372400,40,30055065,1108163,4655,HIGH_RATE
94720,40,27114228,1143131,1184,HIGH_RATE
315360,40,29365902,0,7884,HIGH_RATE
190160,40,9654521,0,4754,HIGH_RATE
182600,40,9651759,0,4565,HIGH_RATE
113280,40,23479681,1107957,944,HIGH_RATE
39560,40,18653451,1008630,247,HIGH_RATE
625080,40,29674295,0,15627,HIGH_RATE
148800,40,28662538,0,3720,HIGH_RATE
253040,40,28823317,1177350,2108,HIGH_RATE
191640,40,9654414,0,4791,HIGH_RATE
250960,40,29868573,0,6274,HIGH_RATE
296320,40,29366408,0,7408,HIGH_RATE
118880,40,27109879,1096280,1486,HIGH_RATE
371280,40,29241976,0,9282,HIGH_RATE
234000,40,28822542,1178802,1462,HIGH_RATE
117000,40,27075002,1002021,731,HIGH_RATE
268000,40,29867943,0,6700,HIGH_RATE
199680,40,9653780,0,4992,HIGH_RATE
268320,40,28819532,1165278,2236,HIGH_RATE
183200,40,29332522,0,4580,HIGH_RATE
149680,40,29271157,0,3742,HIGH_RATE
621560,40,29674286,0,15539,HIGH_RATE
184960,40,29354705,0,4624,HIGH_RATE
182200,40,29369296,0,4555,HIGH_RATE
494240,40,30092063,0,12356,HIGH_RATE
127600,40,28282379,1240719,1595,HIGH_RATE
180560,40,29363006,0,4514,HIGH_RATE
69160,40,21134545,1104258,576,HIGH_RATE
352960,40,30054736,1108036,4412,HIGH_RATE
115240,40,28367916,1011888,720,HIGH_RATE
186880,40,9647739,0,4672,HIGH_RATE
316,79,5003984,5003942,2,HIGH_RATE
348480,40,29245451,0,8712,HIGH_RATE
111280,40,27109684,1125386,1391,HIGH_RATE
704560,40,29963998,0,17614,HIGH_RATE
312960,40,29366565,0,7824,HIGH_RATE
255520,40,28787627,1151668,2129,HIGH_RATE
746400,40,30326697,0,18660,HIGH_RATE
97040,40,27105686,1133733,1213,HIGH_RATE
222120,40,29125297,1580938,1851,HIGH_RATE
237120,40,29106452,1601619,1976,HIGH_RATE
370600,40,30054398,1076976,4632,HIGH_RATE
137520,40,28426806,1351265,1719,HIGH_RATE
64000,40,20393695,1112320,800,HIGH_RATE
306400,40,29365445,0,7660,HIGH_RATE
358120,40,29245669,0,8953,HIGH_RATE
116360,40,28346180,1011435,969,HIGH_RATE
365400,40,29244490,0,9135,HIGH_RATE
766200,40,30326662,0,19155,HIGH_RATE
136400,40,29313210,0,3410,HIGH_RATE
119920,40,27102875,1094349,999,HIGH_RATE
133400,40,28350528,1012952,833,HIGH_RATE
138760,40,29313607,1368863,1734,HIGH_RATE
167400,40,29312991,0,4185,HIGH_RATE
398680,40,29365906,0,9967,HIGH_RATE
362040,40,30055613,1120984,4525,HIGH_RATE
714360,40,29956608,0,17859,HIGH_RATE
622680,40,29673978,0,15567,HIGH_RATE
259320,40,28821095,1164791,2161,HIGH_RATE
264760,40,29867292,0,6619,HIGH_RATE
274560,40,29865650,0,6864,HIGH_RATE
396440,40,29245559,0,9911,HIGH_RATE
26720,40,14755767,1117588,222,HIGH_RATE
243400,40,29867929,0,6085,HIGH_RATE
759680,40,30326475,0,18992,HIGH_RATE
153720,40,29313743,0,3843,HIGH_RATE
183400,40,29350686,0,4585,HIGH_RATE
187200,40,29370935,0,4680,HIGH_RATE
239320,40,28818585,1165376,1994,HIGH_RATE
199120,40,9651218,0,4978,HIGH_RATE
230520,40,29115055,1601613,1921,HIGH_RATE
147680,40,29313047,0,3692,HIGH_RATE
187200,40,9650002,0,4680,HIGH_RATE
138040,40,28378636,1002919,1150,HIGH_RATE
114040,40,28426721,1233579,950,HIGH_RATE
184120,40,9653436,0,4603,HIGH_RATE
624680,40,29673963,0,15617,HIGH_RATE
636800,40,29674290,0,15920,HIGH_RATE
596040,40,29674539,0,14901,HIGH_RATE
590240,40,29672606,0,14756,HIGH_RATE
485560,40,30092522,0,12139,HIGH_RATE
113840,40,28376501,1036005,948,HIGH_RATE
112,56,410284,0,2,HIGH_RATE
198640,40,9652305,0,4966,HIGH_RATE
146120,40,29310613,0,3653,HIGH_RATE
606040,40,29672144,0,15151,HIGH_RATE
121800,40,28382500,1118596,1015,HIGH_RATE
260520,40,28780631,1165630,2171,HIGH_RATE
124960,40,28375355,1024247,1041,HIGH_RATE
370600,40,30055255,1276777,4632,HIGH_RATE
204600,40,9654247,0,5115,HIGH_RATE
244160,40,28822337,1177021,2034,HIGH_RATE
191360,40,9654202,0,4784,HIGH_RATE
189160,40,9653294,0,4729,HIGH_RATE
400400,40,29365552,0,10010,HIGH_RATE
79720,40,27083789,1049028,498,HIGH_RATE
151480,40,29311188,1010964,1893,HIGH_RATE
702760,40,29956323,0,17569,HIGH_RATE
121520,40,28367725,1007103,759,HIGH_RATE
22960,40,8646412,0,574,HIGH_RATE
172200,40,28689387,0,4305,HIGH_RATE
110160,40,23940197,1105819,688,HIGH_RATE
253920,40,29867719,0,6348,HIGH_RATE
300440,40,29366359,0,7511,HIGH_RATE
365360,40,29243026,0,9134,HIGH_RATE
761880,40,30327426,0,19047,HIGH_RATE
110280,40,28420395,1231342,919,HIGH_RATE
473040,40,30091831,0,11826,HIGH_RATE
370800,40,30054627,1078482,4635,HIGH_RATE
298960,40,27244349,0,7474,HIGH_RATE
283400,40,29366333,0,7085,HIGH_RATE
40160,40,10106273,0,1004,HIGH_RATE
295320,40,29367372,0,7383,HIGH_RATE
91880,40,27116507,1053714,574,HIGH_RATE
260240,40,28822280,1177560,2168,HIGH_RATE
248400,40,28820134,1177291,2070,HIGH_RATE
122360,40,28369350,1254830,1529,HIGH_RATE
183520,40,9652059,0,4588,HIGH_RATE
61920,40,14963100,0,1548,HIGH_RATE
155920,40,29312709,1011887,1949,HIGH_RATE
138120,40,7159480,0,3453,HIGH_RATE
29040,40,14757736,1104501,242,HIGH_RATE
263440,40,28790621,1165272,1646,HIGH_RATE
356680,40,30054979,1076935,4458,HIGH_RATE
371000,40,30053938,1282849,4637,HIGH_RATE
94640,40,27063390,1049425,591,HIGH_RATE
255000,40,29106589,1568709,2125,HIGH_RATE
260720,40,29866987,0,6518,HIGH_RATE
102800,40,27093258,1127939,1285,HIGH_RATE
505160,40,30091713,0,12629,HIGH_RATE
205120,40,29341939,0,5128,HIGH_RATE
375480,40,29245585,0,9387,HIGH_RATE
119680,40,27107626,1113707,1496,HIGH_RATE
227040,40,29119757,1568712,1892,HIGH_RATE
257280,40,28819748,1158448,2144,HIGH_RATE
194680,40,9651401,0,4867,HIGH_RATE
268280,40,29864477,0,6707,HIGH_RATE
494120,40,30092094,0,12353,HIGH_RATE
189240,40,29357883,0,4731,HIGH_RATE
398280,40,29336782,0,9957,HIGH_RATE
121240,40,28375814,1240441,1515,HIGH_RATE
192080,40,9653365,0,4802,HIGH_RATE
485960,40,30092443,0,12149,HIGH_RATE
388600,40,29365383,0,9715,HIGH_RATE
589640,40,29673347,0,14741,HIGH_RATE
98280,40,27109760,1050434,614,HIGH_RATE
141480,40,28353217,1253195,1768,HIGH_RATE
261480,40,29868513,0,6537,HIGH_RATE
372840,40,29245794,0,9321,HIGH_RATE
146520,40,29313558,0,3663,HIGH_RATE
29680,40,13976933,1175801,185,HIGH_RATE
191600,40,9650835,0,4790,HIGH_RATE
262640,40,29125537,1595589,2188,HIGH_RATE
378400,40,30053807,1252057,4730,HIGH_RATE
49760,40,19750559,1333221,414,HIGH_RATE
106,53,409601,0,2,HIGH_RATE
261160,40,28822038,1165450,2176,HIGH_RATE
93960,40,27102124,1052447,587,HIGH_RATE
191040,40,29368750,0,4776,HIGH_RATE
157200,40,29308543,0,3930,HIGH_RATE
302960,40,29367913,0,7574,HIGH_RATE
112800,40,27093702,1011710,705,HIGH_RATE
