@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,17,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {highrate,lowrate}

@data
S3,374,149,100,highrate
S3,374,139,100,highrate
RSTO,446,484,100,highrate
S3,374,150,100,highrate
RSTO,446,695,100,highrate
OTH,60,136,33,highrate
OTH,60,125,33,highrate
S3,374,3,3,highrate
S3,377,363,86,highrate
RSTO,446,522,100,highrate
RSTO,446,501,100,highrate
S3,377,431,100,highrate
RSTO,446,359,100,highrate
S3,374,103,71,highrate
S3,374,155,100,highrate
OTH,60,136,33,highrate
S3,374,128,100,highrate
S3,377,441,100,highrate
S3,374,106,100,highrate
OTH,60,94,42,highrate
S3,374,137,100,highrate
OTH,60,176,33,highrate
OTH,60,177,33,highrate
OTH,66,145,100,highrate
S3,374,120,100,highrate
S3,392,764,100,highrate
S3,374,118,100,highrate
S3,377,820,99,highrate
S3,377,540,100,highrate
OTH,66,279,99,highrate
S3,374,167,100,highrate
S3,374,298,100,highrate
S3,380,898,100,highrate
S3,374,65,65,highrate
S3,374,75,75,highrate
OTH,66,16,16,highrate
S3,374,147,100,highrate
OTH,60,115,33,highrate
S3,377,874,100,highrate
S3,374,147,100,highrate
S3,374,97,100,highrate
S3,374,70,70,highrate
OTH,60,136,33,highrate
S3,377,323,74,highrate
RSTO,446,740,100,highrate
S3,374,149,100,highrate
S3,377,1020,100,highrate
S3,374,133,100,highrate
S3,374,151,100,highrate
S3,374,15,15,highrate
S3,377,1006,100,highrate
S3,377,715,100,highrate
S3,377,772,99,highrate
S3,374,147,100,highrate
OTH,66,94,65,highrate
S3,374,153,100,highrate
OTH,60,4,4,highrate
S1,242,449,100,highrate
OTH,60,9,9,highrate
S3,374,159,100,highrate
RSTO,446,413,100,highrate
S3,377,673,100,highrate
OTH,60,107,33,highrate
OTH,66,73,94,highrate
OTH,60,130,32,highrate
S3,377,749,100,highrate
OTH,60,110,33,highrate
S3,380,165,100,highrate
OTH,66,37,89,highrate
S3,374,64,64,highrate
OTH,60,84,27,highrate
OTH,60,119,31,highrate
S3,377,657,100,highrate
S3,374,145,97,highrate
S3,377,800,99,highrate
S3,374,142,100,highrate
S3,377,736,100,highrate
S3,377,333,76,highrate
OTH,60,158,33,highrate
S3,374,141,100,highrate
S3,374,145,100,highrate
S3,374,138,100,highrate
S3,374,302,100,highrate
RSTO,446,759,100,highrate
S3,374,110,100,highrate
OTH,60,179,33,highrate
S1,242,452,100,highrate
S3,377,697,100,highrate
OTH,60,177,33,highrate
OTH,60,87,42,highrate
S3,377,812,99,highrate
S3,374,134,93,highrate
S3,386,142,100,highrate
OTH,60,129,32,highrate
RSTO,446,844,100,highrate
S3,377,420,100,highrate
S3,374,130,100,highrate
S3,377,574,100,highrate
S3,377,449,100,highrate
RSTO,446,396,100,highrate
S3,374,156,100,highrate
S3,377,975,100,highrate
S3,377,386,94,highrate
S3,374,44,44,highrate
OTH,60,69,15,highrate
OTH,66,85,96,highrate
OTH,60,179,33,highrate
OTH,66,56,94,highrate
S3,377,623,100,highrate
S3,374,197,100,highrate
OTH,60,179,33,highrate
RSTO,446,329,100,highrate
S3,374,248,100,highrate
OTH,60,142,33,highrate
OTH,66,19,19,highrate
OTH,60,80,24,highrate
OTH,60,177,33,highrate
OTH,60,22,22,highrate
OTH,60,105,34,highrate
OTH,60,178,33,highrate
S3,377,722,100,highrate
S3,374,145,100,highrate
S3,374,38,38,highrate
OTH,60,179,33,highrate
S3,374,72,72,highrate
S3,374,145,100,highrate
OTH,60,180,33,highrate
S3,374,144,100,highrate
S3,374,81,81,highrate
S3,377,520,100,highrate
S3,374,95,100,highrate
OTH,60,140,31,highrate
RSTO,446,404,100,highrate
RSTO,446,846,100,highrate
S3,377,676,100,highrate
S3,374,150,100,highrate
S3,377,961,100,highrate
S3,380,141,100,highrate
S3,374,10,98,highrate
OTH,66,309,100,highrate
S3,374,39,98,highrate
RSTO,446,332,100,highrate
OTH,60,179,33,highrate
S3,374,138,100,highrate
OTH,60,136,33,highrate
S3,374,155,100,highrate
S3,374,196,100,highrate
S3,377,572,100,highrate
OTH,60,107,34,highrate
RSTO,446,346,100,highrate
S3,374,135,100,highrate
S3,374,72,98,highrate
S1,248,215,100,highrate
S3,374,131,100,highrate
S3,374,138,100,highrate
S3,374,104,71,highrate
S3,374,146,100,highrate
OTH,60,177,33,highrate
S3,374,396,100,highrate
S3,374,135,100,highrate
RSTO,446,502,100,highrate
OTH,60,31,28,highrate
S3,374,97,100,highrate
OTH,60,28,28,highrate
S3,377,966,100,highrate
S3,374,120,100,highrate
OTH,66,224,98,highrate
S3,374,31,31,highrate
S3,374,374,100,highrate
S3,374,154,100,highrate
OTH,66,254,98,highrate
RSTO,446,367,100,highrate
OTH,60,177,33,highrate
S3,380,930,100,highrate
RSTO,446,639,100,highrate
OTH,60,128,33,highrate
S3,374,150,100,highrate
S3,377,316,71,highrate
RSTO,446,431,100,highrate
S3,374,92,92,highrate
OTH,60,179,33,highrate
OTH,60,176,33,highrate
S1,248,186,100,highrate
OTH,60,147,31,highrate
OTH,60,56,4,highrate
S3,374,164,100,highrate
S3,374,140,100,highrate
OTH,60,63,11,highrate
OTH,60,4,4,highrate
OTH,60,179,33,highrate
OTH,60,138,33,highrate
RSTO,446,847,100,highrate
S3,374,253,100,highrate
S3,377,947,100,highrate
S3,374,184,100,highrate
S3,374,113,100,highrate
OTH,66,84,96,highrate
OTH,66,16,72,highrate
OTH,60,90,41,highrate
OTH,66,87,59,highrate
S1,248,181,100,highrate
S3,374,163,100,highrate
S1,242,159,100,highrate
OTH,60,0,0,highrate
S3,377,1030,100,highrate
OTH,60,113,34,highrate
S3,377,553,100,highrate
OTH,66,10,10,highrate
S1,248,160,100,highrate
RSTO,446,482,100,highrate
S3,392,774,100,highrate
S3,374,145,100,highrate
S3,374,64,64,highrate
OTH,60,135,32,highrate
OTH,60,108,34,highrate
S1,248,206,100,highrate
OTH,60,142,31,highrate
RSTO,446,432,100,highrate
S3,374,119,100,highrate
S3,374,102,100,highrate
S3,374,133,100,highrate
S3,377,640,100,highrate
OTH,60,177,33,highrate
S3,374,153,100,highrate
RSTO,446,438,100,highrate
S3,374,149,100,highrate
OTH,60,125,33,highrate
S3,374,12,98,highrate
OTH,60,125,33,highrate
OTH,66,296,100,highrate
S3,374,153,100,highrate
S3,374,14,14,highrate
S3,374,117,100,highrate
S3,374,442,100,highrate
OTH,60,177,33,highrate
OTH,60,139,17,highrate
S3,380,144,100,highrate
S3,374,271,100,highrate
S3,392,775,100,highrate
OTH,66,166,100,highrate
S3,377,335,77,highrate
S3,374,121,100,highrate
OTH,66,260,98,highrate
OTH,60,163,33,highrate
S3,377,865,100,highrate
OTH,66,155,100,highrate
S3,374,113,100,highrate
OTH,60,109,34,highrate
S3,374,61,61,highrate
S3,377,844,99,highrate
OTH,60,119,34,highrate
S3,374,156,100,highrate
OTH,66,14,71,highrate
OTH,60,117,33,highrate
OTH,60,36,33,highrate
S3,374,132,100,highrate
OTH,60,114,32,highrate
OTH,60,143,33,highrate
OTH,60,138,33,highrate
OTH,60,174,33,highrate
OTH,60,163,33,highrate
S3,374,142,100,highrate
