% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,9,17,20,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute srv_count numeric
@attribute dst_host_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
udp,137,33,0,udpFlood
tcp,54,36,0,httpFlood
udp,82,42,0,udpFlood
tcp,682,100,0,httpFlood
tcp,418,100,0,httpFlood
tcp,177,33,0,httpFlood
tcp,820,100,0,httpFlood
tcp,165,100,0,httpFlood
tcp,25,25,0,httpFlood
tcp,143,100,0,httpFlood
udp,108,38,0,udpFlood
tcp,47,47,0,httpFlood
tcp,133,100,0,httpFlood
tcp,17,98,0,httpFlood
tcp,63,98,0,httpFlood
tcp,518,100,0,httpFlood
tcp,722,100,0,httpFlood
tcp,138,100,0,httpFlood
tcp,968,100,0,httpFlood
tcp,114,32,0,httpFlood
tcp,156,100,0,httpFlood
tcp,357,100,0,httpFlood
tcp,176,100,0,httpFlood
udp,109,33,0,udpFlood
tcp,146,100,0,httpFlood
tcp,127,100,0,httpFlood
tcp,124,83,0,httpFlood
tcp,135,31,0,httpFlood
tcp,36,33,0,httpFlood
tcp,138,100,0,httpFlood
tcp,169,100,0,httpFlood
udp,136,33,0,udpFlood
udp,121,33,0,udpFlood
tcp,801,100,0,httpFlood
tcp,30,30,0,httpFlood
udp,44,33,0,udpFlood
tcp,204,100,0,httpFlood
tcp,406,100,0,httpFlood
tcp,169,100,0,httpFlood
tcp,100,100,0,httpFlood
tcp,187,100,0,httpFlood
tcp,179,33,0,httpFlood
tcp,751,100,0,httpFlood
tcp,133,33,0,httpFlood
tcp,159,33,0,httpFlood
tcp,831,100,0,httpFlood
tcp,142,100,0,httpFlood
tcp,40,40,0,httpFlood
tcp,126,33,0,httpFlood
tcp,174,33,0,httpFlood
tcp,49,98,0,httpFlood
tcp,159,100,0,httpFlood
tcp,177,33,0,httpFlood
tcp,53,94,0,httpFlood
tcp,20,20,0,httpFlood
tcp,136,100,0,httpFlood
tcp,944,100,0,httpFlood
tcp,149,100,0,httpFlood
tcp,167,100,0,httpFlood
tcp,153,100,0,httpFlood
tcp,100,100,0,httpFlood
tcp,123,82,0,httpFlood
tcp,232,98,0,httpFlood
tcp,199,100,0,httpFlood
tcp,153,100,0,httpFlood
tcp,380,100,0,httpFlood
tcp,798,100,0,httpFlood
tcp,330,100,0,httpFlood
tcp,541,100,0,httpFlood
tcp,335,100,0,httpFlood
tcp,28,28,0,httpFlood
tcp,551,100,0,httpFlood
tcp,150,100,0,httpFlood
tcp,821,100,0,httpFlood
tcp,365,100,0,httpFlood
