% isAttack slowRead:	1333
% isAttack slowHeaders:	1333
% isAttack slowBody:	1333
@relation 'Slowrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,9,11,15,18,20,23-24,27'

@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {slowRead,slowHeaders,slowBody}

@data
S2,3820,74,4,0.75,0,100,0,0.05,0.05,slowHeaders
OTH,60,0,991,0,0,45,0,0,0,slowRead
S1,222,0,330,1,0,99,0,1,1,slowHeaders
OTH,525,0,7,0,0,7,0,0,0,slowRead
S1,370,0,322,0.87,0,100,0,0.6,0.6,slowHeaders
OTH,66,0,319,0,0,67,0,0,0,slowHeaders
OTH,60,0,758,0,0,49,0,0,0,slowRead
S1,222,0,380,1,0,100,0,1,1,slowHeaders
OTH,111,0,46,0,0,54,0,0,0,slowRead
S1,296,0,322,1,0,100,0,1,1,slowRead
S1,296,0,359,1,0,100,0,1,1,slowRead
S1,296,0,641,1,0,100,0,1,1,slowRead
S1,370,0,446,0.45,0,100,0,0.57,0.57,slowRead
RSTO,1064,1019,115,0,0,100,0,0,0,slowHeaders
S1,296,0,163,1,0,100,0,1,1,slowRead
S1,621,140,718,0.99,0,96,0,0.99,0.99,slowRead
OTH,99,0,262,0,0,50,0,0,0,slowHeaders
S1,836,1688,436,0.98,0,100,0,1,1,slowRead
RSTO,1094,958,124,0,0,99,0,0,0,slowHeaders
OTH,60,0,823,0,0,34,0,0,0,slowRead
S1,370,0,977,0.71,0,100,0,1,1,slowRead
OTH,66,0,534,0,0,81,0,0,0,slowRead
S1,296,0,352,1,0,100,0,1,1,slowRead
