% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,25,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_rerror_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,SF,880,2043,100,100,0,normal
tcp,SF,946,1950,99,99,0,normal
tcp,SF,946,1953,100,100,0,normal
tcp,SF,946,2249,100,100,0,normal
tcp,SF,946,2003,100,100,0,normal
tcp,OTH,66,5943,52,52,0,normal
tcp,OTH,66,3758,40,40,0,normal
tcp,S3,286,1757,100,100,0,normal
tcp,OTH,66,2956,42,42,0,normal
tcp,OTH,66,6323,51,51,0,normal
tcp,OTH,66,5023,46,46,0,normal
tcp,S2,352,2883,100,100,0,normal
tcp,SF,946,1248,100,100,0,normal
tcp,SF,946,3356,100,100,0,normal
tcp,OTH,66,2477,52,52,0,normal
tcp,SF,1024,2784,89,89,0,normal
tcp,OTH,66,4441,49,49,0,normal
tcp,OTH,66,2520,48,48,0,normal
tcp,SF,946,1866,100,100,0,normal
tcp,SF,946,1944,100,100,0,normal
tcp,OTH,66,4742,52,52,0,normal
tcp,SF,946,2210,100,100,0,normal
tcp,SF,946,2141,100,100,0,normal
tcp,OTH,66,3065,40,40,0,normal
tcp,SF,946,2122,100,100,0,normal
tcp,OTH,66,5910,53,53,0,normal
tcp,SF,946,1144,100,100,0,normal
tcp,SF,946,2119,100,100,0,normal
tcp,SF,946,2323,47,47,0,normal
tcp,SF,946,2750,100,100,0,normal
tcp,OTH,66,3114,83,83,0,normal
tcp,SF,946,3028,100,100,0,normal
tcp,S1,286,1665,100,100,0,normal
tcp,SF,946,2187,100,100,0,normal
tcp,OTH,66,3069,85,85,0,normal
tcp,OTH,66,3493,48,48,0,normal
tcp,SF,946,1583,100,100,0,normal
tcp,SF,946,2122,100,100,0,normal
tcp,SF,946,2330,100,100,0,normal
tcp,S1,140,2264,100,100,0,normal
tcp,SF,880,2711,78,78,0,normal
tcp,OTH,66,3383,52,52,0,normal
tcp,SF,946,2179,98,98,0,normal
tcp,SF,946,2943,100,100,0,normal
tcp,SF,946,999,100,100,0,normal
tcp,OTH,146,3546,52,52,0,normal
tcp,SF,1048,2034,100,100,0,normal
tcp,RSTR,1086,1530,90,90,0,normal
tcp,SF,1024,2780,100,100,0,normal
tcp,SF,1024,2685,100,100,0,normal
tcp,SF,946,2533,100,100,0,normal
tcp,OTH,66,2789,46,46,0,normal
tcp,SF,946,2321,100,100,0,normal
tcp,SF,946,2167,99,99,0,normal
tcp,SF,880,2080,88,88,0,normal
tcp,SF,946,3088,100,100,0,normal
tcp,OTH,146,4355,80,80,0,normal
tcp,OTH,66,3005,56,56,0,normal
tcp,SF,880,3372,65,65,0,normal
tcp,OTH,66,5974,42,42,0,normal
tcp,SF,946,2187,100,100,0,normal
tcp,SF,946,281,100,100,0,normal
tcp,OTH,66,5917,64,64,0,normal
tcp,SF,880,1886,99,99,0,normal
tcp,SF,946,2753,100,100,0,normal
tcp,SF,946,3368,100,100,0,normal
tcp,SF,946,3909,100,100,0,normal
tcp,SF,880,2621,100,100,0,normal
tcp,OTH,66,3144,100,100,0,normal
tcp,SF,1120,1723,100,100,0,normal
tcp,OTH,66,5463,100,100,0,normal
tcp,OTH,66,3743,52,52,0,normal
tcp,OTH,66,5044,46,46,0,normal
tcp,SF,946,3301,100,100,0,normal
tcp,SF,946,3345,96,96,0,normal
tcp,SF,430,3117,86,86,0,normal
tcp,S3,958,3754,100,100,0,normal
tcp,OTH,66,4363,48,48,0,normal
tcp,OTH,66,3868,46,46,0,normal
tcp,SF,946,2015,100,100,0,normal
tcp,SF,880,2216,100,100,0,normal
tcp,OTH,66,5011,47,47,0,normal
tcp,SF,946,2041,100,100,0,normal
tcp,OTH,66,3360,50,50,0,normal
tcp,OTH,66,5902,56,56,0,normal
tcp,OTH,66,3255,38,38,0,normal
tcp,OTH,66,2952,42,42,0,normal
tcp,OTH,66,5891,45,45,0,normal
tcp,SF,946,2202,100,100,0,normal
tcp,RSTR,364,1912,100,100,0,normal
tcp,SF,946,1241,100,100,0,normal
tcp,OTH,66,3721,50,50,0,normal
tcp,OTH,66,6276,50,50,0,normal
tcp,OTH,66,1889,45,45,0,normal
tcp,OTH,66,4318,53,53,0,normal
tcp,OTH,66,5082,31,31,0,normal
tcp,OTH,78,3876,100,100,0,normal
tcp,SF,352,1912,68,68,0,normal
tcp,SF,946,2306,100,100,0,normal
tcp,OTH,66,5909,50,50,0,normal
tcp,SF,946,1906,100,100,0,normal
tcp,SF,1024,2214,100,100,0,normal
tcp,OTH,66,3217,47,47,0,normal
tcp,SF,946,4263,64,64,0,normal
tcp,OTH,66,3013,43,43,0,normal
tcp,SF,946,1945,100,100,0,normal
tcp,OTH,66,3030,45,45,0,normal
tcp,SF,946,105,100,100,0,normal
tcp,SF,880,3219,98,98,0,normal
tcp,OTH,66,3616,44,44,0,normal
tcp,SF,1120,2113,100,100,0,normal
tcp,OTH,66,2856,48,48,0,normal
tcp,SF,1020,1440,100,100,0,normal
tcp,SF,880,1980,100,100,0,normal
tcp,SF,946,2955,100,100,0,normal
tcp,SF,1120,1530,100,100,0,normal
tcp,OTH,66,2987,46,46,0,normal
tcp,SF,946,2554,100,100,0,normal
tcp,SF,946,2243,100,100,0,normal
tcp,OTH,78,2849,88,88,0,normal
tcp,SF,1024,1887,79,79,0,normal
tcp,OTH,66,3079,83,83,0,normal
tcp,S2,352,3407,100,100,0,normal
tcp,SF,946,306,100,100,0,normal
tcp,OTH,78,3897,88,88,0,normal
tcp,SF,880,2031,100,100,0,normal
tcp,SF,946,1281,100,100,0,normal
tcp,OTH,66,5099,45,45,0,normal
tcp,SF,946,1291,100,100,0,normal
tcp,RSTR,958,1776,100,100,0,normal
tcp,OTH,66,3021,84,84,0,normal
tcp,SF,946,2321,100,100,0,normal
tcp,SF,946,3873,100,100,0,normal
tcp,SF,946,2077,100,100,0,normal
tcp,SF,946,2334,100,100,0,normal
tcp,SF,946,4071,100,100,0,normal
tcp,SF,946,1910,89,89,0,normal
tcp,OTH,66,5104,50,50,0,normal
tcp,S1,880,3467,100,100,0,normal
tcp,SF,1024,3210,52,52,0,normal
tcp,OTH,66,5192,28,28,0,normal
tcp,OTH,66,3101,83,83,0,normal
tcp,SF,946,1852,100,100,0,normal
tcp,OTH,66,4955,43,43,0,normal
tcp,SF,946,1842,100,100,0,normal
tcp,OTH,66,5964,52,52,0,normal
tcp,SF,946,2381,100,100,0,normal
tcp,OTH,66,5686,47,47,0,normal
tcp,SF,946,4011,94,94,0,normal
tcp,OTH,66,3607,32,32,0,normal
tcp,OTH,66,5182,22,22,0,normal
tcp,OTH,66,5961,39,39,0,normal
tcp,SF,946,2077,100,100,0,normal
tcp,OTH,66,3201,48,48,0,normal
tcp,SF,946,1855,100,100,0,normal
tcp,SF,1048,2134,100,100,0,normal
tcp,SF,946,1671,100,100,0,normal
tcp,SF,946,1829,100,100,0,normal
tcp,SF,946,1895,100,100,0,normal
tcp,OTH,146,3075,46,46,0,normal
tcp,OTH,146,5229,39,39,0,normal
tcp,OTH,66,3686,91,91,0,normal
tcp,SF,946,1936,100,100,0,normal
tcp,SF,946,2066,100,100,0,normal
tcp,OTH,66,2878,53,53,0,normal
tcp,OTH,66,3363,52,52,0,normal
tcp,OTH,66,2909,19,19,0,normal
tcp,OTH,66,3172,67,67,0,normal
tcp,OTH,66,2931,49,49,0,normal
tcp,SF,946,2147,100,100,0,normal
tcp,SF,946,2051,88,88,0,normal
tcp,SF,1024,3067,72,72,0,normal
tcp,OTH,66,3906,51,51,0,normal
tcp,OTH,66,5189,40,40,0,normal
tcp,SF,946,2440,100,100,0,normal
tcp,OTH,78,1858,100,100,0,normal
tcp,SF,946,2511,100,100,0,normal
tcp,OTH,66,6237,47,47,0,normal
tcp,OTH,78,5707,46,46,0,normal
tcp,OTH,66,3207,48,48,0,normal
tcp,SF,946,2612,100,100,0,normal
tcp,S3,286,2762,100,100,0,normal
tcp,OTH,66,4310,48,48,0,normal
