% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {highrate,lowrate}

@data
udp,OTH,60,113,113,0,34,34,highrate
udp,OTH,60,118,118,0,33,33,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,146,146,0,33,33,highrate
udp,OTH,60,143,143,0,33,33,highrate
udp,OTH,60,113,113,0,33,33,highrate
udp,OTH,60,131,131,0,33,33,highrate
udp,OTH,60,145,145,0,33,33,highrate
udp,OTH,60,152,152,0,33,33,highrate
udp,OTH,60,7,7,0,7,7,highrate
udp,OTH,60,117,117,0,34,34,highrate
udp,OTH,60,80,80,0,41,41,highrate
udp,OTH,60,125,125,0,33,33,highrate
udp,OTH,60,20,20,0,20,20,highrate
udp,OTH,60,138,138,0,19,19,highrate
udp,OTH,60,141,141,0,25,25,highrate
udp,OTH,60,103,103,0,34,34,highrate
udp,OTH,60,138,138,0,33,33,highrate
udp,OTH,60,109,109,0,33,33,highrate
udp,OTH,60,16,16,0,16,16,highrate
udp,OTH,60,102,102,0,34,34,highrate
udp,OTH,60,81,81,0,41,41,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,40,40,0,37,37,highrate
udp,OTH,60,140,140,0,21,21,highrate
udp,OTH,60,87,87,0,41,41,highrate
udp,OTH,60,145,145,0,33,33,highrate
udp,OTH,60,80,80,0,42,42,highrate
udp,OTH,60,70,70,0,28,28,highrate
udp,OTH,60,134,134,0,33,33,highrate
udp,OTH,60,129,129,0,33,33,highrate
udp,OTH,60,126,126,0,33,33,highrate
udp,OTH,60,103,103,0,40,40,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,141,141,0,33,33,highrate
udp,OTH,60,141,141,0,30,30,highrate
udp,OTH,60,65,65,0,26,26,highrate
udp,OTH,60,131,131,0,33,33,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,137,137,0,11,11,highrate
udp,OTH,60,64,64,0,26,26,highrate
udp,OTH,60,42,42,0,34,34,highrate
udp,OTH,60,141,141,0,31,31,highrate
udp,OTH,60,32,32,0,29,29,highrate
udp,OTH,60,24,24,0,24,24,highrate
udp,OTH,60,143,143,0,33,33,highrate
udp,OTH,60,114,114,0,33,33,highrate
udp,OTH,60,151,151,0,33,33,highrate
udp,OTH,60,54,54,0,23,23,highrate
udp,OTH,60,49,49,0,21,21,highrate
udp,OTH,60,146,146,0,33,33,highrate
udp,OTH,60,117,117,0,34,34,highrate
udp,OTH,60,110,110,0,34,34,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,133,133,0,33,33,highrate
udp,OTH,60,110,110,0,33,33,highrate
udp,OTH,60,8,8,0,8,8,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,79,79,0,41,41,highrate
udp,OTH,60,125,125,0,33,33,highrate
udp,OTH,60,125,125,0,33,33,highrate
udp,OTH,60,154,154,0,33,33,highrate
udp,OTH,60,107,107,0,34,34,highrate
udp,OTH,60,106,106,0,33,33,highrate
udp,OTH,60,98,98,0,41,41,highrate
udp,OTH,60,114,114,0,33,33,highrate
udp,OTH,60,109,109,0,34,34,highrate
udp,OTH,60,93,93,0,42,42,highrate
udp,OTH,60,138,138,0,11,11,highrate
udp,OTH,60,131,131,0,33,33,highrate
udp,OTH,60,148,148,0,33,33,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,13,13,0,13,13,highrate
udp,OTH,60,113,113,0,33,33,highrate
udp,OTH,60,109,109,0,33,33,highrate
udp,OTH,60,141,141,0,22,22,highrate
udp,OTH,60,102,102,0,40,40,highrate
udp,OTH,60,138,138,0,33,33,highrate
udp,OTH,60,166,166,0,33,33,highrate
udp,OTH,60,10,10,0,10,10,highrate
udp,OTH,60,138,138,0,13,13,highrate
udp,OTH,60,87,87,0,42,42,highrate
udp,OTH,60,87,87,0,42,42,highrate
udp,OTH,60,104,104,0,40,40,highrate
udp,OTH,60,117,117,0,33,33,highrate
udp,OTH,60,86,86,0,43,43,highrate
udp,OTH,60,86,86,0,41,41,highrate
udp,OTH,60,91,91,0,42,42,highrate
udp,OTH,60,137,137,0,33,33,highrate
udp,OTH,60,82,82,0,42,42,highrate
udp,OTH,60,108,108,0,38,38,highrate
udp,OTH,60,109,109,0,33,33,highrate
udp,OTH,60,136,136,0,33,33,highrate
udp,OTH,60,121,121,0,33,33,highrate
udp,OTH,60,44,44,0,33,33,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,71,71,0,29,29,highrate
udp,OTH,60,145,145,0,33,33,highrate
udp,OTH,60,76,76,0,32,32,highrate
udp,OTH,60,114,114,0,33,33,highrate
udp,OTH,60,114,114,0,33,33,highrate
udp,OTH,60,110,110,0,37,37,highrate
udp,OTH,60,81,81,0,37,37,highrate
udp,OTH,60,143,143,0,30,30,highrate
udp,OTH,60,141,141,0,28,28,highrate
udp,OTH,60,117,117,0,33,33,highrate
udp,OTH,60,145,145,0,33,33,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,141,141,0,32,32,highrate
udp,OTH,60,70,70,0,28,28,highrate
udp,OTH,60,86,86,0,42,42,highrate
udp,OTH,60,117,117,0,36,36,highrate
udp,OTH,60,110,110,0,33,33,highrate
udp,OTH,60,107,107,0,34,34,highrate
udp,OTH,60,128,128,0,33,33,highrate
udp,OTH,60,145,145,0,33,33,highrate
udp,OTH,60,131,131,0,33,33,highrate
udp,OTH,60,110,110,0,33,33,highrate
udp,OTH,60,137,137,0,33,33,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,145,145,0,33,33,highrate
udp,OTH,60,160,160,0,33,33,highrate
udp,OTH,60,138,138,0,33,33,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,104,104,0,34,34,highrate
udp,OTH,60,113,113,0,34,34,highrate
udp,OTH,60,124,124,0,33,33,highrate
udp,OTH,60,85,85,0,41,41,highrate
udp,OTH,60,131,131,0,33,33,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,117,117,0,33,33,highrate
udp,OTH,60,87,87,0,40,40,highrate
udp,OTH,60,155,155,0,33,33,highrate
udp,OTH,60,17,17,0,17,17,highrate
udp,OTH,60,141,141,0,24,24,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,141,141,0,33,33,highrate
udp,OTH,60,109,109,0,38,38,highrate
udp,OTH,60,83,83,0,42,42,highrate
udp,OTH,60,138,138,0,14,14,highrate
udp,OTH,60,88,88,0,40,40,highrate
udp,OTH,60,114,114,0,37,37,highrate
udp,OTH,60,75,75,0,31,31,highrate
udp,OTH,60,109,109,0,33,33,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,57,57,0,24,24,highrate
udp,OTH,60,138,138,0,21,21,highrate
udp,OTH,60,128,128,0,33,33,highrate
udp,OTH,60,101,101,0,34,34,highrate
udp,OTH,60,138,138,0,33,33,highrate
udp,OTH,60,137,137,0,33,33,highrate
udp,OTH,60,53,53,0,23,23,highrate
udp,OTH,60,107,107,0,33,33,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,62,62,0,25,25,highrate
udp,OTH,60,85,85,0,42,42,highrate
udp,OTH,60,127,127,0,33,33,highrate
udp,OTH,60,132,132,0,33,33,highrate
udp,OTH,60,160,160,0,33,33,highrate
udp,OTH,60,160,160,0,33,33,highrate
udp,OTH,60,89,89,0,41,41,highrate
udp,OTH,60,163,163,0,33,33,highrate
udp,OTH,60,107,107,0,33,33,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,80,80,0,36,36,highrate
udp,OTH,60,131,131,0,33,33,highrate
udp,OTH,60,108,108,0,34,34,highrate
udp,OTH,60,101,101,0,34,34,highrate
udp,OTH,60,117,117,0,33,33,highrate
tcp,OTH,60,139,139,0,33,33,highrate
udp,OTH,60,11,11,0,11,11,highrate
tcp,S3,377,660,500,0.29,100,100,highrate
tcp,S3,374,321,321,0,100,100,highrate
tcp,OTH,60,124,124,0,33,33,highrate
tcp,S3,374,165,165,0,100,100,highrate
tcp,OTH,66,6,6,0,6,6,highrate
tcp,S3,374,150,150,0,100,100,highrate
tcp,RSTO,446,691,691,0,100,100,highrate
tcp,OTH,66,30,30,0,29,29,highrate
tcp,S3,377,580,420,0.34,100,100,highrate
tcp,OTH,66,49,49,0,34,34,highrate
tcp,OTH,60,180,180,0,33,33,highrate
tcp,OTH,60,172,172,0,33,33,highrate
tcp,S1,242,440,440,0,100,100,highrate
tcp,S3,377,463,303,0.48,100,100,highrate
tcp,S3,374,105,105,0,100,100,highrate
tcp,S3,374,105,105,0,100,100,highrate
tcp,OTH,66,268,268,0,98,98,highrate
udp,OTH,60,135,135,0,33,33,highrate
tcp,RSTO,446,557,557,0,100,100,highrate
tcp,RSTO,446,336,336,0,100,100,highrate
tcp,S3,386,115,115,0,100,100,highrate
tcp,RSTO,446,663,663,0,100,100,highrate
tcp,RSTO,446,379,379,0,100,100,highrate
tcp,S3,374,188,188,0,100,100,highrate
udp,OTH,60,25,25,0,25,25,highrate
tcp,S3,377,916,756,0.19,100,100,highrate
tcp,S3,380,759,759,0,100,100,highrate
tcp,OTH,66,36,36,0,34,34,highrate
tcp,S3,374,121,121,0,82,82,highrate
tcp,OTH,60,178,178,0,33,33,highrate
tcp,S3,374,142,142,0,100,100,highrate
tcp,S3,377,525,365,0.39,100,100,highrate
udp,OTH,60,114,114,0,33,33,highrate
tcp,OTH,66,0,0,0,0,0,highrate
tcp,S3,377,368,208,0.69,88,76,highrate
tcp,S3,380,966,966,0,100,100,highrate
tcp,OTH,66,190,190,0,98,98,highrate
tcp,OTH,60,30,30,0,30,30,highrate
tcp,S3,374,138,138,0,100,100,highrate
tcp,OTH,60,178,178,0,33,33,highrate
tcp,S3,380,940,940,0,100,100,highrate
tcp,OTH,60,179,179,0,33,33,highrate
tcp,S3,374,150,150,0,100,100,highrate
tcp,S3,374,339,339,0,100,100,highrate
tcp,S3,374,432,432,0,100,100,highrate
tcp,RSTO,446,566,566,0,100,100,highrate
tcp,S3,374,142,142,0,94,94,highrate
tcp,S3,380,945,945,0,100,100,highrate
tcp,OTH,66,144,89,0.61,53,44,highrate
tcp,OTH,60,129,129,0,32,32,highrate
tcp,S3,374,430,430,0,100,100,highrate
tcp,OTH,60,93,131,0.29,36,36,highrate
tcp,S3,374,156,156,0,100,100,highrate
tcp,OTH,66,1,1,0,1,1,highrate
tcp,S3,380,873,873,0,100,100,highrate
udp,OTH,60,109,109,0,33,33,highrate
tcp,S3,374,145,145,0,100,100,highrate
tcp,S3,374,189,189,0,100,100,highrate
udp,OTH,60,102,102,0,34,34,highrate
tcp,S3,374,427,427,0,100,100,highrate
tcp,S3,374,85,85,0,98,98,highrate
tcp,OTH,66,131,76,0.71,49,35,highrate
tcp,S3,374,131,131,0,100,100,highrate
udp,OTH,60,87,87,0,42,42,highrate
tcp,OTH,60,136,136,0,10,10,highrate
tcp,S3,374,146,146,0,100,100,highrate
tcp,S3,377,931,771,0.19,100,100,highrate
tcp,OTH,66,58,58,0,48,48,highrate
tcp,OTH,66,156,156,0,100,100,highrate
tcp,RSTO,446,497,497,0,100,100,highrate
tcp,OTH,66,218,218,0,98,98,highrate
udp,OTH,60,121,121,0,33,33,highrate
udp,OTH,60,95,95,0,42,42,highrate
udp,OTH,60,141,141,0,24,24,highrate
tcp,OTH,60,133,171,0.22,33,33,highrate
tcp,S3,374,133,133,0,100,100,highrate
tcp,S3,377,768,608,0.24,99,99,highrate
tcp,S3,377,447,287,0.5,100,100,highrate
tcp,S3,374,250,250,0,100,100,highrate
tcp,OTH,66,1,1,0,63,63,highrate
tcp,RSTO,446,378,378,0,100,100,highrate
tcp,S3,374,164,164,0,100,100,highrate
udp,OTH,60,147,147,0,33,33,highrate
tcp,S3,374,140,140,0,100,100,highrate
tcp,S3,374,112,112,0,100,100,highrate
