% isAttack normal:	2000
% isAttack highrate:	1000
% isAttack lowrate:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,21,27-weka.filters.unsupervised.attribute.Remove'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,OTH,5671,0,normal
0,OTH,1890,0.06,normal
0,SF,3872,0,normal
0,SF,972,0,normal
0,SF,1509,0,normal
0,SF,3990,0,normal
0,OTH,2920,0.13,normal
0,SF,2364,0,normal
0,SF,1462,0,normal
0,SF,2167,0,normal
0,SF,1152,0,normal
0,SF,2151,0,normal
0,SF,2485,0,normal
0,SF,2158,0,normal
0,OTH,2734,0.13,normal
0,OTH,5880,0,normal
0,SF,1943,0,normal
0,SF,2102,0,normal
0,OTH,5517,0.01,normal
0,OTH,2586,0.01,normal
0,OTH,3586,0.07,normal
0,SF,1881,0,normal
0,SF,4000,0,normal
0,SF,2065,0,normal
0,SF,1877,0,normal
0,OTH,3832,0.12,normal
0,OTH,3361,0.14,normal
0,OTH,4296,0,normal
0,SF,3517,0,normal
0,OTH,1883,0.12,normal
0,OTH,5163,0,normal
0,OTH,4487,0.1,normal
0,OTH,3157,0.15,normal
0,SF,3014,0,normal
0,OTH,3988,0,normal
0,SF,2202,0,normal
0,OTH,5315,0.01,normal
0,SF,502,0,normal
0,SF,3874,0,normal
0,OTH,4496,0.1,normal
0,OTH,2721,0.13,normal
0,SF,2101,0,normal
0,SF,2700,0,normal
0,SF,2108,0,normal
0,SF,1112,0,normal
0,SF,3953,0,normal
0,OTH,2731,0.08,normal
0,SF,3068,0,normal
0,SF,2995,0,normal
0,SF,2815,0,normal
0,SF,3883,0,normal
0,SF,2161,0,normal
0,SF,3211,0,normal
0,SF,2394,0,normal
0,SF,1303,0,normal
0,SF,2453,0,normal
0,SF,2077,0,normal
0,SF,2223,0,normal
0,OTH,3248,0.04,normal
0,OTH,3355,0.06,normal
0,SF,3259,0,normal
0,OTH,3574,0,normal
0,SF,1929,0,normal
0,OTH,3118,0.23,normal
0,SF,1883,0,normal
0,SF,3937,0,normal
0,OTH,3019,0.17,normal
0,S2,2184,0,normal
0,SF,1922,0,normal
0,OTH,4102,0.08,normal
0,SF,2642,0,normal
0,OTH,5039,0,normal
0,OTH,4673,0.11,normal
0,SF,591,0,normal
1,SF,3097,0,normal
0,SF,2325,0,normal
0,S3,3123,0,normal
0,OTH,4980,0,normal
0,OTH,2113,0.15,normal
0,OTH,3064,0.02,normal
0,OTH,5636,0.2,normal
0,SF,2229,0,normal
0,SF,2191,0,normal
0,OTH,2917,0.15,normal
0,SF,2520,0,normal
