% isAttack normal:	2000
% isAttack highrate:	1000
% isAttack lowrate:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,9,18-19,21,24,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute srv_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
OTH,66,4116,100,1,0,0,normal
SF,946,1454,100,1,0,0,normal
SF,946,2721,100,1,0,0,normal
SF,946,2150,100,1,0,0,normal
SF,946,2134,100,1,0,0,normal
S2,352,2905,100,1,0,0.88,normal
OTH,66,6035,36,1,0.05,0,normal
SF,946,1235,100,1,0,0,normal
SF,946,2557,100,1,0,0,normal
OTH,66,5106,46,1,0.06,0,normal
OTH,66,2797,50,1,0.14,0,normal
OTH,66,4983,46,1,0.11,0,normal
OTH,66,3102,46,1,0,0,normal
SF,946,2091,100,1,0,0,normal
SF,946,3515,100,1,0,0,normal
OTH,66,3727,52,1,0.13,0,normal
OTH,78,1865,100,1,0.01,0,normal
SF,946,4123,100,1,0,0,normal
OTH,66,3226,47,1,0.02,0,normal
OTH,66,3307,44,1,0,0,normal
OTH,66,2650,47,1,0,0,normal
OTH,66,5893,42,1,0.12,0,normal
OTH,78,5898,45,1,0,0,normal
SF,946,2336,100,1,0,0,normal
OTH,78,3933,9,1,0,0,normal
OTH,66,6327,11,1,0.33,0,normal
SF,946,1996,100,1,0,0,normal
SF,946,1879,100,1,0,0,normal
OTH,146,4916,48,1,0.02,0,normal
S1,286,2000,100,1,0,0.84,normal
OTH,66,2900,43,1,0.16,0,normal
SF,946,1994,100,1,0,0,normal
SF,1024,3066,71,1,0,0,normal
OTH,66,5825,45,1,0.13,0,normal
OTH,66,5183,51,1,0.13,0,normal
SF,946,1956,100,1,0,0,normal
RSTR,946,3014,100,1,0,0.76,normal
OTH,66,5925,45,1,0.13,0,normal
SF,946,1920,96,1,0,0,normal
SF,946,2171,100,1,0,0,normal
OTH,66,4417,43,1,0.02,0,normal
OTH,66,4902,45,1,0,0,normal
OTH,66,2594,71,1,0,0,normal
OTH,146,4937,60,1,0.02,0,normal
SF,946,2138,100,1,0,0,normal
OTH,66,2708,46,1,0.06,0,normal
SF,946,3294,70,1,0,0,normal
OTH,66,5071,48,1,0.1,0,normal
OTH,78,5722,48,1,0.04,0,normal
OTH,66,2974,43,1,0.02,0,normal
OTH,146,5144,47,1,0.02,0,normal
SF,946,4142,100,1,0,0,normal
S3,880,2008,100,1,0,0.92,normal
OTH,66,3356,51,1,0.02,0,normal
SF,1012,1569,100,1,0,0,normal
SF,946,2140,100,1,0,0,normal
SF,946,2269,100,1,0,0,normal
OTH,66,5264,90,1,0.08,0,normal
