% isAttack tcpFlood:	199
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	571
% isAttack slowBody:	571
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R7-10,13,21,24,26,38,40'

@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute min_fiat numeric
@attribute duration numeric
@attribute max_active numeric
@attribute min_idle numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
92,0,-1,-1,0,0,0,0,28,normal
168,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,14559,14559,14559,0,48,normal
131,0,-1,-1,0,0,0,0,28,normal
97,0,-1,-1,0,0,0,0,28,normal
95,0,-1,-1,0,0,0,0,28,normal
72,0,-1,-1,0,0,0,0,28,normal
305,0,-1,-1,0,0,0,0,28,normal
93,0,-1,-1,0,0,0,0,28,normal
114,0,-1,-1,0,0,0,0,28,normal
58,0,-1,-1,0,0,0,0,28,normal
1108,0,-1,-1,0,0,0,0,28,normal
30,0,-1,-1,0,0,0,0,28,normal
147,0,-1,-1,0,0,0,0,28,normal
137,0,-1,-1,0,0,0,0,28,normal
171,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,4937757,0,4937757,48,normal
634,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
79,0,-1,-1,0,0,0,0,28,normal
107,0,-1,-1,0,0,0,0,28,normal
123,0,-1,-1,0,0,0,0,28,normal
73,0,-1,-1,0,0,0,0,28,normal
281,0,-1,-1,0,0,0,0,28,normal
116,0,-1,-1,0,0,0,0,28,normal
51,0,-1,-1,0,0,0,0,28,normal
48,0,-1,-1,255979,255979,255979,0,48,normal
110,3,-1,-1,1452,10223016,4959031,1189019,1308,normal
72,0,-1,-1,0,0,0,0,28,normal
92,0,-1,-1,0,0,0,0,28,normal
315,37,-1,-1,0,5007833,0,5007833,48,normal
116,0,-1,-1,0,0,0,0,28,normal
315,0,-1,-1,0,0,0,0,28,normal
74,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
53,0,-1,-1,0,0,0,0,28,normal
69,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,987815,9046061,987815,8058246,68,normal
1108,0,-1,-1,2,8998818,115,1131329,228,normal
77,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
1430,397,-1,-1,4965,8985829,3619513,1383850,288,normal
679,170,-1,-1,108,5069472,2322377,1104298,288,normal
73,0,-1,-1,0,0,0,0,28,normal
46,0,-1,-1,0,0,0,0,28,normal
180,0,-1,-1,0,0,0,0,28,normal
78,0,-1,-1,0,0,0,0,28,normal
71,0,-1,-1,0,0,0,0,28,normal
175,0,-1,-1,0,0,0,0,28,normal
637,0,-1,-1,0,0,0,0,28,normal
389,48,-1,-1,2,10449682,10449682,0,3788,normal
97,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
164,0,-1,-1,0,0,0,0,28,normal
71,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,14549,8026565,44094,7982471,88,normal
768,0,-1,-1,0,0,0,0,28,normal
66,0,-1,-1,0,10015622,0,5005395,68,normal
63,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
676,0,-1,-1,0,0,0,0,28,normal
58,7,-1,-1,162863,162863,162863,0,48,normal
768,0,-1,-1,0,0,0,0,28,normal
1060,0,-1,-1,0,0,0,0,28,normal
58,0,-1,-1,0,0,0,0,28,normal
152,0,-1,-1,0,0,0,0,28,normal
153,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,8531,88576,88576,0,148,normal
74,0,-1,-1,0,0,0,0,28,normal
636,0,-1,-1,0,0,0,0,28,normal
172,0,-1,-1,0,0,0,0,28,normal
96,33,-1,-1,199628,199628,199628,0,48,normal
48,0,-1,-1,0,0,0,0,28,normal
221,0,-1,-1,0,0,0,0,28,normal
575,88,-1,-1,620120,8259741,2020395,1844903,148,normal
74,0,-1,-1,0,0,0,0,28,normal
97,0,-1,-1,0,0,0,0,28,normal
73,0,-1,-1,0,0,0,0,28,normal
70,0,-1,-1,0,0,0,0,28,normal
94,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
72,0,-1,-1,0,0,0,0,28,normal
82,0,-1,-1,0,0,0,0,28,normal
81,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
84,0,-1,-1,0,3212940,0,3212940,48,normal
44,0,-1,-1,0,0,0,0,28,normal
91,0,-1,-1,0,0,0,0,28,normal
1108,0,-1,-1,0,0,0,0,28,normal
73,1,-1,-1,9,5997050,9,5997041,68,normal
80,0,-1,-1,1988,1988,1988,0,48,normal
126,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
192,57,-1,-1,187211,4171419,187211,3984208,68,normal
126,0,-1,-1,0,0,0,0,28,normal
51,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
131,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,54506,54506,54506,0,48,normal
49,0,-1,-1,0,0,0,0,28,normal
59,0,-1,-1,0,0,0,0,28,normal
116,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
46,0,-1,-1,0,0,0,0,28,normal
72,0,-1,-1,0,0,0,0,28,normal
116,0,-1,-1,0,0,0,0,28,normal
69,0,-1,-1,0,0,0,0,28,normal
55,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
96,0,-1,-1,0,0,0,0,28,normal
97,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
134,0,-1,-1,0,0,0,0,28,normal
78,0,-1,-1,0,0,0,0,28,normal
73,0,-1,-1,0,0,0,0,28,normal
92,0,-1,-1,0,0,0,0,28,normal
67,0,-1,-1,0,0,0,0,28,normal
74,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
75,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
983,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
142,0,-1,-1,0,0,0,0,28,normal
82,0,-1,-1,0,0,0,0,28,normal
131,0,-1,-1,0,6398768,0,1039180,88,normal
133,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
92,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
52,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
1016,0,-1,-1,0,0,0,0,28,normal
235,0,-1,-1,0,0,0,0,28,normal
95,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
94,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,64561,64561,64561,0,48,normal
160,50,-1,-1,2477,2477,2477,0,48,normal
97,0,-1,-1,0,0,0,0,28,normal
72,0,-1,-1,0,0,0,0,28,normal
93,0,-1,-1,0,0,0,0,28,normal
72,0,-1,-1,0,0,0,0,28,normal
101,0,-1,-1,0,0,0,0,28,normal
74,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
649,0,-1,-1,0,0,0,0,28,normal
71,0,-1,-1,0,0,0,0,28,normal
74,0,-1,-1,0,0,0,0,28,normal
31,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
300,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
66,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,13752,6029083,1038681,4990402,148,normal
126,0,-1,-1,0,0,0,0,28,normal
147,0,-1,-1,0,0,0,0,28,normal
1108,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
790,0,-1,-1,0,0,0,0,28,normal
79,0,-1,-1,0,0,0,0,28,normal
90,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
84,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
1500,477,-1,-1,1,10474548,10474548,0,9748,normal
60,0,-1,-1,0,0,0,0,28,normal
73,0,-1,-1,0,0,0,0,28,normal
92,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
77,0,-1,-1,0,0,0,0,28,normal
76,0,-1,-1,0,0,0,0,28,normal
131,0,-1,-1,0,0,0,0,28,normal
94,0,-1,-1,0,0,0,0,28,normal
37,0,-1,-1,0,0,0,0,28,normal
134,0,-1,-1,0,0,0,0,28,normal
62,0,-1,-1,0,0,0,0,28,normal
58,0,-1,-1,0,0,0,0,28,normal
134,0,-1,-1,0,0,0,0,28,normal
113,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,4730014,0,4730014,48,normal
164,24,-1,-1,560796,560796,560796,0,48,normal
167,0,-1,-1,0,0,0,0,28,normal
62,0,-1,-1,0,0,0,0,28,normal
79,0,-1,-1,0,0,0,0,28,normal
71,0,-1,-1,0,0,0,0,28,normal
80,0,-1,-1,0,2068960,0,2068960,48,normal
129,0,-1,-1,0,0,0,0,28,normal
145,0,-1,-1,0,0,0,0,28,normal
31,0,-1,-1,0,0,0,0,28,normal
69,0,-1,-1,0,0,0,0,28,normal
74,0,-1,-1,0,0,0,0,28,normal
769,0,-1,-1,0,0,0,0,28,normal
97,0,-1,-1,0,0,0,0,28,normal
116,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
92,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
62,0,-1,-1,0,0,0,0,28,normal
48,0,-1,-1,0,0,0,0,28,normal
131,0,-1,-1,0,0,0,0,28,normal
50,0,-1,-1,0,0,0,0,28,normal
74,0,-1,-1,0,0,0,0,28,normal
73,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
122,0,-1,-1,0,0,0,0,28,normal
107,0,-1,-1,0,0,0,0,28,normal
131,0,-1,-1,0,0,0,0,28,normal
131,0,-1,-1,0,0,0,0,28,normal
60,0,-1,-1,0,0,0,0,28,normal
88,0,-1,-1,0,0,0,0,28,normal
142,0,-1,-1,0,0,0,0,28,normal
74,0,-1,-1,0,0,0,0,28,normal
73,0,-1,-1,0,0,0,0,28,normal
116,0,-1,-1,0,0,0,0,28,normal
998,0,-1,-1,0,0,0,0,28,normal
91,0,-1,-1,0,0,0,0,28,normal
147,0,-1,-1,0,0,0,0,28,normal
122,0,-1,-1,0,0,0,0,28,normal
48,0,-1,-1,970271,970271,970271,0,48,normal
51,2,-1,-1,324329,324329,324329,0,48,normal
75,0,-1,-1,0,0,0,0,28,normal
124,0,-1,-1,0,0,0,0,28,normal
90,0,-1,-1,0,0,0,0,28,normal
1468,442,-1,-1,1,10536892,10536892,0,10068,normal
152,11,-1,-1,529587,529587,529587,0,48,normal
80,0,-1,-1,0,0,0,0,28,normal
152,53,-1,-1,3932,1255904,1255904,0,128,normal
97,0,-1,-1,0,0,0,0,28,normal
632,0,-1,-1,0,0,0,0,28,normal
177,0,-1,-1,5932,5932,5932,0,48,normal
731,0,-1,-1,0,0,0,0,28,normal
268,0,-1,-1,0,0,0,0,28,normal
73,0,-1,-1,0,0,0,0,28,normal
89,0,-1,-1,0,0,0,0,28,normal
58,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
122,0,-1,-1,776,776,776,0,48,normal
78,0,-1,-1,0,0,0,0,28,normal
90,0,-1,-1,0,0,0,0,28,normal
86,0,-1,-1,0,0,0,0,28,normal
77,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,974111,974111,974111,0,48,normal
1042,0,-1,-1,0,0,0,0,28,normal
