% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4,8,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
tcp,60,119,httpFlood
tcp,374,124,httpFlood
tcp,374,140,httpFlood
tcp,242,169,httpFlood
tcp,446,716,httpFlood
tcp,377,317,httpFlood
udp,60,113,udpFlood
udp,60,109,udpFlood
tcp,374,131,httpFlood
tcp,380,935,httpFlood
tcp,374,153,httpFlood
tcp,60,7,httpFlood
udp,60,141,udpFlood
tcp,66,314,httpFlood
udp,60,102,udpFlood
tcp,374,258,httpFlood
udp,60,138,udpFlood
tcp,374,146,httpFlood
tcp,374,99,httpFlood
udp,60,166,udpFlood
tcp,446,612,httpFlood
tcp,60,136,httpFlood
tcp,374,98,httpFlood
udp,60,10,udpFlood
tcp,66,188,httpFlood
tcp,60,136,httpFlood
tcp,60,179,httpFlood
tcp,446,841,httpFlood
tcp,380,146,httpFlood
tcp,374,101,httpFlood
tcp,380,163,httpFlood
tcp,377,782,httpFlood
udp,60,138,udpFlood
tcp,374,157,httpFlood
tcp,446,789,httpFlood
tcp,242,173,httpFlood
tcp,242,173,httpFlood
tcp,374,148,httpFlood
udp,60,87,udpFlood
tcp,377,583,httpFlood
tcp,377,361,httpFlood
udp,60,87,udpFlood
udp,60,104,udpFlood
tcp,446,424,httpFlood
tcp,60,176,httpFlood
tcp,374,150,httpFlood
tcp,377,408,httpFlood
tcp,242,169,httpFlood
tcp,446,747,httpFlood
tcp,374,108,httpFlood
tcp,374,71,httpFlood
udp,60,117,udpFlood
tcp,374,151,httpFlood
tcp,446,838,httpFlood
tcp,374,376,httpFlood
tcp,377,516,httpFlood
tcp,60,180,httpFlood
tcp,374,148,httpFlood
udp,60,86,udpFlood
tcp,60,61,httpFlood
tcp,380,933,httpFlood
tcp,377,852,httpFlood
tcp,374,152,httpFlood
tcp,377,704,httpFlood
tcp,374,124,httpFlood
tcp,60,119,httpFlood
udp,60,86,udpFlood
tcp,377,681,httpFlood
tcp,374,163,httpFlood
tcp,374,139,httpFlood
tcp,66,50,httpFlood
udp,60,91,udpFlood
tcp,60,12,httpFlood
tcp,446,489,httpFlood
tcp,374,147,httpFlood
tcp,374,156,httpFlood
tcp,380,866,httpFlood
tcp,66,6,httpFlood
udp,60,137,udpFlood
tcp,66,54,httpFlood
udp,60,82,udpFlood
tcp,446,682,httpFlood
tcp,446,418,httpFlood
tcp,60,177,httpFlood
tcp,377,980,httpFlood
tcp,374,165,httpFlood
tcp,374,25,httpFlood
tcp,374,143,httpFlood
udp,60,108,udpFlood
tcp,374,47,httpFlood
tcp,374,133,httpFlood
tcp,374,17,httpFlood
tcp,374,63,httpFlood
tcp,377,678,httpFlood
