% isAttack HIGH_RATE:	1333
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,8,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
OTH,78,0,1161,HIGH_RATE
OTH,78,0,6183,HIGH_RATE
OTH,78,0,2330,HIGH_RATE
OTH,78,0,498,HIGH_RATE
OTH,78,0,654,HIGH_RATE
OTH,78,0,1327,HIGH_RATE
OTH,78,0,2761,HIGH_RATE
OTH,78,0,3926,HIGH_RATE
OTH,78,0,2518,HIGH_RATE
OTH,78,0,3963,HIGH_RATE
OTH,78,0,809,HIGH_RATE
OTH,78,0,4093,HIGH_RATE
OTH,78,0,1170,HIGH_RATE
OTH,78,0,4269,HIGH_RATE
OTH,78,0,4531,HIGH_RATE
OTH,78,0,4358,HIGH_RATE
OTH,78,0,3686,HIGH_RATE
OTH,78,0,5456,HIGH_RATE
OTH,78,0,75,HIGH_RATE
OTH,78,0,3716,HIGH_RATE
OTH,78,0,4421,HIGH_RATE
OTH,78,0,5920,HIGH_RATE
OTH,78,0,4837,HIGH_RATE
OTH,78,0,617,HIGH_RATE
OTH,78,0,2780,HIGH_RATE
OTH,78,0,5102,HIGH_RATE
OTH,78,0,6280,HIGH_RATE
OTH,78,0,3082,HIGH_RATE
OTH,78,0,2623,HIGH_RATE
OTH,78,0,1886,HIGH_RATE
OTH,78,0,4126,HIGH_RATE
OTH,78,0,356,HIGH_RATE
OTH,78,0,5933,HIGH_RATE
OTH,78,0,1068,HIGH_RATE
OTH,78,0,5661,HIGH_RATE
OTH,78,0,5973,HIGH_RATE
OTH,78,0,1575,HIGH_RATE
OTH,78,0,683,HIGH_RATE
OTH,78,0,5207,HIGH_RATE
OTH,78,0,672,HIGH_RATE
OTH,78,0,4925,HIGH_RATE
OTH,78,0,592,HIGH_RATE
OTH,78,0,5701,HIGH_RATE
OTH,78,0,5226,HIGH_RATE
OTH,78,0,3290,HIGH_RATE
OTH,78,0,5388,HIGH_RATE
OTH,78,0,2458,HIGH_RATE
OTH,78,0,3989,HIGH_RATE
OTH,78,0,1991,HIGH_RATE
OTH,78,0,5645,HIGH_RATE
OTH,78,0,3111,HIGH_RATE
OTH,78,0,3080,HIGH_RATE
OTH,78,0,2084,HIGH_RATE
OTH,78,0,2958,HIGH_RATE
OTH,78,0,2012,HIGH_RATE
OTH,78,0,5766,HIGH_RATE
OTH,78,0,3223,HIGH_RATE
OTH,78,0,1069,HIGH_RATE
OTH,78,0,2172,HIGH_RATE
OTH,78,0,5384,HIGH_RATE
OTH,78,0,134,HIGH_RATE
OTH,78,0,5459,HIGH_RATE
OTH,78,0,404,HIGH_RATE
OTH,78,0,4574,HIGH_RATE
OTH,78,0,346,HIGH_RATE
OTH,78,0,5442,HIGH_RATE
OTH,78,0,2280,HIGH_RATE
OTH,78,0,327,HIGH_RATE
OTH,78,0,5938,HIGH_RATE
OTH,78,0,612,HIGH_RATE
OTH,78,0,3154,HIGH_RATE
OTH,78,0,4881,HIGH_RATE
OTH,78,0,3978,HIGH_RATE
OTH,78,0,6106,HIGH_RATE
OTH,78,0,224,HIGH_RATE
OTH,78,0,761,HIGH_RATE
OTH,78,0,3466,HIGH_RATE
OTH,78,0,856,HIGH_RATE
OTH,78,0,3801,HIGH_RATE
OTH,78,0,1100,HIGH_RATE
OTH,78,0,5029,HIGH_RATE
OTH,78,0,2470,HIGH_RATE
OTH,78,0,2217,HIGH_RATE
OTH,78,0,201,HIGH_RATE
OTH,78,0,5493,HIGH_RATE
OTH,78,0,984,HIGH_RATE
OTH,78,0,439,HIGH_RATE
OTH,78,0,4551,HIGH_RATE
OTH,78,0,4989,HIGH_RATE
OTH,78,0,3509,HIGH_RATE
OTH,78,0,5927,HIGH_RATE
OTH,78,0,5614,HIGH_RATE
OTH,78,0,2919,HIGH_RATE
OTH,78,0,6152,HIGH_RATE
OTH,78,0,1280,HIGH_RATE
OTH,78,0,2758,HIGH_RATE
OTH,78,0,4556,HIGH_RATE
OTH,78,0,2971,HIGH_RATE
OTH,78,0,4355,HIGH_RATE
OTH,78,0,336,HIGH_RATE
OTH,78,0,3561,HIGH_RATE
OTH,78,0,5711,HIGH_RATE
OTH,78,0,4647,HIGH_RATE
OTH,78,0,4342,HIGH_RATE
OTH,78,0,4877,HIGH_RATE
OTH,78,0,638,HIGH_RATE
OTH,78,0,6188,HIGH_RATE
OTH,78,0,2103,HIGH_RATE
OTH,78,0,5945,HIGH_RATE
OTH,78,0,2275,HIGH_RATE
OTH,78,0,2310,HIGH_RATE
OTH,78,0,2795,HIGH_RATE
OTH,78,0,731,HIGH_RATE
