% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,21,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,138,0.92,highrate
OTH,60,131,0.97,highrate
OTH,60,148,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,142,0.97,highrate
OTH,60,13,0.93,highrate
OTH,60,113,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,141,0.96,highrate
OTH,60,102,0.98,highrate
OTH,60,138,0.97,highrate
OTH,60,166,0.97,highrate
OTH,60,10,0.91,highrate
OTH,60,138,0.93,highrate
OTH,60,87,0.98,highrate
OTH,60,87,0.98,highrate
OTH,60,104,0.98,highrate
OTH,60,117,0.97,highrate
OTH,60,86,0.98,highrate
OTH,60,86,0.98,highrate
OTH,60,91,0.98,highrate
OTH,60,137,0.97,highrate
OTH,60,82,0.98,highrate
OTH,60,108,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,136,0.97,highrate
OTH,60,121,0.97,highrate
OTH,60,44,0.97,highrate
OTH,60,153,0.97,highrate
OTH,60,71,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,76,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,114,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,81,0.97,highrate
OTH,60,143,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,117,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,142,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,70,0.97,highrate
OTH,60,86,0.98,highrate
OTH,60,117,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,107,0.97,highrate
OTH,60,128,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,131,0.97,highrate
OTH,60,110,0.97,highrate
OTH,60,137,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,145,0.97,highrate
OTH,60,160,0.97,highrate
OTH,60,138,0.97,highrate
OTH,60,153,0.97,highrate
OTH,60,104,0.97,highrate
OTH,60,113,0.97,highrate
OTH,60,124,0.97,highrate
OTH,60,85,0.98,highrate
OTH,60,131,0.97,highrate
OTH,60,142,0.97,highrate
OTH,60,117,0.97,highrate
OTH,60,87,0.98,highrate
OTH,60,155,0.97,highrate
OTH,60,17,0.94,highrate
OTH,60,141,0.96,highrate
OTH,60,112,0.97,highrate
OTH,60,141,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,83,0.98,highrate
OTH,60,138,0.93,highrate
OTH,60,88,0.98,highrate
OTH,60,114,0.97,highrate
OTH,60,75,0.97,highrate
OTH,60,109,0.97,highrate
OTH,60,112,0.97,highrate
OTH,60,57,0.96,highrate
OTH,60,138,0.95,highrate
OTH,60,128,0.97,highrate
OTH,60,101,0.97,highrate
OTH,60,138,0.97,highrate
OTH,60,137,0.97,highrate
OTH,60,53,0.96,highrate
OTH,60,107,0.97,highrate
OTH,60,153,0.97,highrate
OTH,60,62,0.96,highrate
OTH,60,85,0.98,highrate
OTH,60,127,0.97,highrate
OTH,60,132,0.97,highrate
OTH,60,160,0.97,highrate
OTH,60,160,0.97,highrate
OTH,60,89,0.98,highrate
OTH,60,163,0.97,highrate
OTH,60,107,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,80,0.97,highrate
OTH,60,131,0.97,highrate
OTH,60,108,0.97,highrate
OTH,60,101,0.97,highrate
OTH,60,117,0.97,highrate
OTH,60,139,0.97,highrate
OTH,60,11,0.92,highrate
S3,377,660,0,highrate
S3,374,321,0,highrate
OTH,60,124,0.97,highrate
S3,374,165,0,highrate
OTH,66,6,0,highrate
S3,374,150,0,highrate
RSTO,446,691,0,highrate
OTH,66,30,0,highrate
S3,377,580,0,highrate
OTH,66,49,0,highrate
OTH,60,180,0.97,highrate
OTH,60,172,0.97,highrate
S1,242,440,0,highrate
S3,377,463,0,highrate
S3,374,105,0,highrate
S3,374,105,0,highrate
OTH,66,268,0,highrate
OTH,60,135,0.97,highrate
RSTO,446,557,0,highrate
RSTO,446,336,0,highrate
S3,386,115,0,highrate
RSTO,446,663,0,highrate
RSTO,446,379,0,highrate
S3,374,188,0,highrate
OTH,60,25,0.96,highrate
S3,377,916,0,highrate
S3,380,759,0,highrate
OTH,66,36,0,highrate
S3,374,121,0,highrate
OTH,60,178,0.97,highrate
S3,374,142,0,highrate
S3,377,525,0,highrate
OTH,60,114,0.97,highrate
OTH,66,0,0,highrate
S3,377,368,0,highrate
S3,380,966,0,highrate
OTH,66,190,0,highrate
OTH,60,30,0.97,highrate
S3,374,138,0,highrate
OTH,60,178,0.97,highrate
S3,380,940,0,highrate
OTH,60,179,0.97,highrate
S3,374,150,0,highrate
S3,374,339,0,highrate
S3,374,432,0,highrate
RSTO,446,566,0,highrate
S3,374,142,0,highrate
S3,380,945,0,highrate
OTH,66,144,0.02,highrate
OTH,60,129,0.97,highrate
S3,374,430,0,highrate
OTH,60,93,0.97,highrate
S3,374,156,0,highrate
OTH,66,1,0,highrate
S3,380,873,0,highrate
OTH,60,109,0.97,highrate
S3,374,145,0,highrate
S3,374,189,0,highrate
OTH,60,102,0.97,highrate
S3,374,427,0,highrate
S3,374,85,0,highrate
OTH,66,131,0.03,highrate
S3,374,131,0,highrate
OTH,60,87,0.98,highrate
OTH,60,136,0.91,highrate
S3,374,146,0,highrate
S3,377,931,0,highrate
OTH,66,58,0.02,highrate
OTH,66,156,0,highrate
RSTO,446,497,0,highrate
OTH,66,218,0,highrate
OTH,60,121,0.97,highrate
OTH,60,95,0.98,highrate
OTH,60,141,0.96,highrate
OTH,60,133,0.97,highrate
S3,374,133,0,highrate
S3,377,768,0,highrate
S3,377,447,0,highrate
S3,374,250,0,highrate
OTH,66,1,0,highrate
RSTO,446,378,0,highrate
S3,374,164,0,highrate
OTH,60,147,0.97,highrate
S3,374,140,0,highrate
S3,374,112,0,highrate
OTH,66,15,0,highrate
S3,386,371,0,highrate
S3,377,863,0,highrate
RSTO,446,642,0,highrate
S3,374,156,0,highrate
S3,380,740,0,highrate
S3,377,491,0,highrate
S3,374,104,0,highrate
OTH,60,74,0.97,highrate
OTH,60,142,0.97,highrate
S3,377,400,0,highrate
RSTO,446,563,0,highrate
S3,377,423,0,highrate
OTH,60,50,0.96,highrate
S1,242,189,0,highrate
OTH,60,141,0.96,highrate
S3,377,390,0,highrate
OTH,60,136,0.97,highrate
S3,374,74,0,highrate
S3,374,155,0,highrate
OTH,60,177,0.97,highrate
OTH,60,129,0.97,highrate
OTH,60,130,0.97,highrate
RSTO,446,707,0,highrate
S3,377,870,0,highrate
S3,380,741,0,highrate
OTH,66,38,0,highrate
OTH,60,43,0.97,highrate
S3,374,151,0,highrate
OTH,66,48,0,highrate
S1,248,152,0,highrate
S3,377,876,0,highrate
S3,374,83,0,highrate
S3,374,149,0,highrate
OTH,60,56,0.96,highrate
S3,374,346,0,highrate
OTH,66,103,0,highrate
RSTO,446,632,0,highrate
OTH,60,134,0.9,highrate
S3,374,404,0,highrate
S3,377,946,0,highrate
S3,374,41,0,highrate
RSTO,446,666,0,highrate
S3,374,148,0,highrate
OTH,66,55,0.02,highrate
S3,386,0,0,highrate
S3,374,280,0,highrate
OTH,60,129,0.97,highrate
S3,380,957,0,highrate
S1,242,179,0,highrate
S3,374,144,0,highrate
S3,377,443,0,highrate
S3,452,163,0,highrate
S3,377,444,0,highrate
S3,374,16,0,highrate
S3,377,559,0,highrate
OTH,66,55,0,highrate
OTH,60,134,0.97,highrate
S3,374,435,0,highrate
S3,377,766,0,highrate
OTH,60,174,0.97,highrate
OTH,60,160,0.97,highrate
S3,380,142,0,highrate
S3,392,754,0,highrate
S3,374,147,0,highrate
S3,377,412,0,highrate
S3,374,400,0,highrate
S3,380,938,0,highrate
RSTO,446,517,0,highrate
S3,374,152,0,highrate
S3,374,131,0,highrate
RSTO,446,524,0,highrate
RSTO,446,481,0,highrate
OTH,60,9,0.9,highrate
S3,380,912,0,highrate
OTH,66,115,0,highrate
OTH,60,178,0.97,highrate
OTH,60,144,0.97,highrate
S3,374,150,0,highrate
OTH,66,222,0,highrate
S3,374,161,0,highrate
S3,377,774,0,highrate
S3,377,851,0,highrate
S3,374,145,0,highrate
S3,374,312,0,highrate
S3,380,915,0,highrate
S3,374,229,0,highrate
S3,377,778,0,highrate
S3,377,309,0,highrate
S3,377,630,0,highrate
S3,377,798,0,highrate
S3,374,87,0,highrate
S3,377,306,0,highrate
OTH,60,180,0.97,highrate
S3,374,91,0,highrate
OTH,60,6,0.86,highrate
S3,386,129,0,highrate
S3,377,585,0,highrate
S3,374,184,0,highrate
S1,248,169,0,highrate
S3,377,1008,0,highrate
RSTO,446,480,0,highrate
OTH,66,0,0,highrate
OTH,66,27,0,highrate
OTH,60,79,0.96,highrate
S3,374,96,0,highrate
RSTO,446,530,0,highrate
OTH,66,261,0,highrate
OTH,60,105,0.97,highrate
S3,374,3,0,highrate
RSTO,446,401,0,highrate
OTH,60,147,0.97,highrate
OTH,60,178,0.97,highrate
S3,374,6,0,highrate
OTH,66,117,0,highrate
S1,248,152,0,highrate
S3,374,152,0,highrate
OTH,60,162,0.97,highrate
OTH,60,117,0.97,highrate
S1,242,457,0,highrate
RSTO,446,352,0,highrate
S3,377,628,0,highrate
S3,374,131,0,highrate
S3,377,509,0,highrate
OTH,60,98,0.98,highrate
RSTO,446,706,0,highrate
S3,380,770,0,highrate
S3,374,9,0,highrate
OTH,60,109,0.97,highrate
S3,374,351,0,highrate
S3,377,825,0,highrate
S3,374,149,0,highrate
OTH,60,169,0.97,highrate
S3,377,850,0,highrate
S1,242,171,0,highrate
OTH,66,59,0,highrate
S3,377,636,0,highrate
S3,374,30,0,highrate
S3,374,134,0,highrate
S3,374,152,0,highrate
S3,374,120,0,highrate
OTH,60,177,0.97,highrate
S3,374,179,0,highrate
S3,374,166,0,highrate
OTH,60,117,0.97,highrate
OTH,60,113,0.97,highrate
S3,374,165,0,highrate
S3,374,152,0,highrate
RSTO,446,461,0,highrate
OTH,60,110,0.97,highrate
OTH,60,137,0.95,highrate
OTH,60,144,0.97,highrate
S3,374,175,0,highrate
S3,377,897,0,highrate
S3,380,771,0,highrate
S3,377,853,0,highrate
RSTO,446,486,0,highrate
RSTO,446,843,0,highrate
RSTO,446,689,0,highrate
S3,380,145,0,highrate
S3,377,928,0,highrate
S1,245,1034,0,highrate
OTH,60,177,0.97,highrate
S3,374,150,0,highrate
S1,248,200,0,highrate
OTH,60,153,0.97,highrate
OTH,60,179,0.97,highrate
OTH,60,104,0.97,highrate
S3,374,133,0,highrate
S3,464,107,0,highrate
S3,374,142,0,highrate
OTH,66,85,0.02,highrate
S3,377,1028,0,highrate
OTH,66,99,0,highrate
S3,374,137,0,highrate
S3,374,170,0,highrate
S3,374,150,0,highrate
S3,374,196,0,highrate
S3,374,398,0,highrate
RSTO,446,729,0,highrate
OTH,60,137,0.92,highrate
OTH,66,7,0,highrate
S3,380,874,0,highrate
S3,374,294,0,highrate
OTH,60,141,0.97,highrate
OTH,60,119,0.97,highrate
RSTO,446,692,0,highrate
OTH,60,100,0.98,highrate
OTH,60,178,0.97,highrate
S3,377,821,0,highrate
S3,374,50,0,highrate
OTH,66,311,0,highrate
RSTO,446,423,0,highrate
S3,374,151,0,highrate
S3,374,296,0,highrate
RSTO,446,610,0,highrate
S3,374,170,0,highrate
OTH,60,112,0.97,highrate
S3,374,149,0,highrate
OTH,60,177,0.97,highrate
OTH,66,35,0.01,highrate
S3,377,643,0,highrate
OTH,60,136,0.97,highrate
OTH,66,60,0,highrate
S3,374,157,0,highrate
OTH,60,89,0.98,highrate
OTH,60,95,0.97,highrate
OTH,66,31,0,highrate
S3,374,133,0,highrate
OTH,66,72,0.02,highrate
OTH,66,86,0,highrate
RSTO,446,848,0,highrate
S3,380,162,0,highrate
S3,374,121,0,highrate
S3,374,444,0,highrate
OTH,60,107,0.97,highrate
OTH,60,126,0.97,highrate
OTH,60,178,0.97,highrate
RSTO,446,363,0,highrate
S3,374,154,0,highrate
RSTO,446,538,0,highrate
S3,377,713,0,highrate
S3,377,819,0,highrate
S3,374,438,0,highrate
OTH,60,177,0.97,highrate
OTH,66,289,0,highrate
OTH,60,111,0.97,highrate
S1,248,192,0,highrate
S3,380,906,0,highrate
S3,374,54,0,highrate
S1,242,182,0,highrate
S3,374,135,0,highrate
OTH,60,114,0.97,highrate
OTH,60,111,0.97,highrate
S3,374,150,0,highrate
S3,377,987,0,highrate
S3,374,145,0,highrate
S3,374,146,0,highrate
OTH,60,135,0.96,highrate
OTH,60,169,0.97,highrate
OTH,66,64,0.02,highrate
S3,374,110,0,highrate
OTH,60,51,0.96,highrate
S3,374,148,0,highrate
OTH,60,122,0.97,highrate
S3,374,39,0,highrate
S3,377,541,0,highrate
S3,374,93,0,highrate
OTH,60,125,0.97,highrate
S3,374,150,0,highrate
S3,377,384,0,highrate
OTH,66,42,0,highrate
OTH,60,104,0.97,highrate
OTH,66,265,0,highrate
OTH,66,105,0,highrate
OTH,60,160,0.97,highrate
S3,386,314,0,highrate
RSTO,446,428,0,highrate
S3,374,148,0,highrate
OTH,66,60,0.02,highrate
OTH,60,174,0.97,highrate
S3,374,156,0,highrate
OTH,66,142,0.02,highrate
OTH,66,81,0,highrate
S3,377,858,0,highrate
OTH,66,135,0,highrate
S3,377,694,0,highrate
S3,374,141,0,highrate
RSTO,446,671,0,highrate
S3,380,888,0,highrate
S3,392,777,0,highrate
S3,374,139,0,highrate
S3,377,828,0,highrate
S3,374,144,0,highrate
S3,377,569,0,highrate
S3,377,796,0,highrate
S3,374,149,0,highrate
S3,374,143,0,highrate
S3,374,141,0,highrate
S3,377,512,0,highrate
S3,464,104,0,highrate
S3,374,149,0,highrate
S3,380,730,0,highrate
S3,374,167,0,highrate
OTH,60,132,0.97,highrate
S3,374,242,0,highrate
S3,374,137,0,highrate
S1,242,175,0,highrate
S3,374,129,0,highrate
S3,377,555,0,highrate
S3,380,756,0,highrate
S3,386,370,0,highrate
OTH,60,136,0.97,highrate
S3,392,749,0,highrate
S3,374,84,0,highrate
S3,377,786,0,highrate
OTH,66,62,0,highrate
S3,374,21,0,highrate
OTH,60,19,0.95,highrate
S3,374,214,0,highrate
S3,374,247,0,highrate
RSTO,446,804,0,highrate
