% isAttack normal:	1332
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,8,11,15-17,21,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,OTH,66,0,2987,0,0,0,46,0.13,normal
0,tcp,SF,946,12461,2554,0,0,0,100,0,normal
0,tcp,SF,946,12461,2243,0,0,0,100,0,normal
0,tcp,OTH,78,0,2849,0,0,0,88,0.01,normal
0,tcp,SF,1024,12527,1887,0,0,0,79,0,normal
0,tcp,OTH,66,0,3079,0,0,0,83,0.1,normal
0,tcp,S2,352,140,3407,0.47,0,0,100,0,normal
0,tcp,SF,946,12461,306,0,0,0,100,0,normal
0,tcp,OTH,78,0,3897,0,0,0,88,0.01,normal
0,tcp,SF,880,12395,2031,0,0,0,100,0,normal
0,tcp,SF,946,12461,1281,0,0,0,100,0,normal
0,tcp,OTH,66,0,5099,0,0,0,45,0.13,normal
0,tcp,SF,946,12461,1291,0,0,0,100,0,normal
0,tcp,RSTR,958,10864,1776,0.1,0,0,100,0,normal
0,tcp,OTH,66,0,3021,0,0,0,84,0.04,normal
0,tcp,SF,946,12461,2321,0,0,0,100,0,normal
0,tcp,SF,946,12461,3873,0,0,0,100,0,normal
0,tcp,SF,946,12461,2077,0,0,0,100,0,normal
0,tcp,SF,946,12461,2334,0,0,0,100,0,normal
0,tcp,SF,946,12461,4071,0,0,0,100,0,normal
0,tcp,SF,946,12461,1910,0,0,0,89,0,normal
0,tcp,OTH,66,0,5104,0,0,0,50,0.04,normal
0,tcp,S1,880,12395,3467,0.48,0,0,100,0,normal
0,tcp,SF,1024,12461,3210,0,0,0,52,0,normal
0,tcp,OTH,66,0,5192,0,0,0,28,0,normal
0,tcp,OTH,66,0,3101,0,0,0,83,0.04,normal
