% isAttack normal:	1000
% isAttack attack:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-10,16,18,21-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,66,3838,3838,0,0,44,0,0,normal
tcp,OTH,66,3186,3186,0,0,100,0.04,0,normal
tcp,OTH,66,3294,3294,0,0,45,0.13,0,normal
tcp,SF,946,2843,2843,0,0,100,0,0,normal
tcp,SF,946,1863,1863,0,0,100,0,0,normal
tcp,SF,946,2201,2201,0,0,100,0,0,normal
tcp,S1,386,2159,2159,0.23,0,100,0,0,normal
tcp,S2,1024,3257,3257,0.47,0,100,0,0,normal
tcp,OTH,66,5933,5933,0,0,41,0.21,0,normal
tcp,OTH,66,6028,6028,0,0,42,0.09,0,normal
tcp,SF,946,2023,2023,0,0,100,0,0,normal
tcp,SF,946,3942,3942,0,0,71,0,0,normal
tcp,SF,946,2357,2357,0,0,100,0,0,normal
tcp,S2,946,3631,3631,0.5,0,100,0,0,normal
tcp,SF,946,2170,2170,0,0,100,0,0,normal
tcp,OTH,146,5309,5309,0,0,81,0,0,normal
tcp,SF,734,3944,3944,0,0,71,0,0,normal
tcp,SF,946,2818,2818,0,0,99,0,0,normal
tcp,OTH,66,3037,3037,0,0,20,0.38,0,normal
tcp,SF,946,3049,3049,0,0,100,0,0,normal
tcp,SF,880,1129,1129,0,0,100,0,0,normal
tcp,SF,946,1393,1393,0,0,100,0,0,normal
tcp,SF,1120,2127,2127,0,0,100,0,0,normal
tcp,OTH,66,3810,3810,0,0,39,0.05,0,normal
tcp,SF,946,2047,2047,0,0,100,0,0,normal
tcp,OTH,66,3281,3281,0,0,38,0.18,0,normal
tcp,OTH,146,2972,2972,0,0,44,0.02,0,normal
tcp,SF,946,2143,2143,0,0,91,0,0,normal
tcp,OTH,66,2368,2368,0,0,52,0.04,0,normal
tcp,SF,946,3381,3381,0,0,100,0,0,normal
tcp,OTH,146,2789,2789,0,0,79,0.03,0,normal
tcp,SF,946,2263,2263,0,0,100,0,0,normal
tcp,SF,946,1558,1558,0,0,100,0,0,normal
tcp,OTH,66,3667,3667,0,0,45,0,0,normal
tcp,OTH,66,3947,3947,0,0,84,0.02,0,normal
tcp,OTH,66,2814,2814,0,0,46,0.11,0,normal
tcp,SF,946,1606,1606,0,0,100,0,0,normal
tcp,SF,946,2914,2914,0,0,100,0,0,normal
tcp,SF,946,1580,1580,0,0,100,0,0,normal
tcp,OTH,66,2608,2608,0,0,43,0.18,0,normal
tcp,OTH,66,5789,5789,0,0,32,0.12,0,normal
tcp,SF,946,2290,2290,0,0,100,0,0,normal
tcp,SF,946,3090,3090,0,0,100,0,0,normal
tcp,SF,946,1916,1916,0,0,50,0,0,normal
tcp,SF,946,307,307,0,0,100,0,0,normal
tcp,OTH,66,4210,4210,0,0,57,0.1,0,normal
tcp,SF,946,5681,5681,0,0,72,0,0,normal
tcp,OTH,66,5340,5340,0,0,81,0,0,normal
tcp,OTH,66,3195,3195,0,0,43,0.16,0,normal
tcp,SF,1024,3115,3115,0,0,74,0,0,normal
tcp,OTH,66,3185,3185,0,0,53,0.02,0,normal
tcp,OTH,66,2770,2770,0,0,50,0.16,0,normal
tcp,OTH,66,4996,4996,0,0,68,0.01,0,normal
tcp,OTH,66,5199,5199,0,0,51,0.15,0,normal
tcp,SF,946,2102,2102,0,0,100,0,0,normal
tcp,SF,946,905,905,0,0,99,0,0,normal
tcp,SF,946,976,976,0,0,100,0,0,normal
tcp,SF,880,1471,1471,0,0,100,0,0,normal
tcp,OTH,66,5491,5491,0,0,79,0.03,0,normal
tcp,SF,946,20,20,0,0,20,0,0,normal
tcp,OTH,66,6233,6233,0,0,50,0,0,normal
tcp,SF,946,2057,2057,0,0,99,0,0,normal
tcp,SF,946,3053,3053,0,0,100,0,0,normal
tcp,SF,946,1528,1528,0,0,100,0,0,normal
tcp,SF,946,2146,2146,0,0,100,0,0,normal
tcp,OTH,146,3091,3091,0,0,41,0,0,normal
tcp,S2,206,2575,2575,0.35,0,100,0,0,normal
tcp,SF,946,779,779,0,0,100,0,0,normal
tcp,SF,946,1871,1871,0,0,100,0,0,normal
tcp,OTH,66,2795,2795,0,0,53,0,0,normal
tcp,SF,946,985,985,0,0,100,0,0,normal
tcp,OTH,66,6297,6297,0,0,44,0.02,0,normal
tcp,SF,946,2456,2456,0,0,100,0,0,normal
tcp,SF,430,3309,3309,0,0,82,0,0,normal
