% isAttack normal:	1000
% isAttack highrate:	500
% isAttack lowrate:	500
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8-9,16,18,21-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
SF,946,1848,1848,0,100,0,0,normal
OTH,66,3113,3113,0,37,0.16,0,normal
OTH,66,2881,2881,0,25,0.27,0,normal
OTH,66,3082,3082,0,33,0.15,0,normal
OTH,66,2780,2780,0,44,0.09,0,normal
SF,946,1189,1189,0,100,0,0,normal
S3,748,2951,2951,0,100,0,0,normal
OTH,66,3218,3218,0,41,0.14,0,normal
SF,946,1991,1991,0,100,0,0,normal
SF,946,2389,2389,0,100,0,0,normal
OTH,66,5043,5043,0,45,0.02,0,normal
RSTR,364,1896,1896,0,100,0,0,normal
OTH,78,3005,3005,0,73,0.01,0,normal
OTH,66,3814,3814,0,41,0.02,0,normal
OTH,66,3536,3536,0,35,0,0,normal
S1,286,2348,2348,0,100,0,0,normal
SF,946,2104,2104,0,100,0,0,normal
SF,946,2118,2118,0,100,0,0,normal
OTH,66,2767,2767,0,42,0.19,0,normal
SF,946,3883,3883,0,100,0,0,normal
OTH,66,3262,3262,0,47,0.17,0,normal
SF,946,3006,3006,0,74,0,0,normal
SF,946,1944,1944,0,100,0,0,normal
OTH,66,3140,3140,0,49,0.18,0,normal
SF,946,3890,3890,0,100,0,0,normal
SF,946,3387,3387,0,100,0,0,normal
SF,946,3859,3859,0,100,0,0,normal
OTH,66,4954,4954,0,57,0,0,normal
OTH,66,2433,2433,0,39,0.1,0,normal
OTH,66,3349,3349,0,53,0.13,0,normal
S3,946,2191,2191,0,100,0,0,normal
S3,958,3094,3094,0,100,0,0,normal
SF,946,2276,2276,0,100,0,0,normal
S3,946,1969,1969,0,100,0,0,normal
SF,946,2082,2082,0,100,0,0,normal
OTH,66,2855,2855,0,50,0.06,0,normal
SF,946,2126,2126,0,100,0,0,normal
OTH,66,5272,5272,0,92,0.06,0,normal
SF,1120,2265,2265,0,100,0,0,normal
SF,946,3170,3170,0,100,0,0,normal
OTH,66,3542,3542,0,48,0.02,0,normal
OTH,66,4848,4848,0,48,0.06,0,normal
OTH,66,3518,3518,0,46,0.15,0,normal
SF,946,2274,2274,0,100,0,0,normal
SF,946,2761,2761,0,52,0,0,normal
SF,1020,2049,2049,0,100,0,0,normal
SF,946,1983,1983,0,100,0,0,normal
OTH,66,5904,5904,0,40,0.02,0,normal
OTH,146,3291,3291,0,68,0.01,0,normal
SF,946,2194,2194,0,100,0,0,normal
SF,946,3876,3876,0,100,0,0,normal
SF,946,1945,1945,0,100,0,0,normal
OTH,146,3312,3312,0,47,0.02,0,normal
SF,946,3347,3347,0,96,0,0,normal
OTH,78,5385,5385,0,98,0,0,normal
OTH,66,5181,5181,0,22,0,0,normal
SF,946,2524,2524,0,99,0,0,normal
SF,946,3367,3367,0,100,0,0,normal
SF,946,2067,2067,0,100,0,0,normal
OTH,66,2857,2857,0,37,0.18,0,normal
SF,946,2206,2206,0,100,0,0,normal
SF,1042,1953,1953,0,93,0,0,normal
OTH,66,5234,5234,0,65,0.03,0,normal
OTH,78,5744,5744,0,59,0.12,0,normal
SF,946,2008,2008,0,100,0,0,normal
SF,297,3,3,0,255,0,0,normal
SF,237,7,7,0,255,0.14,0.03,normal
REJ,0,1,1,0,253,0.03,0.16,normal
SF,226,20,24,0.12,255,0,0,normal
SF,357,12,13,0.15,255,0,0,normal
SF,327,12,29,0.07,255,0,0,normal
SF,241,5,6,0.33,255,0.01,0.05,normal
REJ,0,1,1,0,255,0.11,0.05,normal
SF,218,13,13,0,239,0.08,0.07,normal
SF,221,3,3,0,255,0.02,0.04,normal
SF,200,18,18,0,255,0.06,0.06,normal
SF,349,10,11,0.18,163,0.03,0.01,normal
