@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,21,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,138,33,0.97,highrate
OTH,60,137,33,0.97,highrate
OTH,60,53,23,0.96,highrate
OTH,60,107,33,0.97,highrate
OTH,60,153,33,0.97,highrate
OTH,60,62,25,0.96,highrate
OTH,60,85,42,0.98,highrate
OTH,60,127,33,0.97,highrate
OTH,60,132,33,0.97,highrate
OTH,60,160,33,0.97,highrate
OTH,60,160,33,0.97,highrate
OTH,60,89,41,0.98,highrate
OTH,60,163,33,0.97,highrate
OTH,60,107,33,0.97,highrate
OTH,60,108,33,0.97,highrate
OTH,60,80,36,0.97,highrate
OTH,60,131,33,0.97,highrate
OTH,60,108,34,0.97,highrate
OTH,60,101,34,0.97,highrate
OTH,60,117,33,0.97,highrate
OTH,60,11,11,0.92,highrate
OTH,60,135,33,0.97,highrate
OTH,60,25,25,0.96,highrate
OTH,60,114,33,0.97,highrate
OTH,60,109,33,0.97,highrate
OTH,60,102,34,0.97,highrate
OTH,60,87,42,0.98,highrate
OTH,60,121,33,0.97,highrate
OTH,60,95,42,0.98,highrate
OTH,60,141,24,0.96,highrate
OTH,60,147,33,0.97,highrate
OTH,60,74,30,0.97,highrate
OTH,60,142,33,0.97,highrate
OTH,60,50,22,0.96,highrate
OTH,60,141,24,0.96,highrate
OTH,60,130,33,0.97,highrate
OTH,60,56,24,0.96,highrate
OTH,60,160,33,0.97,highrate
OTH,60,105,33,0.97,highrate
OTH,60,117,33,0.97,highrate
OTH,60,98,42,0.98,highrate
OTH,60,109,33,0.97,highrate
OTH,60,117,33,0.97,highrate
OTH,60,113,38,0.97,highrate
OTH,60,110,34,0.97,highrate
OTH,60,153,33,0.97,highrate
OTH,60,104,34,0.97,highrate
OTH,60,100,40,0.98,highrate
OTH,60,112,38,0.97,highrate
OTH,60,89,41,0.98,highrate
OTH,60,107,33,0.97,highrate
OTH,60,111,33,0.97,highrate
OTH,60,111,38,0.97,highrate
OTH,60,51,23,0.96,highrate
OTH,60,122,33,0.97,highrate
OTH,60,125,33,0.97,highrate
