% isAttack HIGH_RATE:	1705
% isAttack LOW_RATE:	2000
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,8,21,27'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
0,OTH,78,9867,0.01,HIGH_RATE
0,OTH,78,26628,0,HIGH_RATE
0,OTH,78,9976,0.03,HIGH_RATE
0,OTH,78,6505,0.03,HIGH_RATE
0,OTH,78,9487,0.03,HIGH_RATE
0,OTH,78,16222,0.03,HIGH_RATE
0,OTH,78,7209,0.01,HIGH_RATE
0,OTH,78,10115,0.03,HIGH_RATE
0,OTH,78,10090,0.04,HIGH_RATE
0,OTH,78,9992,0.03,HIGH_RATE
0,OTH,78,23082,0.03,HIGH_RATE
0,OTH,78,7251,0.01,HIGH_RATE
0,OTH,78,8131,0.07,HIGH_RATE
0,OTH,78,6567,0,HIGH_RATE
0,OTH,78,25467,0.01,HIGH_RATE
0,OTH,78,7644,0.03,HIGH_RATE
0,OTH,78,6281,0.03,HIGH_RATE
0,OTH,78,11690,0.02,HIGH_RATE
0,OTH,78,4139,0.03,HIGH_RATE
0,OTH,78,22656,0.01,HIGH_RATE
0,OTH,78,9799,0.04,HIGH_RATE
0,OTH,78,10863,0.01,HIGH_RATE
0,OTH,78,20383,0.03,HIGH_RATE
0,OTH,78,13947,0.03,HIGH_RATE
0,OTH,78,3598,0.01,HIGH_RATE
0,OTH,78,9827,0.01,HIGH_RATE
0,OTH,78,8725,0.03,HIGH_RATE
0,OTH,78,27018,0.02,HIGH_RATE
0,OTH,78,19686,0.01,HIGH_RATE
0,OTH,78,19546,0.01,HIGH_RATE
0,OTH,78,8040,0.03,HIGH_RATE
0,OTH,78,11624,0.03,HIGH_RATE
0,OTH,78,25345,0.01,HIGH_RATE
0,OTH,78,710,0.01,HIGH_RATE
0,OTH,78,7464,0.03,HIGH_RATE
0,OTH,78,9390,0.02,HIGH_RATE
0,OTH,78,9901,0.01,HIGH_RATE
0,OTH,78,14825,0.03,HIGH_RATE
0,OTH,78,15521,0.02,HIGH_RATE
0,OTH,78,3714,0.02,HIGH_RATE
0,OTH,78,20623,0.03,HIGH_RATE
0,OTH,78,24616,0,HIGH_RATE
0,OTH,78,22843,0.03,HIGH_RATE
0,OTH,78,23674,0.04,HIGH_RATE
0,OTH,78,6022,0.01,HIGH_RATE
0,OTH,78,7331,0,HIGH_RATE
0,OTH,78,2299,0.05,HIGH_RATE
0,OTH,78,5521,0.01,HIGH_RATE
0,OTH,78,4541,0.12,HIGH_RATE
0,OTH,78,5561,0.01,HIGH_RATE
0,OTH,78,5242,0.01,HIGH_RATE
0,OTH,78,8684,0.03,HIGH_RATE
0,OTH,78,2123,0.02,HIGH_RATE
0,OTH,78,6233,0.03,HIGH_RATE
0,OTH,78,15474,0.01,HIGH_RATE
0,OTH,78,11120,0,HIGH_RATE
0,OTH,78,8420,0.01,HIGH_RATE
0,OTH,78,22738,0.01,HIGH_RATE
0,OTH,78,25991,0.01,HIGH_RATE
0,OTH,78,5500,0.02,HIGH_RATE
0,OTH,78,6220,0.06,HIGH_RATE
0,OTH,78,6353,0,HIGH_RATE
0,OTH,78,26696,0.01,HIGH_RATE
0,OTH,78,10930,0.03,HIGH_RATE
0,OTH,78,5642,0.04,HIGH_RATE
0,OTH,78,6540,0,HIGH_RATE
0,OTH,78,15117,0,HIGH_RATE
0,OTH,78,6930,0.03,HIGH_RATE
0,OTH,78,21965,0.01,HIGH_RATE
0,OTH,78,9326,0.05,HIGH_RATE
0,OTH,78,8296,0.01,HIGH_RATE
0,OTH,78,8826,0.03,HIGH_RATE
0,OTH,78,12049,0.03,HIGH_RATE
0,OTH,78,5728,0.04,HIGH_RATE
0,OTH,78,25800,0.02,HIGH_RATE
0,OTH,78,15889,0,HIGH_RATE
0,OTH,78,1529,0.03,HIGH_RATE
0,OTH,78,19264,0.01,HIGH_RATE
0,OTH,78,22916,0.03,HIGH_RATE
0,OTH,78,10821,0.03,HIGH_RATE
0,OTH,78,13132,0.04,HIGH_RATE
0,OTH,78,5514,0.03,HIGH_RATE
0,OTH,78,6591,0.03,HIGH_RATE
0,OTH,78,8177,0.04,HIGH_RATE
0,OTH,78,10075,0.01,HIGH_RATE
0,OTH,78,21023,0.01,HIGH_RATE
0,OTH,78,19419,0,HIGH_RATE
0,OTH,78,15696,0.03,HIGH_RATE
0,OTH,78,11538,0,HIGH_RATE
0,OTH,78,18018,0,HIGH_RATE
0,OTH,78,5503,0.01,HIGH_RATE
0,OTH,78,10701,0.03,HIGH_RATE
0,OTH,78,7536,0.01,HIGH_RATE
0,OTH,78,10274,0.03,HIGH_RATE
0,OTH,78,4240,0.03,HIGH_RATE
0,OTH,78,8053,0,HIGH_RATE
0,OTH,78,26769,0.02,HIGH_RATE
0,OTH,78,20664,0.03,HIGH_RATE
0,OTH,78,8956,0.03,HIGH_RATE
0,OTH,78,8636,0.03,HIGH_RATE
0,OTH,78,6728,0.03,HIGH_RATE
0,OTH,78,11099,0.01,HIGH_RATE
0,OTH,78,6555,0,HIGH_RATE
0,OTH,78,12457,0.01,HIGH_RATE
0,OTH,78,11702,0.02,HIGH_RATE
0,OTH,78,3205,0.03,HIGH_RATE
0,OTH,78,15069,0.03,HIGH_RATE
0,OTH,78,19644,0.02,HIGH_RATE
0,OTH,78,4679,0.03,HIGH_RATE
0,OTH,78,14811,0.03,HIGH_RATE
0,OTH,78,6493,0,HIGH_RATE
0,OTH,78,6090,0,HIGH_RATE
0,OTH,78,5158,0.04,HIGH_RATE
0,OTH,78,10607,0.03,HIGH_RATE
0,OTH,78,9899,0.03,HIGH_RATE
0,OTH,78,14842,0.03,HIGH_RATE
0,OTH,78,6968,0.01,HIGH_RATE
0,OTH,78,17369,0.01,HIGH_RATE
0,OTH,78,5566,0.01,HIGH_RATE
0,OTH,78,10601,0,HIGH_RATE
0,OTH,78,2461,0.03,HIGH_RATE
0,OTH,78,6576,0.03,HIGH_RATE
0,OTH,78,20547,0.01,HIGH_RATE
0,OTH,78,1627,0,HIGH_RATE
0,OTH,78,21299,0,HIGH_RATE
0,OTH,78,23016,0,HIGH_RATE
0,OTH,78,7205,0,HIGH_RATE
0,OTH,78,26696,0.03,HIGH_RATE
0,OTH,78,6566,0,HIGH_RATE
0,OTH,78,22230,0.01,HIGH_RATE
0,OTH,78,10061,0.03,HIGH_RATE
0,OTH,78,27016,0.01,HIGH_RATE
0,OTH,78,15942,0.03,HIGH_RATE
0,OTH,78,7926,0.04,HIGH_RATE
0,OTH,78,6775,0.01,HIGH_RATE
0,OTH,78,24080,0.03,HIGH_RATE
0,OTH,78,7619,0.03,HIGH_RATE
0,OTH,78,6558,0.04,HIGH_RATE
0,OTH,78,5526,0.03,HIGH_RATE
0,OTH,78,5506,0.04,HIGH_RATE
0,OTH,78,23617,0.04,HIGH_RATE
0,OTH,78,9360,0.03,HIGH_RATE
0,OTH,78,7403,0.03,HIGH_RATE
0,OTH,78,11522,0.01,HIGH_RATE
0,OTH,78,20807,0.03,HIGH_RATE
0,OTH,78,4737,0.01,HIGH_RATE
0,OTH,78,7205,0.01,HIGH_RATE
0,OTH,78,23719,0.01,HIGH_RATE
0,OTH,78,5434,0,HIGH_RATE
0,OTH,78,6548,0,HIGH_RATE
0,OTH,78,15327,0.02,HIGH_RATE
0,OTH,78,25399,0.03,HIGH_RATE
0,OTH,78,24910,0.03,HIGH_RATE
0,OTH,78,10507,0.03,HIGH_RATE
0,OTH,78,3326,0.03,HIGH_RATE
0,OTH,78,6835,0.03,HIGH_RATE
0,OTH,78,11559,0,HIGH_RATE
0,OTH,78,15062,0.04,HIGH_RATE
0,OTH,78,13583,0.04,HIGH_RATE
0,OTH,78,594,0.01,HIGH_RATE
0,OTH,78,7141,0.03,HIGH_RATE
0,OTH,78,15715,0.03,HIGH_RATE
0,OTH,78,5985,0.03,HIGH_RATE
0,OTH,78,19075,0.01,HIGH_RATE
0,OTH,78,10837,0.04,HIGH_RATE
0,OTH,78,9369,0.03,HIGH_RATE
0,OTH,78,10302,0.01,HIGH_RATE
0,OTH,78,12350,0.03,HIGH_RATE
0,OTH,78,6510,0.03,HIGH_RATE
0,OTH,78,5570,0.06,HIGH_RATE
0,OTH,78,7075,0.01,HIGH_RATE
0,OTH,78,20728,0,HIGH_RATE
0,OTH,78,5979,0.02,HIGH_RATE
0,OTH,78,10764,0,HIGH_RATE
0,OTH,78,2099,0.03,HIGH_RATE
0,OTH,78,12148,0.03,HIGH_RATE
0,OTH,78,19589,0.01,HIGH_RATE
0,OTH,78,4607,0.03,HIGH_RATE
0,OTH,78,11769,0.01,HIGH_RATE
0,OTH,78,367,0,HIGH_RATE
0,OTH,78,9915,0.01,HIGH_RATE
0,OTH,78,13278,0.03,HIGH_RATE
0,OTH,78,22041,0.02,HIGH_RATE
0,OTH,78,5489,0.03,HIGH_RATE
0,OTH,78,27166,0.01,HIGH_RATE
0,OTH,78,17207,0.04,HIGH_RATE
0,OTH,78,8560,0.03,HIGH_RATE
0,OTH,78,16524,0.01,HIGH_RATE
0,OTH,78,23691,0.01,HIGH_RATE
0,OTH,78,4605,0.05,HIGH_RATE
0,OTH,78,13203,0.04,HIGH_RATE
0,OTH,78,9097,0.02,HIGH_RATE
0,OTH,78,6320,0,HIGH_RATE
0,OTH,78,17461,0.03,HIGH_RATE
0,OTH,78,6608,0.01,HIGH_RATE
0,OTH,78,5895,0.02,HIGH_RATE
0,OTH,78,678,0.04,HIGH_RATE
0,OTH,78,11667,0,HIGH_RATE
0,OTH,78,9897,0.01,HIGH_RATE
0,OTH,78,25926,0.01,HIGH_RATE
0,OTH,78,10819,0.01,HIGH_RATE
0,OTH,78,19643,0.02,HIGH_RATE
0,OTH,78,18386,0.01,HIGH_RATE
0,OTH,78,5706,0,HIGH_RATE
0,OTH,78,19931,0.01,HIGH_RATE
0,OTH,78,7824,0.05,HIGH_RATE
0,OTH,78,22034,0.03,HIGH_RATE
0,OTH,78,7978,0.03,HIGH_RATE
0,OTH,78,9864,0.01,HIGH_RATE
0,OTH,78,11472,0,HIGH_RATE
0,OTH,78,3027,0.01,HIGH_RATE
0,OTH,78,16777,0,HIGH_RATE
0,OTH,78,6304,0.01,HIGH_RATE
0,OTH,78,7448,0.01,HIGH_RATE
0,OTH,78,9247,0.01,HIGH_RATE
0,OTH,78,5579,0,HIGH_RATE
0,OTH,78,9882,0.01,HIGH_RATE
0,OTH,78,10360,0.02,HIGH_RATE
0,OTH,78,9664,0.03,HIGH_RATE
0,OTH,78,18392,0,HIGH_RATE
0,OTH,78,5135,0.01,HIGH_RATE
0,OTH,78,10618,0.02,HIGH_RATE
0,OTH,78,15175,0.01,HIGH_RATE
0,OTH,78,10816,0.03,HIGH_RATE
0,OTH,78,20624,0.01,HIGH_RATE
0,OTH,78,250,0.01,HIGH_RATE
0,OTH,78,9488,0.03,HIGH_RATE
0,OTH,78,24923,0.03,HIGH_RATE
0,OTH,78,8481,0.02,HIGH_RATE
0,OTH,78,20013,0,HIGH_RATE
0,OTH,78,9060,0.01,HIGH_RATE
0,OTH,78,10569,0.03,HIGH_RATE
0,OTH,78,27022,0,HIGH_RATE
0,OTH,78,4830,0.01,HIGH_RATE
0,OTH,78,22358,0,HIGH_RATE
0,OTH,78,20752,0.01,HIGH_RATE
0,OTH,78,6520,0.01,HIGH_RATE
0,OTH,78,22561,0.01,HIGH_RATE
0,OTH,78,7665,0.01,HIGH_RATE
0,OTH,78,14541,0.04,HIGH_RATE
0,OTH,78,14173,0.03,HIGH_RATE
0,OTH,78,20541,0.04,HIGH_RATE
0,OTH,78,24591,0.01,HIGH_RATE
0,OTH,78,9074,0.01,HIGH_RATE
0,OTH,78,8870,0.01,HIGH_RATE
0,OTH,78,26890,0.01,HIGH_RATE
0,OTH,78,6646,0.02,HIGH_RATE
0,OTH,78,5959,0,HIGH_RATE
0,OTH,78,11628,0.01,HIGH_RATE
0,OTH,78,25745,0.02,HIGH_RATE
0,OTH,78,23618,0.04,HIGH_RATE
0,OTH,78,22501,0.02,HIGH_RATE
0,OTH,78,23487,0.03,HIGH_RATE
0,OTH,78,9888,0.01,HIGH_RATE
0,OTH,78,5436,0,HIGH_RATE
0,OTH,78,7134,0,HIGH_RATE
0,OTH,78,5437,0.03,HIGH_RATE
0,OTH,78,20673,0.03,HIGH_RATE
0,OTH,78,15148,0.01,HIGH_RATE
0,OTH,78,16498,0.01,HIGH_RATE
0,OTH,78,3990,0,HIGH_RATE
0,OTH,78,4648,0,HIGH_RATE
0,OTH,78,21310,0,HIGH_RATE
0,OTH,78,18190,0,HIGH_RATE
0,OTH,78,6905,0.01,HIGH_RATE
0,OTH,78,10184,0.01,HIGH_RATE
0,OTH,78,6558,0,HIGH_RATE
0,OTH,78,9928,0.03,HIGH_RATE
0,OTH,78,10779,0.03,HIGH_RATE
0,OTH,78,8283,0.01,HIGH_RATE
0,OTH,78,4778,0.06,HIGH_RATE
0,OTH,78,26885,0.01,HIGH_RATE
0,OTH,78,24463,0.03,HIGH_RATE
0,OTH,78,7898,0.04,HIGH_RATE
0,OTH,78,20681,0,HIGH_RATE
0,OTH,78,9961,0,HIGH_RATE
0,OTH,78,15652,0.01,HIGH_RATE
0,OTH,78,21120,0,HIGH_RATE
0,OTH,78,22833,0.03,HIGH_RATE
0,OTH,78,27098,0,HIGH_RATE
0,OTH,78,11021,0.01,HIGH_RATE
0,OTH,78,7173,0.03,HIGH_RATE
0,OTH,78,4701,0.05,HIGH_RATE
0,OTH,78,24061,0.03,HIGH_RATE
0,OTH,78,23951,0.01,HIGH_RATE
0,OTH,78,12670,0,HIGH_RATE
0,OTH,78,20632,0,HIGH_RATE
0,OTH,78,5455,0.03,HIGH_RATE
0,OTH,78,22234,0.03,HIGH_RATE
0,OTH,78,20707,0,HIGH_RATE
0,OTH,78,7562,0,HIGH_RATE
0,OTH,78,11827,0,HIGH_RATE
0,OTH,78,11984,0.04,HIGH_RATE
0,OTH,78,15064,0.04,HIGH_RATE
0,OTH,78,10318,0.01,HIGH_RATE
0,OTH,78,127,0.01,HIGH_RATE
0,OTH,78,8700,0.03,HIGH_RATE
0,OTH,78,13500,0.03,HIGH_RATE
0,OTH,78,12396,0.01,HIGH_RATE
0,OTH,78,24670,0.03,HIGH_RATE
0,OTH,78,14996,0.02,HIGH_RATE
0,OTH,78,5767,0.01,HIGH_RATE
0,OTH,78,20318,0.01,HIGH_RATE
0,OTH,78,23763,0.03,HIGH_RATE
0,OTH,78,26254,0.02,HIGH_RATE
0,OTH,78,21538,0.03,HIGH_RATE
