@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,attack}

@data
OTH,66,2375,52,normal
OTH,66,3090,44,normal
SF,946,2088,100,normal
OTH,66,3183,43,normal
OTH,66,2358,61,normal
RSTR,1298,1524,89,normal
OTH,66,4891,46,normal
OTH,66,4620,42,normal
OTH,66,5956,43,normal
SF,1042,1839,100,normal
SF,946,3306,92,normal
SF,946,2709,78,normal
SF,946,2240,100,normal
OTH,66,3056,41,normal
SF,946,3240,100,normal
SF,946,1960,93,normal
OTH,66,4881,52,normal
SF,946,2237,100,normal
OTH,66,2936,63,normal
OTH,66,3471,46,normal
OTH,66,3161,100,normal
SF,946,3128,84,normal
SF,946,2271,100,normal
SF,946,4266,84,normal
SF,946,2434,100,normal
OTH,66,3036,48,normal
OTH,146,2834,62,normal
OTH,66,5070,42,normal
SF,880,2143,100,normal
OTH,66,3001,13,normal
OTH,78,5433,98,normal
OTH,66,3359,49,normal
OTH,66,5788,55,normal
SF,946,1800,100,normal
SF,946,575,97,normal
SF,1012,780,100,normal
S3,880,3289,100,normal
SF,946,200,100,normal
SF,880,3074,60,normal
SF,946,2710,100,normal
OTH,66,3497,59,normal
SF,946,2395,100,normal
OTH,66,3608,47,normal
S3,1036,3144,100,normal
OTH,66,4681,48,normal
OTH,66,1954,46,normal
OTH,66,5720,47,normal
OTH,66,5212,48,normal
OTH,66,3339,75,normal
SF,946,3264,100,normal
OTH,66,3595,36,normal
SF,946,2226,100,normal
SF,1012,1567,100,normal
OTH,66,2785,41,normal
SF,946,2501,95,normal
OTH,66,3782,100,normal
SF,946,2079,88,normal
SF,946,3882,98,normal
OTH,146,3556,56,normal
SF,946,2111,100,normal
OTH,78,3577,69,normal
SF,946,2269,100,normal
OTH,66,3034,41,normal
OTH,66,3234,45,normal
SF,1024,3234,100,normal
SF,946,892,99,normal
OTH,66,4917,78,normal
SF,946,3293,68,normal
OTH,66,4796,35,normal
OTH,66,2137,50,normal
OTH,66,3448,40,normal
SF,946,1046,100,normal
SF,946,2848,63,normal
SF,946,3892,100,normal
SF,1120,1706,100,normal
OTH,66,2900,43,normal
OTH,66,3592,62,normal
OTH,66,4867,50,normal
OTH,66,5030,47,normal
SF,880,3228,95,normal
SF,946,1844,100,normal
SF,946,2166,100,normal
SF,946,2716,100,normal
SF,946,3686,65,normal
OTH,66,2955,49,normal
OTH,146,6422,74,normal
OTH,66,4933,59,normal
OTH,66,3165,82,normal
SF,946,3305,92,normal
OTH,66,2622,61,normal
SF,946,3582,100,normal
OTH,66,3418,52,normal
OTH,146,2781,82,normal
SF,946,2095,100,normal
SF,946,1535,95,normal
S2,946,3413,100,normal
OTH,66,3143,48,normal
SF,946,3875,100,normal
S1,286,2732,100,normal
OTH,66,5280,44,normal
SF,946,3974,76,normal
S2,352,2892,100,normal
OTH,66,3526,50,normal
RSTR,958,1780,100,normal
OTH,66,3882,70,normal
OTH,66,3051,56,normal
SF,946,1961,100,normal
SF,946,3919,100,normal
SF,946,1152,100,normal
OTH,66,3505,47,normal
SF,946,2335,100,normal
SF,946,2296,100,normal
SF,946,2695,100,normal
RSTO,352,3812,100,normal
SF,946,3671,100,normal
OTH,66,3472,24,normal
S2,734,3118,100,normal
OTH,66,5897,44,normal
SF,946,1939,100,normal
OTH,66,2295,55,normal
SF,946,3571,100,normal
SF,880,2318,100,normal
OTH,78,2977,94,normal
SF,946,3140,91,normal
OTH,66,5001,44,normal
SF,946,3577,100,normal
SF,946,3980,80,normal
SF,946,1061,100,normal
OTH,66,4238,52,normal
SF,1120,1937,87,normal
SF,1012,2243,100,normal
S1,214,2772,100,normal
SF,946,3544,100,normal
OTH,78,3589,79,normal
SF,946,1573,100,normal
OTH,66,5885,47,normal
S1,140,2654,100,normal
OTH,66,5867,38,normal
SF,946,1732,100,normal
OTH,146,5126,49,normal
SF,880,2215,100,normal
OTH,66,5715,42,normal
SF,946,1862,100,normal
OTH,66,2831,51,normal
S3,880,2873,100,normal
SF,880,2024,100,normal
OTH,66,5389,97,normal
SF,946,1879,99,normal
OTH,66,4421,45,normal
OTH,66,5944,50,normal
OTH,66,5126,48,normal
OTH,66,3187,100,normal
OTH,66,3055,48,normal
SF,946,3090,92,normal
SF,880,1778,100,normal
SF,946,2495,94,normal
OTH,66,5707,37,normal
OTH,66,2484,52,normal
SF,946,3214,49,normal
SF,946,4221,95,normal
SF,958,3829,58,normal
SF,946,596,100,normal
OTH,66,3952,72,normal
SF,946,2387,100,normal
SF,946,602,100,normal
OTH,66,3129,48,normal
OTH,66,3080,46,normal
SF,946,972,100,normal
SF,946,3981,100,normal
OTH,66,2855,51,normal
SF,946,3088,72,normal
SF,946,3356,100,normal
SF,946,1133,100,normal
OTH,66,5004,59,normal
OTH,66,5069,66,normal
SF,946,2884,100,normal
OTH,66,1973,48,normal
SF,1024,2412,85,normal
OTH,66,2300,55,normal
SF,946,3315,75,normal
OTH,66,2577,69,normal
S1,218,2464,100,normal
OTH,146,4935,58,normal
SF,946,2148,100,normal
SF,946,3062,100,normal
OTH,78,2127,95,normal
OTH,66,4908,82,normal
S1,286,3056,100,normal
OTH,66,2739,44,normal
S1,74,2664,100,normal
OTH,66,4641,57,normal
SF,946,2263,100,normal
OTH,146,3559,58,normal
SF,1024,3318,91,normal
OTH,146,2800,56,normal
SF,946,3322,100,normal
OTH,66,3485,56,normal
SF,946,2332,77,normal
OTH,66,5116,46,normal
S1,74,2672,100,normal
SF,946,1843,96,normal
OTH,66,2777,52,normal
SF,946,1829,100,normal
SF,1120,2681,89,normal
OTH,66,3662,41,normal
SF,880,119,100,normal
SF,946,2166,100,normal
SF,946,2070,100,normal
SF,946,3263,100,normal
OTH,66,3866,62,normal
SF,946,1350,100,normal
OTH,66,4226,53,normal
SF,946,2151,98,normal
SF,880,2618,100,normal
SF,946,3241,100,normal
RSTR,1970,1487,77,normal
SF,946,3096,78,normal
SF,946,2266,100,normal
SF,946,2267,100,normal
SF,946,1967,100,normal
SF,1036,2250,100,normal
SF,946,2280,100,normal
OTH,66,3856,42,normal
SF,946,2586,100,normal
OTH,66,2312,29,normal
OTH,66,4984,67,normal
OTH,66,2403,52,normal
S1,74,2485,100,normal
SF,946,2517,100,normal
SF,946,2408,100,normal
SF,946,1877,92,normal
OTH,66,4935,60,normal
SF,880,1194,100,normal
SF,946,1869,96,normal
SF,946,3565,100,normal
S2,1024,3605,100,normal
SF,946,2209,100,normal
SF,880,1440,100,normal
OTH,66,6255,47,normal
SF,946,3253,100,normal
SF,1120,1421,100,normal
OTH,66,4540,39,normal
OTH,66,2877,50,normal
OTH,66,5746,57,normal
SF,880,1942,71,normal
S3,958,3753,100,normal
OTH,66,4109,100,normal
OTH,66,5105,66,normal
SF,946,1914,100,normal
SF,946,2207,100,normal
SF,946,1938,100,normal
S1,140,2982,100,normal
OTH,66,5699,78,normal
OTH,66,3735,49,normal
OTH,66,2871,33,normal
SF,946,1870,99,normal
SF,946,2020,100,normal
OTH,66,2837,49,normal
SF,1024,2100,100,normal
SF,946,2186,100,normal
RSTO,352,3808,100,normal
OTH,66,5986,34,normal
OTH,66,5192,75,normal
OTH,66,6199,50,normal
OTH,66,2687,52,normal
SF,946,2239,100,normal
OTH,66,3513,52,normal
OTH,66,5507,81,normal
SF,946,1449,100,normal
OTH,66,3269,48,normal
SF,946,3013,100,normal
SF,946,3538,100,normal
S3,946,3364,100,normal
SF,946,1162,100,normal
OTH,78,3568,62,normal
OTH,66,5241,79,normal
SF,946,1328,100,normal
SF,946,2404,100,normal
S3,734,3715,100,normal
OTH,66,3787,53,normal
OTH,66,3283,48,normal
SF,946,1914,100,normal
OTH,146,3533,44,normal
OTH,66,4898,39,normal
SF,946,2118,100,normal
OTH,66,5815,47,normal
OTH,66,2962,51,normal
SF,1012,2196,100,normal
SF,946,3175,50,normal
SF,946,2085,100,normal
OTH,66,3325,45,normal
OTH,66,2876,51,normal
OTH,66,2685,50,normal
OTH,66,3855,54,normal
SF,946,3913,100,normal
SF,880,1978,100,normal
OTH,66,5239,60,normal
SF,946,1528,100,normal
OTH,66,5913,53,normal
OTH,66,4725,52,normal
OTH,66,3075,48,normal
SF,946,2767,100,normal
SF,946,1970,100,normal
OTH,66,2836,53,normal
SF,946,2367,97,normal
SF,946,2836,82,normal
OTH,66,2427,40,normal
OTH,66,6353,14,normal
SF,880,1842,100,normal
SF,946,1854,99,normal
OTH,66,2334,57,normal
OTH,66,3677,91,normal
SF,946,2308,100,normal
SF,946,3502,100,normal
OTH,66,2711,54,normal
SF,946,4058,100,normal
SF,946,2184,98,normal
SF,946,3527,100,normal
SF,946,3935,71,normal
SF,946,1996,100,normal
OTH,66,3857,40,normal
OTH,66,3190,41,normal
SF,946,2424,100,normal
OTH,66,3958,78,normal
OTH,66,5051,45,normal
OTH,78,1990,100,normal
SF,946,3160,100,normal
S3,880,2104,100,normal
SF,946,756,100,normal
SF,880,3545,100,normal
OTH,66,4781,36,normal
OTH,66,2752,47,normal
OTH,66,2715,49,normal
SF,1012,3275,92,normal
OTH,66,1925,81,normal
SF,946,1952,100,normal
OTH,66,3052,50,normal
OTH,78,1876,100,normal
OTH,66,4580,39,normal
OTH,78,5805,53,normal
SF,946,2570,100,normal
S2,1024,1942,100,normal
SF,946,1967,96,normal
OTH,66,5189,33,normal
SF,946,1965,100,normal
SF,946,2162,100,normal
OTH,66,2579,69,normal
SF,946,1940,100,normal
OTH,66,4953,53,normal
SF,1012,1814,100,normal
OTH,66,2588,37,normal
SF,946,1949,100,normal
OTH,146,6198,49,normal
OTH,66,2538,38,normal
OTH,66,3247,55,normal
OTH,146,6404,58,normal
SF,946,2042,100,normal
OTH,146,6477,80,normal
SF,946,2974,100,normal
SF,946,2388,85,normal
SF,946,1877,100,normal
OTH,66,2852,47,normal
OTH,146,3192,63,normal
OTH,146,2051,51,normal
OTH,66,3428,65,normal
OTH,66,3359,48,normal
SF,946,2062,97,normal
OTH,66,3095,84,normal
SF,946,2115,100,normal
OTH,66,2991,71,normal
OTH,146,3910,51,normal
S1,286,2920,100,normal
SF,946,2334,100,normal
SF,946,2146,100,normal
SF,946,2015,100,normal
OTH,66,3133,36,normal
OTH,66,5094,39,normal
OTH,66,2949,57,normal
OTH,66,3246,36,normal
SF,946,1885,100,normal
OTH,66,2899,50,normal
OTH,66,2542,42,normal
OTH,66,2903,13,normal
SF,946,2088,100,normal
SF,946,2774,100,normal
SF,946,1517,95,normal
SF,880,3044,98,normal
SF,946,3907,98,normal
OTH,66,5601,49,normal
SF,946,2527,100,normal
OTH,66,5442,90,normal
OTH,66,5853,51,normal
OTH,66,5400,97,normal
OTH,66,5099,52,normal
SF,880,4023,100,normal
SF,946,2225,100,normal
S3,880,2383,100,normal
SF,946,3322,42,normal
SF,1060,586,100,normal
SF,946,4032,100,normal
SF,946,2119,86,normal
SF,946,1928,99,normal
OTH,146,2585,69,normal
OTH,146,5299,81,normal
SF,946,2721,42,normal
SF,946,1983,100,normal
OTH,66,4861,44,normal
SF,1012,1132,100,normal
OTH,78,5827,43,normal
SF,946,1665,100,normal
OTH,66,2921,51,normal
SF,946,713,100,normal
OTH,146,2505,36,normal
SF,946,1147,100,normal
RSTR,286,3326,100,normal
SF,946,1175,100,normal
OTH,66,4151,37,normal
S3,880,2127,100,normal
OTH,78,6016,46,normal
SF,946,2961,100,normal
SF,1024,3103,74,normal
SF,946,1876,99,normal
SF,946,1040,100,normal
SF,946,2229,100,normal
SF,946,1951,100,normal
OTH,78,5832,64,normal
OTH,66,2747,42,normal
OTH,66,2967,52,normal
SF,946,2003,100,normal
OTH,66,3159,47,normal
RSTR,1012,1467,71,normal
OTH,66,3807,88,normal
SF,880,2313,100,normal
SF,1120,1218,100,normal
OTH,66,5636,37,normal
SF,946,2102,100,normal
SF,1012,2229,100,normal
OTH,66,5184,39,normal
OTH,66,2552,25,normal
S1,880,3784,100,normal
SF,946,1734,100,normal
OTH,66,3189,49,normal
SF,946,1300,100,normal
S1,74,2716,100,normal
SF,946,2063,90,normal
SF,1012,2453,100,normal
OTH,66,3224,50,normal
OTH,66,2718,45,normal
OTH,146,5054,55,normal
SF,946,2016,100,normal
SF,946,3951,100,normal
OTH,146,3193,57,normal
SF,958,3233,100,normal
SF,946,2683,43,normal
OTH,66,5474,93,normal
SF,946,2867,76,normal
SF,946,1495,95,normal
OTH,66,3451,46,normal
SF,946,42,42,normal
OTH,78,5821,41,normal
SF,946,2099,100,normal
OTH,66,2921,43,normal
SF,946,1839,100,normal
SF,946,890,99,normal
SF,946,2155,98,normal
SF,946,2137,100,normal
OTH,66,4796,40,normal
SF,946,1514,100,normal
OTH,66,3103,42,normal
SF,946,2188,100,normal
OTH,146,5854,54,normal
SF,946,1990,100,normal
SF,946,1835,100,normal
SF,946,2390,100,normal
OTH,66,5491,100,normal
SF,946,2411,100,normal
SF,946,3021,57,normal
SF,946,2408,98,normal
SF,880,2123,93,normal
OTH,66,2669,41,normal
SF,946,4048,100,normal
OTH,78,3198,50,normal
SF,946,1880,99,normal
SF,946,4025,100,normal
OTH,66,3457,60,normal
SF,946,2047,100,normal
SF,946,2192,98,normal
SF,946,2638,100,normal
SF,946,2162,100,normal
SF,946,3876,100,normal
S1,74,3569,100,normal
SF,946,2440,98,normal
OTH,66,2815,48,normal
S2,946,2296,100,normal
OTH,66,5871,44,normal
OTH,66,5221,47,normal
OTH,78,6060,51,normal
OTH,66,2791,52,normal
SF,946,3085,100,normal
OTH,66,3577,47,normal
OTH,66,3055,49,normal
SF,352,3307,39,normal
OTH,66,2788,50,normal
OTH,66,3775,100,normal
SF,946,3834,100,normal
OTH,66,2486,52,normal
OTH,78,1869,100,normal
SF,946,3363,100,normal
SF,946,3004,72,normal
SF,946,2529,94,normal
OTH,66,5053,42,normal
SF,946,1976,100,normal
SF,880,2839,63,normal
OTH,66,3041,70,normal
SF,946,1981,100,normal
OTH,66,4974,50,normal
OTH,66,6131,50,normal
SF,946,2305,100,normal
SF,946,3750,51,normal
OTH,66,5033,51,normal
SF,946,2527,94,normal
OTH,66,2891,26,normal
OTH,66,2560,36,normal
SF,946,2128,100,normal
OTH,66,3040,22,normal
OTH,66,4191,64,normal
OTH,146,5869,54,normal
OTH,66,2465,39,normal
OTH,66,2928,52,normal
SF,946,2396,100,normal
OTH,66,2606,35,normal
SF,946,2243,100,normal
SF,946,647,100,normal
S1,880,3472,100,normal
SF,946,2085,100,normal
RSTR,286,3009,100,normal
