% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,17-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,OTH,15,50,normal
tcp,OTH,41,48,normal
tcp,OTH,8,51,normal
tcp,OTH,43,43,normal
tcp,OTH,0,47,normal
tcp,RSTO,0,47,normal
tcp,OTH,18,52,normal
tcp,SF,18,255,normal
tcp,SF,255,255,normal
tcp,REJ,203,255,normal
tcp,SF,149,255,normal
tcp,SF,255,255,normal
tcp,SF,38,255,normal
tcp,SF,9,255,normal
tcp,SF,27,255,normal
tcp,S2,255,248,normal
tcp,SF,255,245,normal
tcp,SF,61,255,normal
tcp,SF,8,255,normal
tcp,SF,21,255,normal
tcp,SF,255,255,normal
tcp,SF,24,255,normal
tcp,SF,70,245,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,REJ,4,165,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,108,255,normal
tcp,SF,2,255,normal
tcp,SF,21,255,normal
tcp,SF,100,255,normal
tcp,SF,2,255,normal
tcp,SF,255,255,normal
tcp,SF,2,255,normal
tcp,REJ,1,255,normal
tcp,S1,167,255,normal
tcp,SF,255,255,normal
tcp,SF,158,255,normal
tcp,SF,3,255,normal
tcp,SF,97,255,normal
tcp,SF,58,255,normal
tcp,SF,255,255,normal
tcp,SF,156,255,normal
tcp,SF,76,255,normal
tcp,SF,12,255,normal
tcp,SF,98,255,normal
tcp,SF,34,255,normal
tcp,SF,37,255,normal
tcp,REJ,2,146,normal
tcp,SF,24,255,normal
tcp,SF,175,255,normal
tcp,SF,255,255,normal
tcp,SF,255,252,normal
tcp,SF,255,255,normal
tcp,REJ,9,255,normal
tcp,SF,115,255,normal
tcp,SF,131,255,normal
tcp,SF,60,255,normal
tcp,SF,18,255,normal
tcp,SF,11,255,normal
tcp,SF,7,255,normal
tcp,SF,4,255,normal
tcp,SF,48,255,normal
tcp,SF,141,255,normal
tcp,SF,255,255,normal
tcp,SF,116,255,normal
tcp,SF,93,255,normal
tcp,SF,10,255,normal
tcp,SF,105,108,normal
tcp,REJ,3,165,normal
tcp,SF,255,255,normal
tcp,SF,51,255,normal
tcp,SF,125,255,normal
tcp,SF,4,255,normal
tcp,SF,17,255,normal
tcp,SF,127,119,normal
tcp,SF,139,255,normal
tcp,SF,83,255,normal
tcp,SF,255,255,normal
tcp,SF,55,255,normal
tcp,SF,255,255,normal
tcp,SF,53,255,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,2,2,normal
tcp,SF,255,255,normal
tcp,SF,75,255,normal
tcp,SF,255,255,normal
tcp,REJ,52,255,normal
tcp,SF,77,255,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,141,131,normal
tcp,SF,1,41,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,1,255,normal
tcp,SF,255,255,normal
tcp,SF,196,255,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,13,255,normal
tcp,SF,139,247,normal
tcp,SF,255,255,normal
tcp,SF,99,255,normal
tcp,SF,255,255,normal
tcp,SF,12,255,normal
tcp,SF,8,255,normal
tcp,SF,255,255,normal
tcp,SF,28,255,normal
tcp,SF,31,242,normal
tcp,SF,44,255,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,18,255,normal
tcp,REJ,14,189,normal
tcp,SF,236,255,normal
tcp,SF,3,255,normal
tcp,SF,250,255,normal
tcp,SF,255,255,normal
tcp,SF,81,255,normal
tcp,SF,191,191,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,122,254,normal
tcp,SF,116,255,normal
tcp,SF,26,255,normal
tcp,SF,10,255,normal
tcp,SF,4,255,normal
tcp,SF,133,255,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,255,255,normal
tcp,SF,205,255,normal
tcp,SF,24,24,normal
tcp,SF,255,255,normal
tcp,SF,66,255,normal
tcp,REJ,41,188,normal
tcp,SF,63,255,normal
tcp,REJ,9,47,normal
tcp,SF,255,255,normal
