% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8,11,14-15,17-18,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,946,12461,1140,0,1,0,100,100,normal
0,tcp,1024,12527,2725,0,1,0,72,72,normal
0,tcp,946,12461,2012,0,1,0,100,100,normal
0,tcp,66,0,2883,0,1,0,45,45,normal
0,tcp,946,12461,4468,0,1,0,55,55,normal
0,tcp,66,0,3848,0,1,0,44,44,normal
0,tcp,66,0,3031,0,1,0,58,58,normal
0,tcp,946,12461,2250,0,1,0,100,100,normal
0,tcp,946,12461,3348,0,1,0,96,96,normal
0,tcp,66,0,3393,0,1,0,42,42,normal
0,tcp,66,0,4874,0,1,0,57,57,normal
0,tcp,66,0,4042,0,1,0,44,44,normal
0,tcp,946,12461,2062,0,1,0,100,100,normal
0,tcp,946,12461,3916,0,1,0,69,69,normal
0,tcp,946,12461,2157,0,1,0,100,100,normal
0,tcp,946,12461,2853,0,1,0,63,63,normal
0,tcp,66,0,6211,0,1,0,52,52,normal
0,tcp,66,0,3146,0,1,0,41,41,normal
0,tcp,286,140,1611,0.01,1,0,100,100,normal
0,tcp,946,12461,2026,0,1,0,100,100,normal
0,tcp,66,0,3299,0,1,0,36,36,normal
0,tcp,946,12461,2189,0,1,0,41,41,normal
0,tcp,66,0,2953,0,1,0,38,38,normal
0,tcp,946,12461,1827,0,1,0,100,100,normal
0,tcp,946,12461,1931,0,1,0,100,100,normal
0,tcp,946,12395,2050,0,1,0,100,100,normal
0,tcp,946,12461,2130,0,1,0,100,100,normal
0,tcp,66,0,3343,0,1,0,49,49,normal
0,tcp,1012,12461,2040,0,1,0,100,100,normal
0,tcp,66,0,2726,0,1,0,42,42,normal
0,tcp,946,12461,1940,0,1,0,100,100,normal
0,tcp,66,0,4974,0,1,0,28,28,normal
0,tcp,946,12461,2390,0,1,0,98,98,normal
0,tcp,66,0,3393,0,1,0,52,52,normal
0,tcp,66,0,2830,0,1,0,45,45,normal
0,tcp,946,12461,1851,0,1,0,100,100,normal
0,tcp,946,12461,2071,0,1,0,100,100,normal
0,tcp,1078,12461,1182,0,1,0,100,100,normal
0,tcp,66,0,6119,0,1,0,38,38,normal
0,tcp,946,12461,2044,0,1,0,100,100,normal
0,tcp,66,0,3883,0,1,0,70,70,normal
0,tcp,78,0,4238,0,1,0,95,95,normal
0,tcp,66,0,4992,0,1,0,40,40,normal
0,tcp,66,0,4886,0,1,0,52,52,normal
0,tcp,286,140,2736,0.39,1,0,100,100,normal
0,tcp,66,0,3954,0,1,0,58,58,normal
0,tcp,1024,12527,3299,0,1,0,75,75,normal
0,tcp,1120,12461,2254,0,1,0,100,100,normal
0,tcp,880,12395,2311,0,1,0,100,100,normal
0,tcp,880,12461,3098,0.44,1,0,100,100,normal
0,tcp,946,12461,1140,0,1,0,100,100,normal
0,tcp,946,12461,1906,0,1,0,92,92,normal
0,tcp,880,12395,2307,0,1,0,100,100,normal
0,tcp,66,0,2133,0,1,0,48,48,normal
0,tcp,946,12461,3889,0,1,0,98,98,normal
0,tcp,78,0,5592,0,1,0,75,75,normal
0,tcp,66,0,2925,0,1,0,29,29,normal
0,tcp,146,0,2598,0,1,0,69,69,normal
0,tcp,66,0,2016,0,1,0,47,47,normal
0,tcp,946,12461,2358,0,1,0,63,63,normal
0,tcp,66,0,3076,0,1,0,43,43,normal
0,tcp,66,0,2506,0,1,0,50,50,normal
0,tcp,946,12461,2282,0,1,0,100,100,normal
0,tcp,78,0,5702,0,1,0,45,45,normal
0,tcp,66,0,4954,0,1,0,46,46,normal
0,tcp,946,12461,3207,0,1,0,100,100,normal
0,tcp,946,12461,2386,0,1,0,100,100,normal
0,tcp,946,12461,2367,0,1,0,100,100,normal
0,tcp,946,12461,2989,0,1,0,98,98,normal
0,tcp,66,0,5178,0,1,0,58,58,normal
0,tcp,66,0,2719,0,1,0,52,52,normal
0,tcp,66,0,5330,0,1,0,86,86,normal
0,tcp,946,12461,2205,0,1,0,100,100,normal
0,tcp,946,12461,3295,0,1,0,71,71,normal
0,tcp,880,12406,2400,0,1,0,85,85,normal
1,tcp,946,12461,592,0,1,0,100,100,normal
0,tcp,946,12461,2012,0,1,0,100,100,normal
0,tcp,1120,12461,591,0,1,0,100,100,normal
0,tcp,66,0,3197,0,1,0,49,49,normal
0,tcp,946,12461,2790,0,1,0,98,98,normal
0,tcp,946,12461,795,0,1,0,100,100,normal
0,tcp,946,12461,2492,0,1,0,100,100,normal
0,tcp,946,12461,1948,0,1,0,100,100,normal
0,tcp,946,12461,3349,0,1,0,100,100,normal
0,tcp,66,0,6272,0,1,0,47,47,normal
0,tcp,66,0,3330,0,1,0,44,44,normal
0,tcp,946,12461,3026,0,1,0,68,68,normal
0,tcp,1042,12461,2321,0,1,0,100,100,normal
0,tcp,1120,12461,2619,0,1,0,100,100,normal
0,tcp,66,0,5859,0,1,0,52,52,normal
0,tcp,946,12461,1834,0,1,0,100,100,normal
0,tcp,66,0,4301,0,1,0,51,51,normal
0,tcp,946,12461,1885,0,1,0,100,100,normal
0,tcp,734,12387,3015,0,1,0,47,47,normal
0,tcp,946,12461,2316,0,1,0,100,100,normal
0,tcp,66,0,3615,0,1,0,38,38,normal
0,tcp,66,0,3076,0,1,0,43,43,normal
0,tcp,946,12461,1865,0,1,0,94,94,normal
0,tcp,66,0,4913,0,1,0,78,78,normal
0,tcp,66,0,4416,0,1,0,43,43,normal
0,tcp,946,12461,4231,0,1,0,95,95,normal
0,tcp,66,0,4746,0,1,0,42,42,normal
0,tcp,946,12461,2531,0,1,0,100,100,normal
0,tcp,66,0,5982,0,1,0,32,32,normal
0,tcp,66,0,2864,0,1,0,50,50,normal
0,tcp,946,12461,3539,0,1,0,100,100,normal
