@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-V-R4,12,29,40'

@attribute total_bvolume numeric
@attribute std_bpktl numeric
@attribute std_idle numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
855,182,4559970,LOW_RATE
855,182,4559373,LOW_RATE
855,182,4558819,LOW_RATE
855,182,4558184,LOW_RATE
855,182,4557682,LOW_RATE
855,182,4557074,LOW_RATE
855,182,4556458,LOW_RATE
855,182,4555843,LOW_RATE
855,182,4555275,LOW_RATE
855,182,4554661,LOW_RATE
855,182,4554104,LOW_RATE
855,182,4553330,LOW_RATE
803,196,4552782,LOW_RATE
855,182,4552214,LOW_RATE
855,182,4551620,LOW_RATE
855,182,4524237,LOW_RATE
11896,2177,14418934,LOW_RATE
855,182,4550998,LOW_RATE
855,182,4550268,LOW_RATE
855,182,4549651,LOW_RATE
855,182,4549027,LOW_RATE
855,182,4548485,LOW_RATE
855,182,4547862,LOW_RATE
855,182,4547285,LOW_RATE
803,196,4546683,LOW_RATE
855,182,4545909,LOW_RATE
855,182,4545311,LOW_RATE
855,182,4544692,LOW_RATE
855,182,4544089,LOW_RATE
855,182,4543484,LOW_RATE
855,182,4542732,LOW_RATE
803,196,4542110,LOW_RATE
855,182,4541500,LOW_RATE
855,182,4540916,LOW_RATE
855,182,4540294,LOW_RATE
855,182,4539550,LOW_RATE
855,182,4538952,LOW_RATE
855,182,4538347,LOW_RATE
855,182,4537752,LOW_RATE
855,182,4537261,LOW_RATE
855,182,4536450,LOW_RATE
855,182,4535851,LOW_RATE
855,182,4535252,LOW_RATE
855,182,4534659,LOW_RATE
855,182,4533940,LOW_RATE
855,182,4533355,LOW_RATE
855,182,4532203,LOW_RATE
855,182,4531562,LOW_RATE
855,182,4530958,LOW_RATE
855,182,4530396,LOW_RATE
855,182,4529575,LOW_RATE
855,182,4528965,LOW_RATE
855,182,4528383,LOW_RATE
855,182,4527759,LOW_RATE
855,182,4527063,LOW_RATE
855,182,4526481,LOW_RATE
855,182,4525887,LOW_RATE
855,182,4525335,LOW_RATE
855,182,4524883,LOW_RATE
855,182,4514170,LOW_RATE
855,182,4532782,LOW_RATE
855,182,4422641,LOW_RATE
855,182,4513506,LOW_RATE
855,182,4519359,LOW_RATE
855,182,4421701,LOW_RATE
855,182,4512901,LOW_RATE
855,182,4421171,LOW_RATE
855,182,4420663,LOW_RATE
855,182,4419062,LOW_RATE
855,182,4523646,LOW_RATE
907,170,4420047,LOW_RATE
907,170,4518767,LOW_RATE
907,170,4518175,LOW_RATE
855,182,4417798,LOW_RATE
907,170,4517356,LOW_RATE
907,170,4521882,LOW_RATE
907,170,4516764,LOW_RATE
907,170,4515855,LOW_RATE
907,170,4515919,LOW_RATE
907,170,4521306,LOW_RATE
907,170,4523099,LOW_RATE
907,170,4522497,LOW_RATE
907,170,4419609,LOW_RATE
855,182,4417262,LOW_RATE
907,170,4520707,LOW_RATE
855,182,4242026,LOW_RATE
855,182,4241727,LOW_RATE
855,182,4514749,LOW_RATE
907,170,4519954,LOW_RATE
907,170,4418329,LOW_RATE
907,170,4240604,LOW_RATE
907,170,4239854,LOW_RATE
907,170,4240958,LOW_RATE
907,170,4241359,LOW_RATE
907,170,4240231,LOW_RATE
907,170,4239477,LOW_RATE
907,170,4239168,LOW_RATE
907,170,4633281,LOW_RATE
907,170,4634109,LOW_RATE
907,170,4238707,LOW_RATE
907,170,4573095,LOW_RATE
907,170,4238315,LOW_RATE
855,182,4545062,LOW_RATE
803,196,4545635,LOW_RATE
855,182,4542535,LOW_RATE
855,182,4541490,LOW_RATE
855,182,4541101,LOW_RATE
907,170,4237940,LOW_RATE
803,196,4543899,LOW_RATE
855,182,4539343,LOW_RATE
855,182,4540652,LOW_RATE
855,182,4538598,LOW_RATE
855,182,4543415,LOW_RATE
855,182,4537987,LOW_RATE
11896,1492,0,LOW_RATE
855,182,4536377,LOW_RATE
855,182,4536037,LOW_RATE
855,182,4535478,LOW_RATE
855,182,4463462,LOW_RATE
763,213,4667834,LOW_RATE
855,182,4462339,LOW_RATE
855,182,4461720,LOW_RATE
855,182,4460369,LOW_RATE
11896,2177,0,LOW_RATE
12000,1545,0,LOW_RATE
11948,2117,2747125,LOW_RATE
11896,2177,0,LOW_RATE
100,14,439714,LOW_RATE
100,14,431965,LOW_RATE
100,14,364444,LOW_RATE
100,14,525511,LOW_RATE
12000,1545,1808059,LOW_RATE
11948,1545,2796726,LOW_RATE
11948,1545,2713923,LOW_RATE
12012,1544,233951,LOW_RATE
11948,1545,0,LOW_RATE
11948,1545,0,LOW_RATE
12000,1545,1254929,LOW_RATE
12000,1545,2467941,LOW_RATE
11896,1492,91817,LOW_RATE
11948,1545,72102,LOW_RATE
11948,1545,0,LOW_RATE
11896,1492,0,LOW_RATE
11792,3543,0,LOW_RATE
1732,232,4687668,LOW_RATE
1732,232,4817999,LOW_RATE
1732,232,4691045,LOW_RATE
1732,232,4691243,LOW_RATE
1732,232,4691293,LOW_RATE
1732,232,4817961,LOW_RATE
1732,232,4818147,LOW_RATE
1732,232,4691304,LOW_RATE
1732,232,4691393,LOW_RATE
1732,232,4691572,LOW_RATE
1732,232,4691771,LOW_RATE
1732,232,4691850,LOW_RATE
1732,232,4691882,LOW_RATE
1732,232,4692016,LOW_RATE
1732,232,4821580,LOW_RATE
1732,232,4687391,LOW_RATE
1732,232,4821625,LOW_RATE
1732,232,4687429,LOW_RATE
1732,232,4687500,LOW_RATE
1732,232,4821660,LOW_RATE
1732,232,4821873,LOW_RATE
1732,232,4687545,LOW_RATE
1732,232,4687586,LOW_RATE
1732,232,4825568,LOW_RATE
1732,232,4825603,LOW_RATE
1732,232,4687797,LOW_RATE
1732,232,4691365,LOW_RATE
1732,232,4825574,LOW_RATE
1732,232,4825598,LOW_RATE
1732,232,4691363,LOW_RATE
1732,232,4691405,LOW_RATE
1732,232,4825753,LOW_RATE
1732,232,4829175,LOW_RATE
1732,232,4691459,LOW_RATE
1732,232,4691644,LOW_RATE
1732,232,4829181,LOW_RATE
1732,232,4829149,LOW_RATE
1732,232,4695168,LOW_RATE
1732,232,4829184,LOW_RATE
