% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,8,17,21-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
tcp,OTH,112,0,16,16,0.19,0.69,NORMAL
tcp,OTH,60,0,122,31,0.97,0,NORMAL
tcp,OTH,60,0,198,46,0.98,0,NORMAL
tcp,OTH,60,0,311,37,0.97,0,NORMAL
tcp,SF,92824,533500,0,0,0,1,NORMAL
tcp,OTH,60,0,162,31,0.91,0.06,NORMAL
tcp,OTH,60,0,291,33,0.97,0,NORMAL
tcp,OTH,60,0,33,15,0.75,0.21,NORMAL
tcp,OTH,60,0,1,1,0.05,0.95,NORMAL
tcp,OTH,60,0,144,33,0.85,0.13,NORMAL
tcp,OTH,60,0,176,30,0.83,0.14,NORMAL
tcp,OTH,60,0,97,27,0.96,0,NORMAL
tcp,OTH,66,0,6,6,0.13,0.87,NORMAL
tcp,OTH,66,0,15,15,0.31,0.68,NORMAL
tcp,OTH,60,0,356,49,0.98,0,NORMAL
tcp,OTH,66,0,15,15,0.38,0.62,NORMAL
tcp,OTH,60,0,57,37,0.97,0,NORMAL
tcp,OTH,60,0,9,10,0.2,0.8,NORMAL
tcp,SF,4794,4348,2,2,0,0.96,NORMAL
tcp,OTH,60,0,297,32,0.97,0,NORMAL
tcp,OTH,60,0,319,39,0.97,0,NORMAL
tcp,OTH,60,0,292,36,0.97,0,NORMAL
tcp,OTH,66,0,166,36,0.97,0,NORMAL
tcp,OTH,66,0,67,37,0.95,0.03,NORMAL
tcp,OTH,66,0,6,4,0.12,0.87,NORMAL
tcp,OTH,60,0,99,43,0.98,0,NORMAL
tcp,RSTO,6023,58286,4,1,0,0.97,NORMAL
tcp,SF,1499,1612,1,6,0,0,NORMAL
tcp,S1,10040,193328,0,0,0,1,NORMAL
tcp,OTH,60,0,245,30,0.62,0.36,NORMAL
tcp,SF,1778,5865,0,0,0,1,NORMAL
tcp,OTH,66,0,36,33,0.69,0.3,NORMAL
tcp,OTH,60,0,298,49,0.98,0,NORMAL
tcp,OTH,60,0,71,39,0.95,0.03,NORMAL
tcp,OTH,74,0,312,35,0.97,0,NORMAL
tcp,OTH,60,0,103,34,0.97,0,NORMAL
tcp,OTH,60,0,73,32,0.97,0,NORMAL
tcp,OTH,60,0,111,29,0.97,0,NORMAL
tcp,OTH,60,0,305,40,0.98,0,NORMAL
tcp,OTH,60,0,82,27,0.96,0,NORMAL
tcp,OTH,66,0,304,30,0.97,0,NORMAL
tcp,OTH,60,0,310,33,0.97,0,NORMAL
tcp,OTH,74,0,490,43,0.98,0,NORMAL
tcp,OTH,60,0,45,35,0.97,0,NORMAL
tcp,OTH,66,0,207,33,0.97,0,NORMAL
tcp,OTH,60,0,60,34,0.97,0,NORMAL
tcp,OTH,60,0,203,38,0.97,0,NORMAL
tcp,OTH,97,0,1,3,0.05,0.95,NORMAL
tcp,OTH,60,0,114,29,0.97,0,NORMAL
tcp,S1,5767,1279,6,5,0,0.67,NORMAL
tcp,OTH,60,0,167,34,0.97,0,NORMAL
tcp,OTH,66,0,8,8,0.67,0.27,NORMAL
tcp,OTH,78,0,8,8,0.18,0.81,NORMAL
tcp,OTH,60,0,29,29,0.64,0.34,NORMAL
tcp,OTH,116,0,13,11,0.22,0.77,NORMAL
tcp,RSTO,1273,5737,0,0,0,1,NORMAL
tcp,OTH,60,0,197,46,0.98,0,NORMAL
tcp,OTH,60,0,20,23,0.77,0.21,NORMAL
tcp,OTH,60,0,60,37,0.97,0,NORMAL
tcp,OTH,60,0,93,28,0.97,0,NORMAL
tcp,OTH,60,0,59,34,0.97,0,NORMAL
tcp,OTH,155,0,55,37,0.97,0,NORMAL
tcp,OTH,635,0,9,37,0.7,0.29,NORMAL
tcp,OTH,184,0,92,28,0.61,0.38,NORMAL
tcp,OTH,66,0,6,6,0.13,0.87,NORMAL
tcp,SF,7097,7046,0,0,0,1,NORMAL
tcp,SF,2239,5580,1,1,0,0.98,NORMAL
tcp,OTH,60,0,30,33,0.82,0.15,NORMAL
tcp,OTH,60,0,125,9,0.9,0,NORMAL
tcp,SF,1023,5628,0,0,0,1,NORMAL
tcp,SF,2501,1042,0,1,0,0.98,NORMAL
tcp,OTH,60,0,312,30,0.97,0,NORMAL
