% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,14,16,18-19,21-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,SF,946,1855,1,0,100,1,0,0,normal
tcp,SF,1048,2134,1,0,100,1,0,0,normal
tcp,SF,946,1671,1,0,100,1,0,0,normal
tcp,SF,946,1829,1,0,100,1,0,0,normal
tcp,SF,946,1895,1,0,100,1,0,0,normal
tcp,OTH,146,3075,1,0,46,1,0.02,0,normal
tcp,OTH,146,5229,1,0,39,1,0.03,0,normal
tcp,OTH,66,3686,1,0,91,1,0.02,0,normal
tcp,SF,946,1936,1,0,100,1,0,0,normal
tcp,SF,946,2066,1,0,100,1,0,0,normal
tcp,OTH,66,2878,1,0,53,1,0.15,0,normal
tcp,OTH,66,3363,1,0,52,1,0.09,0,normal
tcp,OTH,66,2909,1,0,19,1,0.2,0,normal
tcp,OTH,66,3172,1,0,67,1,0.12,0,normal
tcp,OTH,66,2931,1,0,49,1,0.16,0,normal
tcp,SF,946,2147,1,0,100,1,0,0,normal
tcp,SF,946,2051,1,0,88,1,0,0,normal
tcp,SF,1024,3067,1,0,72,1,0,0,normal
tcp,OTH,66,3906,1,0,51,1,0.13,0,normal
tcp,OTH,66,5189,1,0,40,1,0.02,0,normal
tcp,SF,946,2440,1,0,100,1,0,0,normal
tcp,OTH,78,1858,1,0,100,1,0.01,0,normal
tcp,SF,946,2511,1,0,100,1,0,0,normal
tcp,OTH,66,6237,1,0,47,1,0.08,0,normal
tcp,OTH,78,5707,1,0,46,1,0.02,0,normal
tcp,OTH,66,3207,1,0,48,1,0.04,0,normal
tcp,SF,946,2612,1,0,100,1,0,0,normal
tcp,S3,286,2762,1,0,100,1,0,0,normal
tcp,OTH,66,4310,1,0,48,1,0,0,normal
tcp,SF,946,280,1,0,100,1,0,0,normal
tcp,SF,946,642,1,0,100,1,0,0,normal
tcp,OTH,66,3156,1,0,52,1,0,0,normal
tcp,SF,946,2282,1,0,100,1,0,0,normal
tcp,SF,946,2125,1,0,100,1,0,0,normal
tcp,S3,814,2126,1,0,100,1,0,0,normal
tcp,SF,946,590,1,0,100,1,0,0,normal
tcp,SF,946,1925,1,0,86,1,0,0,normal
tcp,OTH,66,5092,1,0,69,1,0,0,normal
tcp,OTH,66,4840,1,0,57,1,0,0,normal
tcp,OTH,66,3838,1,0,44,1,0,0,normal
tcp,OTH,66,3186,1,0,100,1,0.04,0,normal
tcp,OTH,66,3294,1,0,45,1,0.13,0,normal
tcp,SF,946,2843,1,0,100,1,0,0,normal
tcp,SF,946,1863,1,0,100,1,0,0,normal
tcp,SF,946,2201,1,0,100,1,0,0,normal
tcp,S1,386,2159,1,0,100,1,0,0,normal
tcp,S2,1024,3257,1,0,100,1,0,0,normal
tcp,OTH,66,5933,1,0,41,1,0.21,0,normal
tcp,OTH,66,6028,1,0,42,1,0.09,0,normal
tcp,SF,946,2023,1,0,100,1,0,0,normal
tcp,SF,946,3942,1,0,71,1,0,0,normal
tcp,SF,946,2357,1,0,100,1,0,0,normal
tcp,S2,946,3631,1,0,100,1,0,0,normal
tcp,SF,946,2170,1,0,100,1,0,0,normal
tcp,OTH,146,5309,1,0,81,1,0,0,normal
tcp,SF,734,3944,1,0,71,1,0,0,normal
tcp,SF,946,2818,1,0,99,1,0,0,normal
tcp,OTH,66,3037,1,0,20,1,0.38,0,normal
tcp,SF,946,3049,1,0,100,1,0,0,normal
tcp,SF,880,1129,1,0,100,1,0,0,normal
tcp,SF,946,1393,1,0,100,1,0,0,normal
tcp,SF,1120,2127,1,0,100,1,0,0,normal
tcp,OTH,66,3810,1,0,39,1,0.05,0,normal
tcp,SF,946,2047,1,0,100,1,0,0,normal
tcp,OTH,66,3281,1,0,38,1,0.18,0,normal
tcp,OTH,146,2972,1,0,44,1,0.02,0,normal
tcp,SF,946,2143,1,0,91,1,0,0,normal
tcp,OTH,66,2368,1,0,52,1,0.04,0,normal
tcp,SF,946,3381,1,0,100,1,0,0,normal
tcp,OTH,146,2789,1,0,79,1,0.03,0,normal
tcp,SF,946,2263,1,0,100,1,0,0,normal
tcp,SF,946,1558,1,0,100,1,0,0,normal
tcp,OTH,66,3667,1,0,45,1,0,0,normal
tcp,OTH,66,3947,1,0,84,1,0.02,0,normal
tcp,OTH,66,2814,1,0,46,1,0.11,0,normal
tcp,SF,946,1606,1,0,100,1,0,0,normal
tcp,SF,946,2914,1,0,100,1,0,0,normal
tcp,SF,946,1580,1,0,100,1,0,0,normal
tcp,OTH,66,2608,1,0,43,1,0.18,0,normal
tcp,OTH,66,5789,1,0,32,1,0.12,0,normal
tcp,SF,946,2290,1,0,100,1,0,0,normal
tcp,SF,946,3090,1,0,100,1,0,0,normal
tcp,SF,946,1916,1,0,50,1,0,0,normal
tcp,SF,946,307,1,0,100,1,0,0,normal
tcp,OTH,66,4210,1,0,57,1,0.1,0,normal
tcp,SF,946,5681,1,0,72,1,0,0,normal
tcp,OTH,66,5340,1,0,81,1,0,0,normal
tcp,OTH,66,3195,1,0,43,1,0.16,0,normal
tcp,SF,1024,3115,1,0,74,1,0,0,normal
tcp,OTH,66,3185,1,0,53,1,0.02,0,normal
tcp,OTH,66,2770,1,0,50,1,0.16,0,normal
tcp,OTH,66,4996,1,0,68,1,0.01,0,normal
tcp,OTH,66,5199,1,0,51,1,0.15,0,normal
tcp,SF,946,2102,1,0,100,1,0,0,normal
tcp,SF,946,905,1,0,99,1,0,0,normal
tcp,SF,946,976,1,0,100,1,0,0,normal
tcp,SF,880,1471,1,0,100,1,0,0,normal
tcp,OTH,66,5491,1,0,79,1,0.03,0,normal
tcp,SF,946,20,1,0,20,1,0,0,normal
tcp,OTH,66,6233,1,0,50,1,0,0,normal
tcp,SF,946,2057,1,0,99,1,0,0,normal
tcp,SF,946,3053,1,0,100,1,0,0,normal
tcp,SF,946,1528,1,0,100,1,0,0,normal
tcp,SF,946,2146,1,0,100,1,0,0,normal
tcp,OTH,146,3091,1,0,41,1,0,0,normal
tcp,S2,206,2575,1,0,100,1,0,0,normal
tcp,SF,946,779,1,0,100,1,0,0,normal
tcp,SF,946,1871,1,0,100,1,0,0,normal
tcp,OTH,66,2795,1,0,53,1,0,0,normal
tcp,SF,946,985,1,0,100,1,0,0,normal
tcp,OTH,66,6297,1,0,44,1,0.02,0,normal
tcp,SF,946,2456,1,0,100,1,0,0,normal
tcp,SF,430,3309,1,0,82,1,0,0,normal
tcp,OTH,66,2740,1,0,56,1,0.05,0,normal
tcp,OTH,66,1449,1,0,50,1,0.02,0,normal
tcp,SF,946,2153,1,0,100,1,0,0,normal
tcp,S2,1024,3266,1,0,100,1,0,0,normal
tcp,S2,946,3582,1,0,100,1,0,0,normal
tcp,OTH,66,2973,1,0,63,1,0,0,normal
tcp,SF,880,4460,1,0,60,1,0,0,normal
tcp,OTH,66,5465,1,0,100,1,0.03,0,normal
tcp,OTH,66,1492,1,0,67,1,0.01,0,normal
tcp,OTH,66,2863,1,0,49,1,0.12,0,normal
tcp,OTH,66,2849,1,0,50,1,0.1,0,normal
tcp,SF,946,1126,1,0,100,1,0,0,normal
tcp,SF,946,2177,1,0,100,1,0,0,normal
tcp,SF,946,2039,1,0,100,1,0,0,normal
tcp,OTH,66,4082,1,0,99,1,0.05,0,normal
tcp,SF,946,1536,1,0,100,1,0,0,normal
tcp,SF,946,2251,1,0,100,1,0,0,normal
tcp,OTH,66,3186,1,0,44,1,0.16,0,normal
tcp,SF,946,1910,1,0,100,1,0,0,normal
tcp,OTH,66,3877,1,0,54,1,0.15,0,normal
tcp,SF,946,1892,1,0,99,1,0,0,normal
tcp,SF,1092,2242,1,0,100,1,0,0,normal
tcp,SF,946,3358,1,0,100,1,0,0,normal
tcp,OTH,66,4879,1,0,50,1,0.14,0,normal
tcp,SF,946,1150,1,0,100,1,0,0,normal
tcp,SF,946,1917,1,0,85,1,0,0,normal
tcp,S3,800,3688,1,0,100,1,0,0,normal
tcp,SF,946,2978,1,0,63,1,0,0,normal
tcp,OTH,66,2026,1,0,47,1,0.04,0,normal
tcp,OTH,66,2129,1,0,53,1,0.07,0,normal
tcp,SF,946,1981,1,0,100,1,0,0,normal
tcp,OTH,78,2490,1,0,55,1,0.02,0,normal
tcp,OTH,66,2890,1,0,41,1,0.07,0,normal
tcp,OTH,66,5820,1,0,45,1,0.02,0,normal
tcp,SF,946,2126,1,0,100,1,0,0,normal
tcp,OTH,66,3648,1,0,85,1,0,0,normal
tcp,OTH,66,3927,1,0,80,1,0,0,normal
tcp,SF,946,3846,1,0,100,1,0,0,normal
tcp,SF,946,2120,1,0,100,1,0,0,normal
tcp,OTH,78,3865,1,0,75,1,0.01,0,normal
tcp,SF,946,3909,1,0,100,1,0,0,normal
tcp,OTH,66,2960,1,0,46,1,0.15,0,normal
tcp,SF,946,2000,1,0,86,1,0,0,normal
tcp,OTH,66,2242,1,0,48,1,0.16,0,normal
tcp,SF,946,1904,1,0,100,1,0,0,normal
tcp,SF,946,3022,1,0,63,1,0,0,normal
tcp,OTH,66,3973,1,0,97,1,0.01,0,normal
tcp,SF,946,3173,1,0,100,1,0,0,normal
tcp,SF,946,2138,1,0,100,1,0,0,normal
tcp,OTH,66,3384,1,0,52,1,0.09,0,normal
tcp,OTH,66,4392,1,0,32,1,0.12,0,normal
tcp,SF,946,2067,1,0,47,1,0,0,normal
tcp,SF,880,2272,1,0,100,1,0,0,normal
tcp,SF,880,4271,1,0,66,1,0,0,normal
tcp,SF,946,3378,1,0,100,1,0,0,normal
tcp,SF,946,1146,1,0,100,1,0,0,normal
tcp,OTH,66,3081,1,0,46,1,0,0,normal
tcp,SF,946,2842,1,0,100,1,0,0,normal
tcp,OTH,66,4394,1,0,34,1,0.17,0,normal
tcp,OTH,66,5659,1,0,11,1,0,0,normal
tcp,OTH,66,5833,1,0,41,1,0,0,normal
tcp,SF,880,3161,1,0,100,1,0,0,normal
tcp,S1,220,3179,1,0,100,1,0,0,normal
tcp,SF,946,2757,1,0,48,1,0,0,normal
tcp,OTH,66,4010,1,0,99,1,0.02,0,normal
tcp,SF,800,2619,1,0,66,1,0,0,normal
tcp,S1,734,3568,1,0,100,1,0,0,normal
tcp,OTH,66,3459,1,0,53,1,0.07,0,normal
tcp,OTH,146,5762,1,0,45,1,0.02,0,normal
tcp,SF,880,2133,1,0,99,1,0,0,normal
tcp,S3,1012,2927,1,0,100,1,0,0,normal
tcp,SF,946,3098,1,0,80,1,0,0,normal
tcp,SF,946,1952,1,0,100,1,0,0,normal
tcp,SF,946,3523,1,0,100,1,0,0,normal
tcp,OTH,66,4372,1,0,39,1,0.07,0,normal
tcp,SF,946,2253,1,0,100,1,0,0,normal
tcp,OTH,66,3156,1,0,39,1,0.12,0,normal
tcp,SF,946,2989,1,0,65,1,0,0,normal
tcp,OTH,66,3266,1,0,48,1,0.02,0,normal
tcp,SF,946,3238,1,0,98,1,0,0,normal
tcp,SF,880,5662,1,0,72,1,0,0,normal
tcp,SF,946,2531,1,0,100,1,0,0,normal
tcp,SF,946,3901,1,0,100,1,0,0,normal
tcp,OTH,66,2930,1,0,47,1,0.04,0,normal
tcp,SF,946,3883,1,0,98,1,0,0,normal
tcp,OTH,78,2880,1,0,76,1,0.01,0,normal
tcp,SF,946,2112,1,0,100,1,0,0,normal
tcp,SF,946,2963,1,0,100,1,0,0,normal
tcp,S3,946,1739,1,0,100,1,0,0,normal
tcp,SF,880,3045,1,0,89,1,0,0,normal
tcp,OTH,66,3661,1,0,86,1,0.05,0,normal
tcp,OTH,66,3306,1,0,58,1,0.02,0,normal
tcp,SF,946,1737,1,0,100,1,0,0,normal
tcp,OTH,66,5211,1,0,42,1,0.14,0,normal
tcp,SF,946,3331,1,0,91,1,0,0,normal
tcp,SF,946,2168,1,0,100,1,0,0,normal
tcp,SF,946,3081,1,0,85,1,0,0,normal
tcp,S2,1024,1927,1,0,100,1,0,0,normal
tcp,SF,946,1853,1,0,100,1,0,0,normal
tcp,SF,946,2150,1,0,100,1,0,0,normal
