@relation Slowrate-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S11

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute service {aol,auth,bgp,courier,csnet_ns,ctf,daytime,discard,domain,domain_u,echo,eco_i,ecr_i,efs,exec,finger,ftp,ftp_data,gopher,harvest,hostnames,http,http_2784,http_443,http_8001,imap4,IRC,iso_tsap,klogin,kshell,ldap,link,login,mtp,name,netbios_dgm,netbios_ns,netbios_ssn,netstat,nnsp,nntp,ntp_u,other,pm_dump,pop_2,pop_3,printer,private,red_i,remote_job,rje,shell,smtp,sql_net,ssh,sunrpc,supdup,systat,telnet,tftp_u,tim_i,time,urh_i,urp_i,uucp,uucp_path,vmnet,whois,X11,Z39_50}
@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {highrate,lowrate}

@data
31,tcp,http,RSTO,1024,1019,0,0,25,25,0,0,0,0,1,0,0,26,26,1,0,0,0,0,0,0,0,lowrate
13,tcp,http,S1,926,1490,0,0,238,237,0.96,0.97,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
7,tcp,http,S1,296,0,0,0,296,296,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,842,842,0,0,0,0,1,0,0,44,44,1,0,0,0,0,0,0,0,lowrate
0,tcp,private,OTH,549,0,0,0,675,675,0,0,0,0,1,0,0,41,41,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,226,226,0,0,0,0,1,0,0,50,50,1,0,0.98,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,943,943,0,0,0,0,1,0,0,43,43,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,11,11,0,0,0,0,1,0,0,59,59,1,0,0.07,0,0,0,0,0,lowrate
0,tcp,http,OTH,66,0,0,0,308,308,0,0,0,0,1,0,0,63,63,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,917,917,0,0,0,0,1,0,0,29,29,1,0,0.03,0,0,0,0,0,lowrate
0,tcp,private,OTH,66,0,0,0,480,480,0,0,0,0,1,0,0,100,100,1,0,0.99,0,0,0,0,0,lowrate
0,tcp,http,OTH,100,0,0,0,70,70,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,lowrate
1,tcp,http,S1,148,0,0,0,669,669,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
7,tcp,http,S1,296,0,0,0,677,677,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
30,tcp,http,RSTO,1098,958,0,0,184,184,0,0,0,0,1,0,0,100,100,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,763,763,0,0,0,0,1,0,0,48,48,1,0,0.02,0,0,0,0,0,lowrate
0,tcp,http,OTH,117,0,0,0,117,117,0,0,0,0,1,0,0,50,50,1,0,0,0,0,0,0,0,lowrate
7,tcp,http,S1,296,0,0,0,659,659,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
7,tcp,http,S1,296,0,0,0,635,635,0.57,0.57,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
7,tcp,http,S1,296,0,0,0,237,237,1,1,0,0,1,0,0,100,100,1,0,0,0,1,1,0,0,lowrate
30,tcp,http,RSTO,1166,1024,0,0,120,119,0,0,0,0,0.99,0.01,0,100,100,1,0,0,0,0,0,0,0,lowrate
0,tcp,http,OTH,60,0,0,0,628,628,0,0,0,0,1,0,0,82,82,1,0,0.01,0,0,0,0,0,lowrate
